
[00:00:00.000 --> 00:00:05.000]  好開心呀 今日能夠同大家一起去敬拜 去崇拜
[00:00:05.000 --> 00:00:07.000]  終於呢 不用看著鏡頭
[00:00:07.000 --> 00:00:10.000]  終於有人的
[00:00:10.000 --> 00:00:12.000]  有反應的
[00:00:12.000 --> 00:00:13.000]  好開心呀
[00:00:13.000 --> 00:00:15.000]  多謝你阿俊
[00:00:15.000 --> 00:00:17.000]  我不知道你開心不開心 我真的很開心
[00:00:17.000 --> 00:00:19.000]  希望你都這麼開心
[00:00:19.000 --> 00:00:21.000]  我相信上帝都很開心
[00:00:21.000 --> 00:00:23.000]  因為呢 你們
[00:00:23.000 --> 00:00:25.000]  其實你們都冒著險回來
[00:00:25.000 --> 00:00:31.000]  中元疫情是好像人數下跌了 但仍然會有確診機會
[00:00:31.000 --> 00:00:33.000]  你們都是冒著險回來的
[00:00:33.000 --> 00:00:35.000]  所以我們很欣賞你們
[00:00:35.000 --> 00:00:38.000]  可否給一個欣賞的眼神你戒那個
[00:00:38.000 --> 00:00:40.000]  是欣賞喔
[00:00:40.000 --> 00:00:44.000]  不是凌厲的死光眼
[00:00:44.000 --> 00:00:49.000]  好 今天我講到
[00:00:49.000 --> 00:00:51.000]  今天講到的題目呢
[00:00:51.000 --> 00:00:53.000]  叫做「重新體驗愛」
[00:00:53.000 --> 00:00:55.000]  這個powerpoint 阿心做的
[00:00:55.000 --> 00:00:57.000]  很漂亮
[00:00:57.000 --> 00:01:00.000]  講到愛 好像都是
[00:01:00.000 --> 00:01:03.000]  很熟悉的東西
[00:01:03.000 --> 00:01:05.000]  愛從小到大
[00:01:05.000 --> 00:01:07.000]  為何要重新體驗呢
[00:01:07.000 --> 00:01:09.000]  明明都是很熟悉的東西
[00:01:09.000 --> 00:01:11.000]  大家都很熟悉的東西
[00:01:11.000 --> 00:01:13.000]  原來愛是會因著
[00:01:13.000 --> 00:01:15.000]  不同的事情發生
[00:01:15.000 --> 00:01:17.000]  或者環境的轉變
[00:01:17.000 --> 00:01:19.000]  而有所改變
[00:01:19.000 --> 00:01:21.000]  通常愛是會怎樣的
[00:01:21.000 --> 00:01:23.000]  是會變得越差的
[00:01:23.000 --> 00:01:25.000]  或者會變得越冷淡
[00:01:25.000 --> 00:01:27.000]  或者愛會丟淡了
[00:01:27.000 --> 00:01:29.000]  譬如婚姻
[00:01:29.000 --> 00:01:31.000]  在愛情裏面
[00:01:31.000 --> 00:01:33.000]  不知道大家有沒有聽過
[00:01:33.000 --> 00:01:35.000]  叫做「七年之癢」
[00:01:35.000 --> 00:01:37.000]  如果結婚第七年就很危險
[00:01:37.000 --> 00:01:39.000]  婚姻裏面很容易出事
[00:01:39.000 --> 00:01:41.000]  幸好我已經跟老公過了第七年
[00:01:41.000 --> 00:01:43.000]  放心 阿GeorgeOK 我們過了第七年
[00:01:43.000 --> 00:01:45.000]  愛情也是的
[00:01:45.000 --> 00:01:47.000]  拍拖越久
[00:01:47.000 --> 00:01:51.000]  越久 分手的機會越大
[00:01:51.000 --> 00:01:53.000]  但是
[00:01:53.000 --> 00:01:55.000]  原來友情也有七年之癢
[00:01:55.000 --> 00:01:57.000]  荷蘭做了一個訪問
