
[00:00:00.000 --> 00:00:05.000]  大家好,很高興可以在網上和大家見面
[00:00:05.000 --> 00:00:07.000]  上一次我在網上和大家說話的時候
[00:00:07.000 --> 00:00:09.000]  大家記得是甚麼時候嗎?
[00:00:09.000 --> 00:00:12.000]  是之前打風的時候
[00:00:12.000 --> 00:00:13.000]  兩次都是我
[00:00:13.000 --> 00:00:16.000]  所以很高興再次在網上見到大家
[00:00:16.000 --> 00:00:21.000]  今天我們要讀的經文是文素記的第20章
[00:00:21.000 --> 00:00:24.000]  第1至第13章
[00:00:24.000 --> 00:00:25.000]  如果你有聖經的話
[00:00:25.000 --> 00:00:27.000]  可以打開你的聖經
[00:00:27.000 --> 00:00:30.000]  如果你有聖經的話可以打開你的聖經
[00:00:30.000 --> 00:00:41.000]  20章文素記第1至第13章
[00:00:41.000 --> 00:00:48.000]  請聽我幫大家讀
[00:00:48.000 --> 00:00:49.000]  第1章
[00:00:49.000 --> 00:00:53.000]  正如間以色列傳匯眾杜鳥尋的狂野
[00:00:53.000 --> 00:00:57.000]  就住在加底斯米利岸死蟹那裏
[00:00:57.000 --> 00:00:59.000]  就葬在那裏
[00:00:59.000 --> 00:01:00.000]  匯眾沒水喝
[00:01:00.000 --> 00:01:03.000]  就聚集攻擊摩西瓦倫
[00:01:03.000 --> 00:01:07.000]  百姓上摩西真鬧說
[00:01:07.000 --> 00:01:10.000]  「我們的大興曾死在耶穌面前
[00:01:10.000 --> 00:01:15.000]  我們恨不得與他們同死
[00:01:15.000 --> 00:01:19.000]  你們為何把耶穌的匯眾領導這狂野
[00:01:19.000 --> 00:01:22.000]  使我們我生處都死在這裏呢?」
[00:01:23.000 --> 00:01:25.000]  「你們為何逼著我們出埃及
[00:01:25.000 --> 00:01:28.000]  領導我們到這壞地方呢?」
[00:01:28.000 --> 00:01:31.000]  「這地方不好撒賬
[00:01:31.000 --> 00:01:34.000]  有沒有無花果樹、葡萄樹、石榴樹
[00:01:34.000 --> 00:01:36.000]  有沒有水飲?」
[00:01:36.000 --> 00:01:37.000]  好
[00:01:37.000 --> 00:01:41.000]  摩西瓦倫離開匯眾到匯務門口
[00:01:41.000 --> 00:01:43.000]  彷彿在地
[00:01:43.000 --> 00:01:46.000]  耶穌的榮光向他們顯現
[00:01:46.000 --> 00:01:48.000]  耶穌巧如摩西說
[00:01:48.000 --> 00:01:54.000]  「你拿著像去和你的哥哥瓦倫招聚匯眾
[00:01:54.000 --> 00:01:59.000]  他們眼前吩咐盤石發出水來
[00:01:59.000 --> 00:02:02.000]  水就從盤石流出
[00:02:02.000 --> 00:02:06.000]  匯眾和他們的身處合
[00:02:06.000 --> 00:02:09.000]  於是摩西就耶穌所吩咐的
[00:02:09.000 --> 00:02:12.000]  從耶穌面前取了像去
[00:02:12.000 --> 00:02:16.000]  摩西瓦倫就招聚匯眾到盤石前
[00:02:16.000 --> 00:02:19.000]  摩西說:你們這些背叛的人聽我說
[00:02:19.000 --> 00:02:23.000]  我為你們使誰從這盤石中流出來嗎?」
[00:02:23.000 --> 00:02:27.000]  摩西舉手用像結打盤石兩下
[00:02:27.000 --> 00:02:29.000]  就有許多水流出來
[00:02:29.000 --> 00:02:32.000]  匯眾和他們的身處都合了
[00:02:32.000 --> 00:02:35.000]  耶穌對摩西瓦倫說
[00:02:35.000 --> 00:02:37.000]  「因為你們不信我
[00:02:37.000 --> 00:02:39.000]  不在以色列眼前尊我為勝
[00:02:39.000 --> 00:02:43.000]  所以你們必不得領這匯眾進入
[00:02:43.000 --> 00:02:46.000]  我所持給他們的地去」
[00:02:46.000 --> 00:02:50.000]  這水名叫做米利巴水
[00:02:50.000 --> 00:02:53.000]  是因為以色列人向耶穌爭鬧
[00:02:53.000 --> 00:02:56.000]  耶穌就在祂面前顯為勝
[00:02:56.000 --> 00:02:58.000]  在我們開始之前
[00:02:58.000 --> 00:03:00.000]  我們有一個祈禱的時間
[00:03:00.000 --> 00:03:04.000]  參與者,我們感謝你
[00:03:04.000 --> 00:03:06.000]  今天我們有很容易聽到的時間
[00:03:06.000 --> 00:03:08.000]  希望你可以幫助我們
[00:03:08.000 --> 00:03:11.000]  在今天可以再次活轉向你
[00:03:11.000 --> 00:03:14.000]  知道你是我們生命中的救主
[00:03:14.000 --> 00:03:17.000]  奉主耶穌基督命祈求
[00:03:17.000 --> 00:03:23.000]  溝通和表達是一門藝術
[00:03:23.000 --> 00:03:26.000]  將生命中的感受和想法
[00:03:26.000 --> 00:03:29.000]  融合化成語言表達出來
[00:03:29.000 --> 00:03:32.000]  是一個整合的過程
[00:03:32.000 --> 00:03:35.000]  以及一個回顧的過程
[00:03:35.000 --> 00:03:37.000]  當可以把自己的感受
[00:03:37.000 --> 00:03:41.000]  和豐富的情感用語言表達出來的時候
[00:03:41.000 --> 00:03:44.000]  那種感覺是非常好的
[00:03:44.000 --> 00:03:47.000]  對於我來說
[00:03:47.000 --> 00:03:51.000]  可以在香港用言語表達自己的感受
[00:03:51.000 --> 00:03:53.000]  與人溝通
[00:03:53.000 --> 00:03:58.000]  甚至乎可以進入到與人有生命的溝通
[00:03:58.000 --> 00:04:01.000]  有生命的分享是很不容易的
[00:04:01.000 --> 00:04:06.000]  那是我不斷想努力去到達的目標
[00:04:06.000 --> 00:04:09.000]  我不斷努力去向這個目標去行
[00:04:09.000 --> 00:04:11.000]  去練習廣東話
[00:04:11.000 --> 00:04:14.000]  我希望不會再被人誤解
[00:04:14.000 --> 00:04:16.000]  要我用廣東話去分享
[00:04:16.000 --> 00:04:18.000]  是一個很大的挑戰
[00:04:18.000 --> 00:04:20.000]  我有豐富的情緒
[00:04:20.000 --> 00:04:22.000]  有豐富的情感
[00:04:22.000 --> 00:04:26.000]  但我只可以用有限的字去表達
[00:04:26.000 --> 00:04:30.000]  經常我有100%的感動
[00:04:30.000 --> 00:04:35.000]  但我只可以表達到30%的情感
[00:04:35.000 --> 00:04:41.000]  例如之前我和音福團隊出去學校傳福音
[00:04:41.000 --> 00:04:43.000]  在學校的時候
[00:04:43.000 --> 00:04:45.000]  我有很多話想說
[00:04:45.000 --> 00:04:46.000]  但我講不出
[00:04:46.000 --> 00:04:49.000]  因為我沒有足夠的廣東話單字量
[00:04:49.000 --> 00:04:53.000]  去表達我生命中對福音的熱情
[00:04:53.000 --> 00:04:55.000]  我有很多話想說
[00:04:55.000 --> 00:04:56.000]  但我講不出口
[00:04:56.000 --> 00:04:59.000]  最後因為廣東話誤學的原因
[00:04:59.000 --> 00:05:02.000]  我最後只能說四個字
[00:05:02.000 --> 00:05:05.000]  耶穌愛你
[00:05:05.000 --> 00:05:10.000]  我心裏很清楚地知道這四個字代表甚麼意思
