
[00:00:00.000 --> 00:00:03.000]  有沒有?沒有的話…
[00:00:03.000 --> 00:00:10.000]  喂喂喂,放這支吧,OK
[00:00:10.000 --> 00:00:13.000]  好,謝謝敬拜隊帶我們去敬拜
[00:00:13.000 --> 00:00:16.000]  對於我來說,我覺得今天的敬拜
[00:00:16.000 --> 00:00:17.000]  我不知道對你有什麼提醒
[00:00:17.000 --> 00:00:20.000]  對我來說,我也覺得很有提醒
[00:00:20.000 --> 00:00:22.000]  我覺得每個禮拜回來敬拜
[00:00:22.000 --> 00:00:27.000]  同樣都要我們找回提醒我們生命焦點是什麼
[00:00:27.000 --> 00:00:30.000]  所以我不知道你剛才在敬拜上
[00:00:30.000 --> 00:00:31.000]  讓你看到什麼
[00:00:31.000 --> 00:00:32.000]  我也鼓勵你
[00:00:32.000 --> 00:00:34.000]  我剛才唱林這個歌的時候
[00:00:34.000 --> 00:00:35.000]  我也很激動
[00:00:35.000 --> 00:00:40.000]  我覺得好像準備要猜遍我出去
[00:00:40.000 --> 00:00:42.000]  我不知道對於你有什麼體會
[00:00:42.000 --> 00:00:43.000]  所以我也鼓勵你
[00:00:43.000 --> 00:00:45.000]  每個禮拜回來敬拜
[00:00:45.000 --> 00:00:49.000]  其實都是一個讓我們找回神的歷程
[00:00:49.000 --> 00:00:53.000]  我覺得大家都抓住這件事
[00:00:53.000 --> 00:00:55.000]  都記得其實我們心裡
[00:00:55.000 --> 00:00:56.000]  即使我們在不在教會
[00:00:56.000 --> 00:00:58.000]  其實我們都要找回上帝
[00:00:58.000 --> 00:01:00.000]  今天我分享了一個訊息
[00:01:00.000 --> 00:01:02.000]  不知道大家知不知道
[00:01:02.000 --> 00:01:04.000]  這個月的月提是
[00:01:04.000 --> 00:01:09.000]  將你有的獻上讓人看見耶穌
[00:01:09.000 --> 00:01:12.000]  很想先在進入經文之前
[00:01:12.000 --> 00:01:14.000]  去問大家一個問題
[00:01:14.000 --> 00:01:15.000]  我想問大家
[00:01:15.000 --> 00:01:22.000]  大家如何看自己作為基督徒這個身份
[00:01:22.000 --> 00:01:25.000]  又或者你看到基督徒這三個字的時候
[00:01:25.000 --> 00:01:27.000]  會給什麼定義進去
[00:01:27.000 --> 00:01:33.000]  最近我經常問自己這個問題
[00:01:33.000 --> 00:01:35.000]  當我們想到這三個字的時候
[00:01:35.000 --> 00:01:37.000]  很多時候我們很快會想
[00:01:37.000 --> 00:01:39.000]  我們作為基督徒應該是一個
[00:01:39.000 --> 00:01:41.000]  跟隨耶穌的人
[00:01:41.000 --> 00:01:43.000]  我們要學像耶穌
[00:01:43.000 --> 00:01:44.000]  加上我們今年的主題
[00:01:44.000 --> 00:01:45.000]  Shining Eucharist
[00:01:45.000 --> 00:01:47.000]  我們就要一起為主
[00:01:47.000 --> 00:01:50.000]  在這個世代發光
[00:01:50.000 --> 00:01:51.000]  不過
[00:01:51.000 --> 00:01:52.000]  嘩 酒喝了
[00:01:52.000 --> 00:01:57.000]  不過我覺得這兩年我們面對著社會很多發生的事情
[00:01:57.000 --> 00:01:59.000]  體會到一樣東西
[00:01:59.000 --> 00:02:01.000]  就是這些發生的事情
[00:02:01.000 --> 00:02:05.000]  令我們人與人之間多了很多很多的隔絕
[00:02:05.000 --> 00:02:07.000]  我體會到一件事就是
[00:02:07.000 --> 00:02:09.000]  人變得越來越自私
[00:02:09.000 --> 00:02:11.000]  很多時候
[00:02:11.000 --> 00:02:14.000]  當我有我的看法的時候
[00:02:14.000 --> 00:02:16.000]  我就會覺得你不要動我
[00:02:16.000 --> 00:02:19.000]  無論在社會事件上面
[00:02:19.000 --> 00:02:22.000]  我們有些黃的就會鬥黃
[00:02:22.000 --> 00:02:24.000]  藍的就會鬥藍
[00:02:24.000 --> 00:02:26.000]  甚至在疫情裡面
