
[00:00:00.000 --> 00:00:02.800]  非常感恩讓我們可以一起敬拜
[00:00:02.800 --> 00:00:05.400]  雖然我們不能夠在實體上相聚
[00:00:05.400 --> 00:00:09.000]  不過靠著神的靈靠著聖靈幫助我們在不同的地方
[00:00:09.000 --> 00:00:10.500]  透過一起實事
[00:00:10.500 --> 00:00:13.000]  可以透過師哥去敬拜神
[00:00:13.000 --> 00:00:14.500]  都是非常重要的
[00:00:14.500 --> 00:00:17.500]  剛才崇拜前跟同工聊天
[00:00:17.500 --> 00:00:19.800]  我想在疫情下確實都很難
[00:00:19.800 --> 00:00:24.500]  我們有很多很實體、很有溫度的交通時間
[00:00:24.500 --> 00:00:26.000]  不過仍然這樣說
[00:00:26.000 --> 00:00:29.300]  我仍然都相信在艱難的時間裡面
[00:00:29.300 --> 00:00:33.600]  其實是更加連證著我們自己的信仰生命
[00:00:33.600 --> 00:00:35.600]  透過外在環境的限制
[00:00:35.600 --> 00:00:37.600]  透過我們有很多的阻隔
[00:00:37.600 --> 00:00:40.100]  甚或我們可能參與崇拜、參與實體
[00:00:40.100 --> 00:00:43.400]  跟弟兄姊妹一起去團契的時間減少了
[00:00:43.400 --> 00:00:45.100]  反而仍然這樣去祈禱
[00:00:45.100 --> 00:00:47.600]  其實這些時間更加是幫助著我們
[00:00:47.600 --> 00:00:50.000]  去連證著我們的信仰生命
[00:00:50.000 --> 00:00:51.800]  譬如我們跟自己的關係
[00:00:51.800 --> 00:00:54.800]  我們在信仰上面一些操練的習慣
[00:00:54.800 --> 00:00:56.200]  可能透過這些時間
[00:00:56.200 --> 00:01:00.200]  更加去幫助我們知道究竟我們有多少斤兩
[00:01:00.200 --> 00:01:02.000]  又或者聖靈提醒我們
[00:01:02.000 --> 00:01:03.100]  透過這些空間
[00:01:03.100 --> 00:01:06.700]  透過我們減少了在不同的地方去玩
[00:01:06.700 --> 00:01:08.500]  去不同的聚會
[00:01:08.500 --> 00:01:10.500]  多了很多安靜的時間出來的時候
[00:01:10.500 --> 00:01:13.400]  也讓我們可以去操練我們的熟靈生命
[00:01:13.400 --> 00:01:15.000]  這個都是非常重要
[00:01:15.000 --> 00:01:16.000]  我真的這樣想
[00:01:16.000 --> 00:01:16.900]  其實家裡多了
[00:01:16.900 --> 00:01:18.600]  因為教會現在都很遠離家
[00:01:18.600 --> 00:01:20.400]  可能很多人都有這樣的情況
[00:01:20.400 --> 00:01:21.900]  在家裡面大把時間
[00:01:21.900 --> 00:01:23.600]  多了很多時間這樣說
[00:01:23.600 --> 00:01:24.700]  雖然做事以外
[00:01:24.700 --> 00:01:26.700]  有很多空間
[00:01:26.700 --> 00:01:28.300]  我有沒有去拿來安靜
[00:01:28.300 --> 00:01:29.400]  去討好祈禱
[00:01:29.400 --> 00:01:32.300]  去跟神溝通呢
[00:01:32.300 --> 00:01:34.900]  這個都是一個很重要的操練
[00:01:34.900 --> 00:01:37.300]  其實是一個自律性的操練
[00:01:37.300 --> 00:01:38.100]  所以各位大家
[00:01:38.100 --> 00:01:39.700]  雖然我們不能夠在十二樓
[00:01:39.700 --> 00:01:40.900]  實體一起去敬拜主
[00:01:40.900 --> 00:01:42.400]  我仍然相信聖靈在幫助我們
[00:01:42.400 --> 00:01:44.100]  一起給自己體會
[00:01:44.100 --> 00:01:44.900]  去給自己學習
[00:01:44.900 --> 00:01:46.200]  這個很重要的
[00:01:46.200 --> 00:01:46.800]  很開心
[00:01:46.800 --> 00:01:49.000]  我們有機會這樣去講道
[00:01:49.000 --> 00:01:50.300]  分享整個說話
[00:01:50.300 --> 00:01:50.900]  我也盼望
[00:01:50.900 --> 00:01:52.600]  雖然我不跟你不是有同一個空間
[00:01:52.600 --> 00:01:54.200]  但是在同一個時間裡面
[00:01:54.200 --> 00:01:55.900]  我仍然相信聖靈會感動我們
[00:01:55.900 --> 00:01:56.900]  透過祂自己的說話
[00:01:56.900 --> 00:01:58.600]  去鼓勵激勵我們的生命
[00:01:58.600 --> 00:02:00.000]  讓我們可以去回應祂
[00:02:00.000 --> 00:02:01.600]  非常重要的
[00:02:01.600 --> 00:02:02.900]  我想大家按照
[00:02:02.900 --> 00:02:04.200]  你一直跟著青少年報的講道
[00:02:04.200 --> 00:02:04.900]  你就知道了
[00:02:04.900 --> 00:02:05.900]  我們今年的主題
[00:02:05.900 --> 00:02:07.600]  是展現上帝的國度
[00:02:07.600 --> 00:02:08.400]  希望我們能夠
[00:02:08.400 --> 00:02:10.500]  可以贏得同代的人
[00:02:10.500 --> 00:02:11.700]  希望透過我們的生命
[00:02:11.700 --> 00:02:13.000]  透過我們的見證
[00:02:13.000 --> 00:02:14.800]  我們之前講過關於福音
[00:02:14.800 --> 00:02:16.600]  福音如何去幫助人改變
[00:02:16.600 --> 00:02:18.200]  或者福音的影響力
[00:02:18.200 --> 00:02:20.200]  那種對人生命的改變
[00:02:20.200 --> 00:02:21.400]  如何去被吸引
[00:02:21.400 --> 00:02:23.700]  這個是我們之前講過的
[00:02:23.700 --> 00:02:26.000]  我們今天進入一個新的季度
[00:02:26.000 --> 00:02:27.000]  或者2月份
[00:02:27.000 --> 00:02:29.500]  我們有一個很重要的課題要講
[00:02:29.500 --> 00:02:31.600]  福音如何去讓人的生命
[00:02:31.600 --> 00:02:34.400]  和關係之間能夠得到幫助
[00:02:34.400 --> 00:02:35.600]  我今天的題目叫做
[00:02:35.600 --> 00:02:37.500]  展現上帝的國度
[00:02:37.500 --> 00:02:39.000]  和好要做到
[00:02:39.000 --> 00:02:40.700]  和好就是復活
[00:02:40.700 --> 00:02:43.300]  很想我們透過復活的
[00:02:43.300 --> 00:02:44.700]  一種信仰的特質
[00:02:44.700 --> 00:02:45.700]  或者這樣講
