
[00:00:00.000 --> 00:00:04.000]  不知道你剛才在敬拜中有什麼感受
[00:00:04.000 --> 00:00:09.000]  我覺得原來上帝的愛很真實
[00:00:09.000 --> 00:00:13.000]  能夠被愛的感覺很好
[00:00:13.000 --> 00:00:16.000]  我不知道你有沒有這個感覺
[00:00:16.000 --> 00:00:22.000]  很開心今天可以和大英姐妹一起分享神的說話
[00:00:22.000 --> 00:00:25.000]  9月有一個新的學年
[00:00:25.000 --> 00:00:30.000]  青少寶也有新一年的主題
[00:00:30.000 --> 00:00:32.000]  大家記不記得是什麼
[00:00:32.000 --> 00:00:35.000]  Shining Ocors Be The Night
[00:00:35.000 --> 00:00:39.000]  很期望我們這個群體能夠成為
[00:00:39.000 --> 00:00:43.000]  為神發熱發光的群體
[00:00:43.000 --> 00:00:45.000]  雖然新一年有新的主題
[00:00:45.000 --> 00:00:48.000]  但是青少寶那六個很重要的元素
[00:00:48.000 --> 00:00:52.000]  牧羊、關係、成長、敬拜、全福、庸夫
[00:00:52.000 --> 00:00:55.000]  都是我們需要繼續學習的
[00:00:55.000 --> 00:00:58.000]  這樣我們才能成為一個
[00:00:58.000 --> 00:01:02.000]  有屬靈質素的發光發熱的群體
[00:01:02.000 --> 00:01:04.000]  來到9月
[00:01:04.000 --> 00:01:08.000]  我們又進入關於牧羊的教導
[00:01:08.000 --> 00:01:13.000]  說到牧羊,還離不開愛
[00:01:13.000 --> 00:01:16.000]  但是愛,我們又有多冷呢?
[00:01:16.000 --> 00:01:18.000]  老實說,我也覺得
[00:01:18.000 --> 00:01:23.000]  我自己也不太懂
[00:01:23.000 --> 00:01:28.000]  相信一個人對愛的認識和經歷
[00:01:28.000 --> 00:01:31.000]  會影響他如何理解愛
[00:01:31.000 --> 00:01:35.000]  去演繹愛,以及去回應事情
[00:01:35.000 --> 00:01:37.000]  不只你認同
[00:01:37.000 --> 00:01:40.000]  最近我看《天使心》
[00:01:40.000 --> 00:01:42.000]  其中一篇文章提到
[00:01:42.000 --> 00:01:44.000]  一個題目叫巨嬰
[00:01:44.000 --> 00:01:48.000]  說什麼呢?
[00:01:48.000 --> 00:01:51.000]  有些人在嬰兒時期沒有實現的願望
[00:01:51.000 --> 00:01:54.000]  包括抱我、看我
[00:01:54.000 --> 00:01:57.000]  等到他們長大成長的時候
[00:01:57.000 --> 00:02:01.000]  就會將這兩個願望外化去實現
[00:02:01.000 --> 00:02:05.000]  就會變成很想建立明星、地位
[00:02:05.000 --> 00:02:08.000]  追求財富權力
[00:02:08.000 --> 00:02:10.000]  他們這樣做的動機
[00:02:10.000 --> 00:02:12.000]  都是很幸福的
[00:02:12.000 --> 00:02:14.000]  這樣做的動機
[00:02:14.000 --> 00:02:19.000]  都是希望別人注意我、接納我、肯定我
[00:02:19.000 --> 00:02:22.000]  而這篇文章就用巨嬰來形容
[00:02:22.000 --> 00:02:26.000]  那些小時候愛有缺乏的人
[00:02:26.000 --> 00:02:27.000]  巨嬰,即是說
[00:02:27.000 --> 00:02:29.000]  他現在已經長大成人了
[00:02:29.000 --> 00:02:32.000]  但是他仍然在追溯
[00:02:32.000 --> 00:02:35.000]  他嬰兒時失去的愛
[00:02:35.000 --> 00:02:37.000]  另外也說到
[00:02:37.000 --> 00:02:39.000]  如果不認識上帝
[00:02:39.000 --> 00:02:41.000]  我們也不會認識自己
[00:02:41.000 --> 00:02:47.000]  因為大家也有自己那套愛的理解
[00:02:47.000 --> 00:02:50.000]  所以,如果離開上帝的話
[00:02:50.000 --> 00:02:53.000]  你永遠都是一個巨嬰
[00:02:53.000 --> 00:02:56.000]  不知道大家在成長的當中
[00:02:56.000 --> 00:03:01.000]  你是否也一個對愛有缺失的人呢?
[00:03:01.000 --> 00:03:03.000]  或者缺乏的人呢?
[00:03:03.000 --> 00:03:06.000]  可能是,也可能不是
[00:03:06.000 --> 00:03:07.000]  但是我相信
[00:03:07.000 --> 00:03:10.000]  在我們的成長真的各有不同
[00:03:10.000 --> 00:03:15.000]  對愛總是會帶著不同的觀念和期望
[00:03:15.000 --> 00:03:19.000]  而當我們要走在一起實踐愛的時候
[00:03:19.000 --> 00:03:21.000]  總是會有一些困難和挑戰
[00:03:21.000 --> 00:03:26.000]  因為大家對愛的演繹、期望、表達都不同
[00:03:26.000 --> 00:03:29.000]  就像今天跟大家看的經文
[00:03:29.000 --> 00:03:34.000]  說到滿土約翰所牧養的一群信徒
[00:03:34.000 --> 00:03:38.000]  他們也被一些觀念影響
