
[00:00:00.000 --> 00:00:03.000]  好多謝凌峰嘅鼓勵 多謝大家嘅鼓勵
[00:00:03.000 --> 00:00:06.200]  今日都係第一次喺青少報
[00:00:06.200 --> 00:00:09.200]  喺呢個同大家實體咁樣同大家講到
[00:00:09.200 --> 00:00:10.700]  都真係有緊張嘅
[00:00:10.700 --> 00:00:13.100]  但係好多頭先應拜隊佢帶我
[00:00:13.100 --> 00:00:15.200]  即係應拜嘅時候提醒我
[00:00:15.200 --> 00:00:17.000]  我依靠嘅唔係我哋自己
[00:00:17.000 --> 00:00:18.800]  而係我要依靠返神
[00:00:18.800 --> 00:00:20.300]  我要返返去神嘅裏面
[00:00:20.300 --> 00:00:22.000]  所以今日我去帶住呢個
[00:00:22.000 --> 00:00:24.600]  我用求主義使用我呢
[00:00:24.600 --> 00:00:27.200]  去真係將個訊息去宣講畀大家
[00:00:27.200 --> 00:00:29.000]  咁今日呢我要講嘅
[00:00:29.000 --> 00:00:32.000]  首先呢大家記唔記得12份嘅月提係乜嘢
[00:00:32.000 --> 00:00:34.600]  就係講到盜成玉身嘅功課
[00:00:34.600 --> 00:00:37.100]  而我今日要講到嘅主題
[00:00:37.100 --> 00:00:41.000]  就係謙卑合一嘅lifestyle
[00:00:41.000 --> 00:00:43.100]  咁呢首先呢我都想講到先
[00:00:43.100 --> 00:00:44.400]  我想問一問大家
[00:00:44.400 --> 00:00:45.800]  唔知大家有冇發現
[00:00:45.800 --> 00:00:48.400]  近呢幾年呢有好多電視台
[00:00:48.400 --> 00:00:50.600]  有好多真人show嘅節目
[00:00:50.600 --> 00:00:53.000]  即係嗰啲呢電視台就搞一個活動出嚟
[00:00:53.000 --> 00:00:54.800]  即係透過一個活動
[00:00:54.800 --> 00:00:57.400]  咁就透過啲場景
[00:00:57.400 --> 00:01:01.800]  一啲任務就叫啲演員佢哋自由發揮
[00:01:01.800 --> 00:01:04.200]  即係好似呢啲全民造星
[00:01:04.200 --> 00:01:05.400]  大家一定有睇過
[00:01:05.400 --> 00:01:07.600]  喬教理MIRROR應該都有睇過
[00:01:07.600 --> 00:01:09.900]  近排仲有一個ERROR自爆
[00:01:09.900 --> 00:01:11.800]  96小時
[00:01:11.800 --> 00:01:14.500]  唔知大家呢你哋有冇睇呀
[00:01:14.500 --> 00:01:15.900]  我諗都有人睇嘅
[00:01:15.900 --> 00:01:18.500]  我呢都幾鍾意睇呢啲節目
[00:01:18.500 --> 00:01:19.500]  大家有冇諗過
[00:01:19.500 --> 00:01:24.000]  咦呢啲節目點解咁吸引到人去睇嘅呢
[00:01:24.000 --> 00:01:25.400]  其實大家有冇發現
[00:01:25.400 --> 00:01:27.900]  喺呢啲節目嘅當中好多時呢
[00:01:27.900 --> 00:01:30.300]  其實都會係拍攝緊一啲
[00:01:30.300 --> 00:01:33.200]  演員佢哋啲實際嘅生活情況
[00:01:33.200 --> 00:01:35.200]  佢哋呢透過佢哋每一個人
[00:01:35.200 --> 00:01:36.500]  喺鏡頭面前呢
[00:01:36.500 --> 00:01:39.700]  就會展現咗佢哋生活嘅lifestyle出嚟
[00:01:39.700 --> 00:01:40.900]  咁呢
[00:01:40.900 --> 00:01:43.700]  並且呢透過啲節目當中嗰啲挑戰
[00:01:43.700 --> 00:01:46.800]  咁呢佢哋嗰啲人同人之間嘅互動
[00:01:46.800 --> 00:01:49.800]  佢哋嘅真實嘅性格
[00:01:49.800 --> 00:01:53.400]  就會喺鏡頭面前表露無遺
[00:01:53.400 --> 00:01:56.400]  而可能係當中佢哋會出現咗爭執
[00:01:56.400 --> 00:01:58.900]  可能會有一啲爭拗
[00:01:58.900 --> 00:02:02.100]  又或者佢哋會有一個大家互相鼓勵
[00:02:02.100 --> 00:02:03.900]  互相嘅關心
[00:02:03.900 --> 00:02:07.700]  原來當我哋睇到呢啲人性嘅展露
[00:02:07.700 --> 00:02:10.500]  同埋呢啲真情流露嘅時候呢
[00:02:10.500 --> 00:02:14.100]  原來我哋係不期然就會畀佢吸引咗
[00:02:14.100 --> 00:02:16.500]  所以係透過呢啲
[00:02:16.500 --> 00:02:19.500]  我哋觀察人嘅內心掙扎嘅過程
[00:02:19.500 --> 00:02:22.700]  我哋自己裏面都產生咗共鳴
[00:02:22.700 --> 00:02:25.000]  所以呢啲電視節目咁吸引我哋
[00:02:25.000 --> 00:02:28.800]  就係因為佢哋嘅真情流露
[00:02:28.800 --> 00:02:30.400]  而我今日要講嘅講題
[00:02:30.400 --> 00:02:33.600]  就係謙卑合一嘅生活風格
[00:02:33.600 --> 00:02:35.500]  作為基督徒嘅群體
[00:02:35.500 --> 00:02:38.200]  其實我哋依家喺度展現一個
[00:02:38.200 --> 00:02:40.400]  點樣嘅生活風格
[00:02:40.400 --> 00:02:43.300]  謙卑合一係我哋基督徒
[00:02:43.300 --> 00:02:45.500]  一個好重要嘅特質嚟㗎
[00:02:45.500 --> 00:02:48.500]  但係我哋點樣先可以展現到
[00:02:48.500 --> 00:02:52.100]  謙卑合一嘅呢個生活風格出嚟呢
[00:02:52.100 --> 00:02:55.900]  我今日講到嘅經文就係「菲律比書」
[00:02:55.900 --> 00:03:00.700]  我依家先講講「菲律比書」嘅背景先
[00:03:00.700 --> 00:03:02.500]  其實「菲律比教會」就係
[00:03:02.500 --> 00:03:04.500]  保羅第二次宣教之旅
[00:03:04.500 --> 00:03:08.100]  當時係歐洲成立嘅第一間教會
[00:03:08.100 --> 00:03:10.300]  而保羅當時身處嘅情況
[00:03:10.300 --> 00:03:12.400]  佢就係喺度坐監嘅當中
[00:03:12.400 --> 00:03:14.500]  而「菲律比教會」嘅信徒
[00:03:14.500 --> 00:03:16.400]  佢知道保羅係坐緊監
[00:03:16.400 --> 00:03:18.700]  跟住佢哋就派咗佢哋同工以巴忽睇
[00:03:18.700 --> 00:03:21.200]  帶住啲錢 帶住啲物資
[00:03:21.200 --> 00:03:23.000]  就去幫助保羅
[00:03:23.000 --> 00:03:25.200]  喺保羅嘅福音使工上面
[00:03:25.200 --> 00:03:28.600]  其實「菲律比」嘅信徒係好大力嘅支持
[00:03:28.600 --> 00:03:31.900]  所以保羅佢係特登寫呢封信
[00:03:31.900 --> 00:03:35.200]  佢多謝佢哋呢一啲嘅幫助之餘
[00:03:35.200 --> 00:03:38.400]  其實都係佢哋嗰啲熟齡景況
[00:03:38.400 --> 00:03:41.100]  都係讓到保羅覺得好喜悅
[00:03:41.100 --> 00:03:43.900]  但係同時其實佢哋有好嘅一面
[00:03:43.900 --> 00:03:45.700]  佢哋都有唔好嘅一面
