
[00:00:00.000 --> 00:00:02.000]  丁前梅伍安
[00:00:02.000 --> 00:00:04.000]  非常感恩
[00:00:04.000 --> 00:00:07.000]  新年讓我們有機會在網上一起直播
[00:00:07.000 --> 00:00:09.000]  去參與崇拜
[00:00:09.000 --> 00:00:12.000]  藉著神的靈引導我們透過敬拜
[00:00:12.000 --> 00:00:15.000]  我們可以在神面前再一次去認定
[00:00:15.000 --> 00:00:17.000]  祂就是我們生命的主
[00:00:17.000 --> 00:00:20.000]  同時我又在敬拜禱告裏面
[00:00:20.000 --> 00:00:24.000]  重新去知道其實一直神都在我們生命裏面出現
[00:00:24.000 --> 00:00:26.000]  不論我們在生活上
[00:00:26.000 --> 00:00:28.000]  也有任何的事情
[00:00:28.000 --> 00:00:30.000]  祂仍然在我們生命裏面藉著不同的事物
[00:00:30.000 --> 00:00:32.000]  去告訴我們祂保守著我們
[00:00:32.000 --> 00:00:35.000]  這個都是在新年裏面
[00:00:35.000 --> 00:00:37.000]  神很想透過剛才敬拜
[00:00:37.000 --> 00:00:38.000]  透過我們祈禱裏面
[00:00:38.000 --> 00:00:40.000]  去告訴我們
[00:00:40.000 --> 00:00:41.000]  同樣的
[00:00:41.000 --> 00:00:42.000]  等一下說神的說話
[00:00:42.000 --> 00:00:45.000]  伯望也在中國人說
[00:00:45.000 --> 00:00:47.000]  是不是在農曆新年期間
[00:00:47.000 --> 00:00:48.000]  新年開始裏面
[00:00:48.000 --> 00:00:50.000]  我們都以神的說話開始我們一年
[00:00:50.000 --> 00:00:51.000]  伯望我們成為
[00:00:51.000 --> 00:00:53.000]  就好像我今天的講題一樣
[00:00:53.000 --> 00:00:54.000]  新一年
[00:00:54.000 --> 00:00:57.000]  祝願大家成為一個剛強的人
[00:00:57.000 --> 00:00:59.000]  這個是我很想跟大家一起去分享
[00:00:59.000 --> 00:01:02.000]  講到經文之前
[00:01:02.000 --> 00:01:04.000]  都想跟大家一起去思考一下
[00:01:04.000 --> 00:01:06.000]  我不知道今年新年
[00:01:06.000 --> 00:01:08.000]  今天年初一、二
[00:01:08.000 --> 00:01:10.000]  你跟多少人拜年
[00:01:10.000 --> 00:01:12.000]  可能今年都會說少了很多
[00:01:12.000 --> 00:01:14.000]  看新聞、看電視都看到
[00:01:14.000 --> 00:01:17.000]  好像連利是封的生意都搞不定
[00:01:17.000 --> 00:01:19.000]  因為少了人去買利是
[00:01:19.000 --> 00:01:21.000]  幸好昨天年初一通常都會去
[00:01:21.000 --> 00:01:26.000]  我太太那邊的家人去拜年
[00:01:26.000 --> 00:01:28.000]  昨天因為疫情
[00:01:28.000 --> 00:01:30.000]  所以我們只可以在網上用Zoom
[00:01:30.000 --> 00:01:33.000]  六、七個家庭在Zoom裏面
[00:01:33.000 --> 00:01:34.000]  一人在拜年
[00:01:34.000 --> 00:01:35.000]  我也是第一次
[00:01:35.000 --> 00:01:36.000]  半小時
[00:01:36.000 --> 00:01:38.000]  平時上到去可以吃東西
[00:01:38.000 --> 00:01:39.000]  聊聊天什麼都做
[00:01:39.000 --> 00:01:41.000]  但是昨天跟老人家在Zoom裏面
[00:01:41.000 --> 00:01:43.000]  其實這半小時都不知道搞什麼
[00:01:43.000 --> 00:01:45.000]  感覺都是很好的
[00:01:45.000 --> 00:01:46.000]  因為可以彼此見面
