
[00:00:00.000 --> 00:00:02.500]  好,鄧姐妹大家好
[00:00:02.500 --> 00:00:04.700]  我不知道剛才在敬拜裡面
[00:00:04.700 --> 00:00:07.800]  在家裡敬拜的時候有什麼體會
[00:00:07.800 --> 00:00:12.300]  即使我們現在未必有機會實體崇拜
[00:00:12.300 --> 00:00:16.000]  但是剛才透過ASTA帶我們去敬拜
[00:00:16.000 --> 00:00:20.400]  體會到好像最近大家都很忙亂
[00:00:20.400 --> 00:00:23.300]  到處去搶不同東西
[00:00:23.300 --> 00:00:24.800]  Panadol又搶
[00:00:24.800 --> 00:00:29.000]  檢測測試的東西又搶
[00:00:29.000 --> 00:00:30.300]  好像很忙亂
[00:00:30.300 --> 00:00:32.500]  但是很特別的是
[00:00:32.500 --> 00:00:35.200]  透過剛才的敬拜讓我們體會的
[00:00:35.200 --> 00:00:38.000]  原來其實再一次提醒我們
[00:00:38.000 --> 00:00:39.300]  好像很忙亂裡面
[00:00:39.300 --> 00:00:41.300]  其實神仍然是不變的主
[00:00:41.300 --> 00:00:43.100]  仍然在當中掌權
[00:00:43.100 --> 00:00:46.100]  鄧姐姐我不知道你剛才有什麼體會
[00:00:46.100 --> 00:00:47.900]  如果你有體會的話
[00:00:47.900 --> 00:00:50.200]  你又可以在訪問室打出來
[00:00:50.200 --> 00:00:51.800]  讓我們知道一下
[00:00:51.800 --> 00:00:53.300]  我覺得也很特別的
[00:00:53.300 --> 00:00:56.700]  我猜疫情下我們很多時間沒有一起去敬拜
[00:00:56.700 --> 00:01:00.100]  但是有時候即使可能不在實體
[00:01:00.100 --> 00:01:01.600]  我們一起去敬拜
[00:01:01.600 --> 00:01:03.900]  但是原來其實我們發現
[00:01:03.900 --> 00:01:06.100]  其實即使不是在同一個地方敬拜
[00:01:06.100 --> 00:01:07.700]  我們體會的是
[00:01:07.700 --> 00:01:09.300]  我們敬拜的都是同一個主
[00:01:09.300 --> 00:01:11.200]  我們經歷的都是同一個主
[00:01:11.200 --> 00:01:12.200]  所以也鼓勵大家
[00:01:12.200 --> 00:01:14.100]  希望透過敬拜裡面
[00:01:14.100 --> 00:01:16.100]  也讓大家有提醒
[00:01:16.100 --> 00:01:20.800]  今天我就跟大家分享信息
[00:01:20.800 --> 00:01:23.400]  《青少報》今個月的主題是
[00:01:23.400 --> 00:01:24.500]  如果大家有記得
[00:01:24.500 --> 00:01:26.800]  之前幾個星期無論David 阿君
[00:01:26.800 --> 00:01:28.500]  不跟他說的時候
[00:01:28.500 --> 00:01:29.900]  都說到今個月主題是
[00:01:29.900 --> 00:01:33.300]  福音讓人的關係變得復活
[00:01:33.300 --> 00:01:37.000]  今天很想專注在我們身邊一個很重要的範疇
[00:01:37.000 --> 00:01:38.300]  就是家庭
[00:01:38.300 --> 00:01:40.500]  所以我定了一個題目叫做
[00:01:40.500 --> 00:01:42.800]  家家有本難念的經
[00:01:42.800 --> 00:01:45.000]  我不知道你有沒有聽過這個說話
[00:01:45.000 --> 00:01:46.000]  如果你有聽過的時候
[00:01:46.000 --> 00:01:48.700]  我不知道你認不認同這個說話
[00:01:48.700 --> 00:01:50.600]  我想特別在疫情下
[00:01:50.600 --> 00:01:52.900]  我們跟家人的相處多了
[00:01:52.900 --> 00:01:55.000]  如果你關係好的話
[00:01:55.000 --> 00:01:58.900]  可能你會很珍惜跟家人相處的時間
[00:01:58.900 --> 00:01:59.600]  但相反
[00:01:59.600 --> 00:02:01.400]  如果你關係一般一般的話
[00:02:01.400 --> 00:02:02.200]  那就糟糕了
[00:02:02.200 --> 00:02:04.000]  大家困獸鬥
