
[00:00:00.000 --> 00:00:03.000]  第一節會午安
[00:00:03.000 --> 00:00:08.000]  不知道剛才你們帶著什麼心情去敬拜
[00:00:08.000 --> 00:00:14.000]  我自己帶著一點沉重
[00:00:14.000 --> 00:00:19.000]  但是更加多的感恩去敬拜
[00:00:19.000 --> 00:00:24.000]  我剛才的敬拜是一個宣告
[00:00:24.000 --> 00:00:26.000]  因為我覺得上帝真的很愛我
[00:00:26.000 --> 00:00:27.000]  上帝真的很肯定我
[00:00:27.000 --> 00:00:29.000]  上帝真的很明白、知道我
[00:00:29.000 --> 00:00:34.000]  事緣就是昨天發生了一些事
[00:00:34.000 --> 00:00:36.000]  有些不開心
[00:00:36.000 --> 00:00:39.000]  也挺不開心
[00:00:39.000 --> 00:00:40.000]  但是發覺原來
[00:00:40.000 --> 00:00:46.000]  昨晚到今早上帝一直用了很多不同的方法去提醒我
[00:00:46.000 --> 00:00:49.000]  我猜他也知道我不是很厲害
[00:00:49.000 --> 00:00:50.000]  我感覺就是
[00:00:50.000 --> 00:00:51.000]  你不要太厲害
[00:00:51.000 --> 00:00:53.000]  他就狂塞一些東西給我
[00:00:53.000 --> 00:00:54.000]  告訴我我在這裡
[00:00:54.000 --> 00:00:55.000]  我和你在一起
[00:00:55.000 --> 00:00:57.000]  所以剛才的敬拜
[00:00:57.000 --> 00:01:00.000]  我是很肯定、很想宣告
[00:01:00.000 --> 00:01:01.000]  上帝真是我心明的主
[00:01:01.000 --> 00:01:03.000]  他真的很愛我
[00:01:03.000 --> 00:01:05.000]  我不知道你們帶著什麼心情去敬拜
[00:01:05.000 --> 00:01:07.000]  但是我很感恩
[00:01:07.000 --> 00:01:08.000]  我們每個星期
[00:01:08.000 --> 00:01:09.000]  就算是加著螢幕
[00:01:09.000 --> 00:01:11.000]  也可以去敬拜
[00:01:11.000 --> 00:01:13.000]  其實都是他的恩典
[00:01:13.000 --> 00:01:15.000]  願意剛才的敬拜
[00:01:15.000 --> 00:01:17.000]  我們忘記了
[00:01:17.000 --> 00:01:18.000]  我們就要提醒
[00:01:18.000 --> 00:01:20.000]  但是我們是可以肯定認同的
[00:01:20.000 --> 00:01:24.000]  也是一個機會去敬拜暫未住
[00:01:24.000 --> 00:01:27.000]  在講道之前我們有個祈禱
[00:01:27.000 --> 00:01:30.000]  齋天父
[00:01:30.000 --> 00:01:32.000]  我們人確實是很軟弱
[00:01:32.000 --> 00:01:34.000]  確實也是很善忘
[00:01:34.000 --> 00:01:37.000]  但是你給我們有教會
[00:01:37.000 --> 00:01:40.000]  給我們每個星期都可以去敬拜
[00:01:40.000 --> 00:01:43.000]  每個星期可以聽你的說話
[00:01:43.000 --> 00:01:46.000]  每一天我們又可以有聖經去聽你的說話
[00:01:46.000 --> 00:01:48.000]  我們人就是要這樣
[00:01:48.000 --> 00:01:50.000]  保持著被你去記得
[00:01:50.000 --> 00:01:53.000]  保持著你的話語去帶領我們
[00:01:53.000 --> 00:01:56.000]  我們才能夠去記住你
[00:01:56.000 --> 00:01:58.000]  能夠帶著你進入我們的生命裡面
[00:01:58.000 --> 00:01:59.000]  所以感謝你
[00:01:59.000 --> 00:02:01.000]  感謝你給我們有教會
[00:02:01.000 --> 00:02:02.000]  給我們有聖經
[00:02:02.000 --> 00:02:05.000]  可以去認定你就是我們的主
[00:02:05.000 --> 00:02:06.000]  待會講道
[00:02:06.000 --> 00:02:07.000]  求你去跟我
[00:02:07.000 --> 00:02:09.000]  也都跟大家去說話
[00:02:09.000 --> 00:02:11.000]  願意你真的讓我們看到
[00:02:11.000 --> 00:02:12.000]  你是創造我們的主
[00:02:12.000 --> 00:02:14.000]  你是認識我們的主
[00:02:14.000 --> 00:02:18.000]  以致我們生命裡面得到豐盛
