
[00:00:00.000 --> 00:00:02.000]  (音樂播放)
[00:00:02.000 --> 00:00:03.000]  喂喂喂
[00:00:03.000 --> 00:00:05.000]  Hello 大英姊妹你們好
[00:00:05.000 --> 00:00:07.000]  是啦
[00:00:07.000 --> 00:00:08.000]  好久沒回來
[00:00:08.000 --> 00:00:10.000]  連咪高峰都不認識我了
[00:00:10.000 --> 00:00:12.000]  多謝Forens帶我們一起
[00:00:12.000 --> 00:00:15.000]  走到上帝上面的面前
[00:00:15.000 --> 00:00:18.000]  也多謝Forens在大敬拜之前
[00:00:18.000 --> 00:00:21.000]  重提我剛剛回來
[00:00:21.000 --> 00:00:23.000]  其實我都不是走了很久
[00:00:23.000 --> 00:00:24.000]  只是放假一個月
[00:00:24.000 --> 00:00:27.000]  回來好像很久
[00:00:27.000 --> 00:00:31.000]  我星期二回來
[00:00:31.000 --> 00:00:33.000]  星期一就上學
[00:00:33.000 --> 00:00:35.000]  神學院上課
[00:00:35.000 --> 00:00:36.000]  上課的時候
[00:00:36.000 --> 00:00:38.000]  有個同學就說
[00:00:38.000 --> 00:00:40.000]  我這個星期要講道
[00:00:40.000 --> 00:00:41.000]  那個同學就說
[00:00:41.000 --> 00:00:43.000]  我還沒預備
[00:00:43.000 --> 00:00:44.000]  那個同學就說
[00:00:44.000 --> 00:00:46.000]  沒所謂啦
[00:00:46.000 --> 00:00:48.000]  那些牧師、傳道人都是這樣的
[00:00:48.000 --> 00:00:50.000]  去完旅行回來上台
[00:00:50.000 --> 00:00:52.000]  都是講一下去旅行幹什麼
[00:00:52.000 --> 00:00:53.000]  那些都可以啦
[00:00:53.000 --> 00:00:54.000]  咦 咦 咦
[00:00:54.000 --> 00:00:55.000]  咦 好大聲啊
[00:00:55.000 --> 00:00:58.000]  然後我有另一個同學
[00:00:58.000 --> 00:01:00.000]  他是傳道人
[00:01:00.000 --> 00:01:02.000]  然後他就說
[00:01:02.000 --> 00:01:04.000]  怎麼可以啊
[00:01:04.000 --> 00:01:06.000]  我心裡就立志了一件事
[00:01:06.000 --> 00:01:09.000]  不要上台不要分享太多旅行
[00:01:09.000 --> 00:01:10.000]  阻礙大家時間
[00:01:10.000 --> 00:01:11.000]  講道嘛
[00:01:11.000 --> 00:01:13.000]  但是我上來就忍不住
[00:01:13.000 --> 00:01:15.000]  因為剛才Forens又說
[00:01:15.000 --> 00:01:17.000]  我求你回來嘛
[00:01:17.000 --> 00:01:21.000]  所以我很想直此都分享一兩句去旅行
[00:01:21.000 --> 00:01:23.000]  不過我猜去旅行很想分享的是什麼
[00:01:23.000 --> 00:01:25.000]  我就突然又要分享
[00:01:25.000 --> 00:01:27.000]  我猜對我來說
[00:01:27.000 --> 00:01:29.000]  如果要分享一個去旅行的感受
[00:01:29.000 --> 00:01:30.000]  一個月的感受
[00:01:30.000 --> 00:01:31.000]  我的感受就是
[00:01:31.000 --> 00:01:33.000]  不見出去了一個月
[00:01:33.000 --> 00:01:34.000]  就如隔一週
[00:01:34.000 --> 00:01:36.000]  好像很快又回來
[00:01:36.000 --> 00:01:37.000]  玩得很開心
[00:01:37.000 --> 00:01:38.000]  不過我覺得
