
[00:00:00.000 --> 00:00:07.000]  即係講到陌生嘅地方你諗起咩呢
[00:00:07.000 --> 00:00:10.000]  可能我哋即刻諗起短宣
[00:00:10.000 --> 00:00:18.000]  特別七月以前係㗎嘛六七月係我哋去柬埔寨去武漢文化交流嘅日子
[00:00:18.000 --> 00:00:22.000]  我身邊嘅有啲朋友都幾多朋友就開始移民
[00:00:22.000 --> 00:00:25.000]  我唔知你哋多唔多
[00:00:25.000 --> 00:00:30.000]  佢哋都會去到一個新嘅地方一個唔熟識嘅地方
[00:00:30.000 --> 00:00:32.000]  又或者唔一定移民可能升學
[00:00:32.000 --> 00:00:35.000]  頭先係咁已經同啲年青人傾下計
[00:00:35.000 --> 00:00:39.000]  佢自己或者佢小組都有啲人去升學
[00:00:39.000 --> 00:00:43.000]  呢啲都係去到另一個國家呢個都係我哋陌生嘅地方
[00:00:43.000 --> 00:00:48.000]  甚至乎唔好諗咁遠我哋落去探訪
[00:00:48.000 --> 00:00:52.000]  仲記唔記得我哋Shining Luna同Shining Neighbor
[00:00:52.000 --> 00:00:57.000]  我哋去到深水埗去到荃灣或者去旺角遊麻地呢啲呢
[00:00:57.000 --> 00:01:00.000]  其實都唔一定係我哋熟識嘅地方
[00:01:00.000 --> 00:01:03.000]  甚至乎有人咁樣講
[00:01:03.000 --> 00:01:06.000]  而家個香港都好陌生
[00:01:06.000 --> 00:01:09.000]  人咁樣講而家個香港都好陌生
[00:01:09.000 --> 00:01:14.000]  作為基督徒嘅我哋其實對於要喺陌生嘅環境
[00:01:14.000 --> 00:01:18.000]  甚至乎陌生嘅香港去完成上嘅使命
[00:01:18.000 --> 00:01:22.000]  繼續要為主增戰你覺得困唔困難呢
[00:01:22.000 --> 00:01:24.000]  要繼續去成為光
[00:01:24.000 --> 00:01:29.000]  繼續去成為光照別人嘅生命
[00:01:29.000 --> 00:01:31.000]  或者繼續要為上帝增戰
[00:01:31.000 --> 00:01:33.000]  唔知困唔困難你覺得
[00:01:33.000 --> 00:01:39.000]  希望今日透過亞摩斯書一齊透過神嘅話
[00:01:39.000 --> 00:01:42.000]  去成為我哋嘅提醒同鼓勵
