
[00:00:00.000 --> 00:00:02.500]  多謝主人的報告
[00:00:02.500 --> 00:00:05.240]  下個星期就是我們的Easter Sunday
[00:00:05.240 --> 00:00:06.740]  即是復活節的主日
[00:00:06.740 --> 00:00:10.000]  我們這個星期五就是Good Friday Service
[00:00:10.000 --> 00:00:12.200]  我們邀請各位來到我們中間
[00:00:12.200 --> 00:00:14.000]  下個星期五
[00:00:14.000 --> 00:00:15.320]  在這個地方
[00:00:15.320 --> 00:00:16.580]  同一個地方七點半鐘
[00:00:16.580 --> 00:00:18.420]  我們有受復活節的崇拜
[00:00:18.420 --> 00:00:20.420]  下個星期正如主人所說
[00:00:20.420 --> 00:00:21.620]  就是我們Easter Sunday
[00:00:21.620 --> 00:00:24.080]  亦是我們教會的九週年
[00:00:24.080 --> 00:00:25.200]  我們已經九歲了
[00:00:25.200 --> 00:00:26.420]  九歲
[00:00:26.420 --> 00:00:28.500]  我們教會很多人都九歲
[00:00:28.500 --> 00:00:29.740]  在那邊
[00:00:29.740 --> 00:00:31.000]  在小朋友那邊
[00:00:31.000 --> 00:00:33.700]  我們應該很有活力繼續向前
[00:00:33.700 --> 00:00:37.960]  下個星期我們剛才說到藝術表演
[00:00:37.960 --> 00:00:40.160]  其實就是兩幅很大的畫
[00:00:40.160 --> 00:00:43.160]  就會在我們崇拜裡面畫出來
[00:00:43.160 --> 00:00:45.660]  我們希望真的坐前一點
[00:00:45.660 --> 00:00:47.960]  我們希望在視覺上
[00:00:47.960 --> 00:00:49.500]  在音響上
[00:00:49.500 --> 00:00:52.240]  能夠帶給大家一個新的開始
[00:00:52.240 --> 00:00:53.740]  因為我們九年開始
[00:00:53.740 --> 00:00:55.080]  第九歲的時候
[00:00:55.080 --> 00:00:56.540]  我們在講抗疫
[00:00:56.540 --> 00:00:58.620]  以及在尋找地方等等
[00:00:58.620 --> 00:01:01.380]  都是需要我們大家一起
[00:01:01.380 --> 00:01:03.880]  同心協力的去建立教會的
[00:01:03.880 --> 00:01:04.580]  OK
[00:01:04.580 --> 00:01:07.800]  今天講到的不是一個系列
[00:01:07.800 --> 00:01:09.460]  是一個特別加插下去的
[00:01:09.460 --> 00:01:11.040]  雖然今天是Palm Sunday
[00:01:11.040 --> 00:01:13.660]  通常我們講耶穌榮進耶路撒冷
[00:01:13.660 --> 00:01:16.700]  不過在這裡我想加插一個
[00:01:16.700 --> 00:01:21.160]  跟我們大家應該都頗接近的講道題目
[00:01:21.160 --> 00:01:23.500]  原因是什麼呢?
[00:01:23.500 --> 00:01:25.200]  因為三月底的時候
[00:01:25.360 --> 00:01:30.780]  我們大芝加哥區華人教會有一個聯會
[00:01:30.780 --> 00:01:34.580]  聯會發了一個電郵給所有教會
[00:01:34.580 --> 00:01:38.200]  就說在大芝加哥區裡面的教會
[00:01:38.200 --> 00:01:42.460]  有一個異端非常活躍
[00:01:42.460 --> 00:01:46.660]  我們都知道最近異端是活躍的
[00:01:46.660 --> 00:01:49.420]  譬如說夜戶、見證人
[00:01:49.420 --> 00:01:52.740]  特別這個電郵講到一個異端
[00:01:52.740 --> 00:01:55.080]  叫做東方閃電
[00:01:55.080 --> 00:01:57.080]  所以它滲入不同的教會
[00:01:57.080 --> 00:02:01.540]  也是很主動、很熱烈的去認識人
[00:02:01.540 --> 00:02:05.540]  去傳講他們的信息等等
[00:02:05.540 --> 00:02:08.160]  所以為什麼今天想加插這個進去呢?
[00:02:08.160 --> 00:02:11.080]  就是想大家有一點點的 awareness
[00:02:11.080 --> 00:02:14.320]  還有一點點的明白
[00:02:14.320 --> 00:02:15.160]  好嗎?
[00:02:15.160 --> 00:02:20.080]  我的經文是取自《司徒行傳》第20章
[00:02:20.080 --> 00:02:23.580]  這裡是所謂的militant farewell speech
[00:02:23.580 --> 00:02:28.040]  就是保羅在他第三次宣教回程的時候
[00:02:28.040 --> 00:02:29.740]  快要回耶路撒冷的時候
[00:02:29.740 --> 00:02:31.620]  在米利都這個地方
[00:02:31.620 --> 00:02:34.280]  米利都一個海灣、一個碼頭
[00:02:34.280 --> 00:02:38.700]  跟以弗所的長老有一些交代、有一些叮嚀
[00:02:38.700 --> 00:02:44.000]  這裡講到教會會遇見什麼樣的威脅
[00:02:44.000 --> 00:02:47.860]  很簡單有三點我想今天帶出的
[00:02:47.860 --> 00:02:49.540]  第一個就是真理
[00:02:49.540 --> 00:02:50.820]  福音的真理
[00:02:50.820 --> 00:02:51.900]  聖經的真理
[00:02:51.900 --> 00:02:53.900]  是可以被扭曲的
[00:02:53.900 --> 00:02:54.740]  可以被扭曲的
[00:02:54.740 --> 00:02:56.240]  二端就是這個意思
[00:02:56.240 --> 00:02:57.240]  是不是?
[00:02:57.240 --> 00:03:00.900]  第二點就是真理是必須要我們去守護
[00:03:00.900 --> 00:03:03.440]  並且我們以生命來活出
[00:03:03.440 --> 00:03:07.400]  講出米利都的道別講話
[00:03:07.400 --> 00:03:09.400]  先給一點背景
[00:03:09.400 --> 00:03:10.400]  你看地圖就知道
[00:03:10.400 --> 00:03:13.900]  這次是保羅第三次的旅程
[00:03:13.900 --> 00:03:15.400]  第三次宣教的旅程
[00:03:15.400 --> 00:03:18.900]  你看到他從右上角安提阿開始
[00:03:18.900 --> 00:03:22.900]  在那裡在陸路去到以弗所
[00:03:22.900 --> 00:03:23.900]  看到嗎?
[00:03:23.900 --> 00:03:26.400]  以弗所是一個很重要的城市
[00:03:26.400 --> 00:03:28.900]  然後在那裡他一直上去北面
[00:03:28.900 --> 00:03:32.400]  就去到特羅亞另外一個海灣、另一個碼頭
[00:03:32.400 --> 00:03:35.900]  在那裡他就過海
[00:03:35.900 --> 00:03:37.400]  就是過海對面
[00:03:37.400 --> 00:03:41.900]  然後就將福音傳到菲臘比
[00:03:41.900 --> 00:03:43.900]  去探望那裡的教會
[00:03:43.900 --> 00:03:48.400]  然後他就繼續以陸路下去到下面的哥倫多
[00:03:48.400 --> 00:03:51.400]  就是今天的希臘半島的地方
[00:03:51.400 --> 00:03:53.400]  然後又再上去
[00:03:53.400 --> 00:03:56.400]  回到特羅亞他又再坐船下去
[00:03:56.400 --> 00:03:59.400]  這次繞過以弗所
[00:03:59.400 --> 00:04:02.400]  因為他趕路要回去耶路撒冷
[00:04:02.400 --> 00:04:04.400]  為什麼要回去耶路撒冷呢?
[00:04:04.400 --> 00:04:08.400]  就是因為他想報告愛邦人的工作
[00:04:08.400 --> 00:04:09.900]  所有的修成
[00:04:09.900 --> 00:04:13.400]  告訴總會的舞會
[00:04:13.400 --> 00:04:17.400]  並且保羅周遊列國到不同的地方
[00:04:17.400 --> 00:04:21.400]  在特別愛邦人多的教會裡面去籌款
[00:04:21.400 --> 00:04:23.900]  去支持舞會裡面的大英姐妹
[00:04:23.900 --> 00:04:26.400]  因為當時有一些天災等等
[00:04:26.400 --> 00:04:31.400]  所以耶路撒冷的教會很需要資金上的支持
[00:04:31.400 --> 00:04:34.900]  所以保羅就帶著這些奉獻
[00:04:34.900 --> 00:04:37.900]  他趕路要去到耶路撒冷
[00:04:37.900 --> 00:04:40.900]  所以他就繞過了以弗所
[00:04:40.900 --> 00:04:45.400]  然後他就在米利都那裡做什麼呢?
[00:04:45.400 --> 00:04:48.900]  他就叫以弗所的長老來到
[00:04:48.900 --> 00:04:50.900]  然後跟他們有一番說話
[00:04:50.900 --> 00:04:54.400]  那個就是所謂的Military Farewell Speech
[00:04:54.400 --> 00:04:56.900]  你看到這個整個地圖
[00:04:56.900 --> 00:04:59.400]  他當然是回到耶路撒冷
[00:04:59.400 --> 00:05:04.400]  為什麼這個所謂米利都道別的講話這麼感人呢?
[00:05:04.400 --> 00:05:06.900]  還有帶著眼淚呢?
[00:05:06.900 --> 00:05:09.400]  因為保羅知道他回去耶路撒冷的時候
[00:05:09.400 --> 00:05:11.900]  除了他辦理事公的事
[00:05:11.900 --> 00:05:15.400]  他還會遇見很多的反對
[00:05:15.400 --> 00:05:19.400]  因為耶路撒冷有很多反對他的猶太人
[00:05:19.400 --> 00:05:20.900]  想去陷害他
[00:05:20.900 --> 00:05:22.900]  他也知道可能到了耶路撒冷的時候
[00:05:22.900 --> 00:05:25.900]  將會有患難並且會有困所
[00:05:25.900 --> 00:05:29.900]  結果當然保羅就回到耶路撒冷
[00:05:29.900 --> 00:05:33.400]  回到沒多久就有一些暴動
[00:05:33.400 --> 00:05:35.400]  然後有一些反對他的人
[00:05:35.400 --> 00:05:37.400]  猶太人就將他抓拿
[00:05:37.400 --> 00:05:39.900]  然後在公會那裡審判
[00:05:39.900 --> 00:05:42.400]  帶到羅馬官面前去審判
[00:05:42.400 --> 00:05:46.400]  帶到當時有一個希律王
[00:05:46.400 --> 00:05:48.900]  阿基帕王在面前去審判
[00:05:48.900 --> 00:05:50.400]  等等等等
[00:05:50.400 --> 00:05:51.900]  如果這樣說的話
[00:05:51.900 --> 00:05:53.400]  像不像什麼?
[00:05:53.400 --> 00:05:54.900]  像誰?
[00:05:54.900 --> 00:05:57.400]  就是他去到耶路撒冷要受苦
[00:05:57.400 --> 00:05:58.900]  然後被公會審判
[00:05:58.900 --> 00:06:00.400]  被猶太人去害
[00:06:00.400 --> 00:06:04.900]  然後在巡撫總督面前去受審
[00:06:04.900 --> 00:06:06.900]  在希律王面前受審
[00:06:06.900 --> 00:06:07.900]  像誰?
[00:06:07.900 --> 00:06:09.900]  像耶穌沒錯
[00:06:09.900 --> 00:06:11.900]  整個《使徒行傳》最後這一段
[00:06:11.900 --> 00:06:13.400]  就是講到保羅
[00:06:13.400 --> 00:06:14.400]  告訴人聽
[00:06:14.400 --> 00:06:15.900]  保羅是一個怎樣的人
[00:06:15.900 --> 00:06:17.900]  就好像耶穌基督那樣
[00:06:17.900 --> 00:06:19.400]  所以他回到耶路撒冷的時候
[00:06:19.400 --> 00:06:20.900]  確實就是發生了這樣的事情
[00:06:20.900 --> 00:06:23.900]  然後他就再沒有所謂的自由
[00:06:23.900 --> 00:06:28.400]  然後他就說我要上告該殺
[00:06:28.400 --> 00:06:30.900]  所謂《使徒行傳》27、28章
[00:06:30.900 --> 00:06:32.400]  最後兩章
[00:06:32.400 --> 00:06:33.900]  就是講到他上告該殺的
[00:06:33.900 --> 00:06:36.900]  遇見不同的風浪等等
[00:06:36.900 --> 00:06:37.900]  不同的苦難
[00:06:37.900 --> 00:06:40.900]  最後他是帶著福音
[00:06:40.900 --> 00:06:44.400]  雖然沒有了真正的完全的自由
[00:06:44.400 --> 00:06:47.900]  帶著福音去到羅馬
[00:06:47.900 --> 00:06:49.900]  所以整個《使徒行傳》下面那一段
[00:06:49.900 --> 00:06:52.900]  就是說保羅很像耶穌基督一樣
[00:06:52.900 --> 00:06:55.900]  所以在米利都的講話
[00:06:55.900 --> 00:06:57.400]  我們回到這裡
[00:06:57.400 --> 00:07:00.900]  就有一點像耶穌基督最後晚餐的時候
[00:07:00.900 --> 00:07:02.900]  講的farewell speech
[00:07:02.900 --> 00:07:05.400]  因為這個是很重要很重要
[00:07:05.400 --> 00:07:07.400]  對教會非常重要
[00:07:07.400 --> 00:07:10.900]  因為他將會無辜的受害受審
[00:07:10.900 --> 00:07:14.400]  並且會殉道死
[00:07:14.400 --> 00:07:15.400]  好像耶穌一樣
[00:07:15.400 --> 00:07:17.400]  結果我們知道他去到羅馬的時候
[00:07:17.400 --> 00:07:19.400]  本來就是人頭落地
[00:07:19.400 --> 00:07:21.900]  所以米利都最後的講話
[00:07:21.900 --> 00:07:24.400]  就像耶穌和門徒講話一樣
[00:07:24.400 --> 00:07:27.400]  這個是小亞細亞裡面最後一次
[00:07:27.400 --> 00:07:29.400]  是公開的講道
[00:07:29.400 --> 00:07:32.400]  是一篇很感人的講話
[00:07:32.400 --> 00:07:35.400]  是交付整個教會
[00:07:35.400 --> 00:07:37.400]  去叮囑教會的領袖
[00:07:37.400 --> 00:07:39.400]  要去堅守真理
[00:07:39.400 --> 00:07:43.400]  我們這個講話值得去看一看
[00:07:43.400 --> 00:07:45.400]  值得去看一看
[00:07:45.400 --> 00:07:48.400]  你可以想像一下在碼頭
[00:07:48.400 --> 00:07:50.400]  就是林頌基那一刻
[00:07:50.400 --> 00:07:53.400]  他有一番話要講
[00:07:53.400 --> 00:07:56.400]  講了他才進去那個TSA
[00:07:56.400 --> 00:07:59.400]  才過海關
[00:07:59.400 --> 00:08:01.400]  有像這樣的情況
[00:08:01.400 --> 00:08:03.400]  不過不是頌基是頌船
[00:08:03.400 --> 00:08:05.400]  因為他在米利都坐船
[00:08:05.400 --> 00:08:07.400]  然後去到耶路撒冷
[00:08:07.400 --> 00:08:09.400]  我們值得去看這段講話
[00:08:09.400 --> 00:08:11.400]  你這樣想像的時候
[00:08:11.400 --> 00:08:14.400]  從17節開始你就知道那個情景是怎樣
[00:08:14.400 --> 00:08:16.400]  20章第17節
[00:08:16.400 --> 00:08:19.400]  保羅從米利都派人到爾弗所
[00:08:19.400 --> 00:08:21.400]  請教會的長老來
[00:08:21.400 --> 00:08:23.400]  他們到了保羅那裡
[00:08:23.400 --> 00:08:24.400]  他就對他們說
[00:08:24.400 --> 00:08:28.400]  你們知道從第一天我踏足亞細亞以來
[00:08:28.400 --> 00:08:30.400]  我一直怎樣與你們相處
[00:08:30.400 --> 00:08:31.400]  我怎樣服侍主
[00:08:31.400 --> 00:08:33.400]  傳言謙卑帶著眼淚
[00:08:33.400 --> 00:08:35.400]  經受試煉
[00:08:35.400 --> 00:08:38.400]  就是猶太人的計謀家諸在我身上
[00:08:38.400 --> 00:08:41.400]  你們也知道任何對你們有益的道理
[00:08:41.400 --> 00:08:44.400]  我沒有退縮不向你們述說
[00:08:44.400 --> 00:08:45.400]  或在公共的場合
[00:08:45.400 --> 00:08:47.400]  或在個人的家裡面
[00:08:47.400 --> 00:08:48.400]  我都教導你們
[00:08:48.400 --> 00:08:52.400]  我向猶太人希臘人鄭重的作見證
[00:08:52.400 --> 00:08:54.400]  告訴他們應當向神悔改
[00:08:54.400 --> 00:08:56.400]  信靠我們的主耶穌基督
[00:08:56.400 --> 00:08:59.400]  看我現在被聖靈催逼要到耶路撒冷去
[00:08:59.400 --> 00:09:02.400]  我不知道在耶路撒冷遇見什麼事
[00:09:02.400 --> 00:09:04.400]  只知道聖靈在各城裡面
[00:09:04.400 --> 00:09:07.400]  向我指明有困所和患難等著我
[00:09:07.400 --> 00:09:09.400]  但我不看重自己的性命
[00:09:09.400 --> 00:09:11.400]  為要完成我的路程
[00:09:11.400 --> 00:09:16.400]  完成我從主耶穌所領受的積分
[00:09:16.400 --> 00:09:19.400]  向人鄭重見證上帝恩典的福音
