
[00:00:01.000 --> 00:00:03.000]  「唐兄」還是「唐兄」?
[00:00:03.000 --> 00:00:05.520]  「唐兄」…
[00:00:05.520 --> 00:00:07.800]  「唐兄」,你丟掉了我的位置
[00:00:07.800 --> 00:00:12.560]  虛空,勞碌益處
[00:00:12.560 --> 00:00:16.280]  智慧有善,日光之下
[00:00:16.280 --> 00:00:20.520]  最後還是要指向傳道書的核心
[00:00:20.520 --> 00:00:22.560]  是說敬畏神
[00:00:22.560 --> 00:00:25.560]  敬畏神就像我們基督徒
[00:00:25.560 --> 00:00:27.640]  做人的一個大原則
[00:00:28.280 --> 00:00:30.800]  幫助我們在很快消散
[00:00:30.800 --> 00:00:33.480]  好像煙霧般的人生中
[00:00:33.480 --> 00:00:37.280]  能夠選擇一條有智慧、有方向的道路
[00:00:37.280 --> 00:00:40.680]  記得上一次嗎
[00:00:40.680 --> 00:00:43.040]  應該差不多是兩個月前
[00:00:43.040 --> 00:00:46.200]  在第三章中有一首詩
[00:00:46.200 --> 00:00:51.280]  描述人生中既定時間會發生的一些狀況
[00:00:51.280 --> 00:00:55.280]  經文中亦有提到
[00:00:55.360 --> 00:00:59.640]  神從開始到終結所做的事
[00:00:59.640 --> 00:01:02.840]  我們人是不可能完全明白的
[00:01:02.840 --> 00:01:04.240]  神這樣做
[00:01:04.240 --> 00:01:09.360]  是要我們人在祂面前有敬畏的心
[00:01:09.360 --> 00:01:12.240]  今天來到下一個段落
[00:01:12.240 --> 00:01:16.280]  三章十六至四章三節
[00:01:16.280 --> 00:01:18.520]  一開始傳道者說
[00:01:18.520 --> 00:01:24.880]  他留意到秉行公義和伸張正義的地方
[00:01:24.960 --> 00:01:26.320]  也有邪惡
[00:01:26.320 --> 00:01:29.800]  有看過《Wicked》這套戲嗎
[00:01:29.800 --> 00:01:36.960]  這套戲的故事圍繞著兩個女巫
[00:01:36.960 --> 00:01:39.240]  一個叫Alphaba
[00:01:39.240 --> 00:01:41.680]  你看到她的帽子
[00:01:41.680 --> 00:01:45.680]  她出生時全身的皮膚都是綠色的
[00:01:45.680 --> 00:01:48.120]  她是一個很聰明
[00:01:48.120 --> 00:01:50.680]  亦很有正義感的人
[00:01:51.560 --> 00:01:55.480]  但因為她不願意同流合污的關係
[00:01:55.480 --> 00:01:58.000]  所以她得罪了很多人
[00:01:58.000 --> 00:01:59.240]  不受歡迎
[00:01:59.240 --> 00:02:04.000]  另一個女巫叫Galinda
[00:02:04.000 --> 00:02:05.480]  或者Glinda
[00:02:05.480 --> 00:02:06.480]  如果你看過這套戲
[00:02:06.480 --> 00:02:08.720]  你就知道我為何特意這樣說
[00:02:08.720 --> 00:02:11.200]  很漂亮的女人
[00:02:11.200 --> 00:02:13.720]  亦是一個世界女人
[00:02:13.720 --> 00:02:16.520]  她被人捧到天花板
[00:02:16.520 --> 00:02:18.760]  在大家的心目當中
[00:02:18.840 --> 00:02:21.800]  她就是一個好的女巫的象徵
[00:02:21.800 --> 00:02:26.240]  故事圍繞著他們兩個之間的友情
[00:02:26.240 --> 00:02:29.400]  還有一些執政掌權的人
[00:02:29.400 --> 00:02:32.240]  如何去製造恐慌
[00:02:32.240 --> 00:02:36.280]  以及利用權力扭曲一些事實
[00:02:36.280 --> 00:02:40.560]  我們先來一起看看今天的經文
[00:02:40.560 --> 00:02:43.960]  傳道書三章十六,四至三節
[00:02:45.040 --> 00:02:49.520]  我又見日光之下,應有公平之處有奸惡
[00:02:49.520 --> 00:02:53.480]  應有公義之處也有奸惡
[00:02:53.480 --> 00:02:57.360]  我心裡說,神必審判義人和惡人
[00:02:57.360 --> 00:03:00.120]  因為在那裡,各樣事務
[00:03:00.120 --> 00:03:02.800]  一切工作都有定時
[00:03:02.800 --> 00:03:05.600]  我心裡說,為世人的緣故
[00:03:05.600 --> 00:03:07.280]  神考驗他們
[00:03:07.280 --> 00:03:11.480]  讓他們看見自己不過像走獸一樣
[00:03:11.480 --> 00:03:14.920]  因為世人遭遇的,走獸也遭遇
[00:03:15.000 --> 00:03:17.120]  所遭遇的都一樣
[00:03:17.120 --> 00:03:20.280]  這個怎樣死,那個也怎樣死
[00:03:20.280 --> 00:03:22.720]  他們都有一樣的氣息
[00:03:22.720 --> 00:03:26.480]  人不能強於走獸,全是虛空
[00:03:26.480 --> 00:03:30.360]  道貴一處,都是出於塵土
[00:03:30.360 --> 00:03:32.360]  也都歸於塵土
[00:03:32.360 --> 00:03:35.600]  誰知道人的氣息是往上升
[00:03:35.600 --> 00:03:39.120]  走獸的氣息是下入地
[00:03:39.120 --> 00:03:40.360]  總而言之
[00:03:40.360 --> 00:03:43.520]  人能夠在他經營的事上喜樂
[00:03:43.600 --> 00:03:45.320]  是最好不過了
[00:03:45.320 --> 00:03:48.160]  因為這是他應得的報償
[00:03:48.160 --> 00:03:52.280]  他身後的事,誰能領他回來看
[00:03:52.280 --> 00:03:53.480]  我轉而觀看
[00:03:53.480 --> 00:03:57.160]  日光之下所發生的一切欺壓之事
[00:03:57.160 --> 00:04:00.880]  看那受欺壓的流淚,無人安慰
[00:04:00.880 --> 00:04:04.720]  欺壓他們的有權勢,也無人安慰
[00:04:04.720 --> 00:04:08.080]  因此,我讚嘆那已死的死人
[00:04:08.080 --> 00:04:10.800]  勝過那還活著的活人
[00:04:10.880 --> 00:04:13.840]  那尚未出生,就算未曾見過
[00:04:13.840 --> 00:04:17.040]  日光之下所發生之惡事的
[00:04:17.040 --> 00:04:19.920]  比這兩種人更幸福
[00:04:19.920 --> 00:04:26.520]  若果神在我們每一個人身上
[00:04:26.520 --> 00:04:28.560]  都有一個美好的計劃
[00:04:28.560 --> 00:04:32.680]  傳道者在此有點懷疑
[00:04:32.680 --> 00:04:36.000]  因為他至少看到一個問題
[00:04:36.080 --> 00:04:41.080]  就是這個世界很明顯地存在不公義
[00:04:41.080 --> 00:04:44.120]  邪惡和痛苦
[00:04:44.120 --> 00:04:45.880]  傳道者說
[00:04:45.880 --> 00:04:50.120]  他看到應該最公道的地方也沒有公道
[00:04:50.120 --> 00:04:53.800]  新疆正義的地方也變質了
[00:04:53.800 --> 00:04:56.720]  這裡所說的不公義
[00:04:56.720 --> 00:05:00.080]  其實沒有被具體界定
[00:05:00.080 --> 00:05:02.840]  所以我們不可以單單只在想
[00:05:02.920 --> 00:05:06.520]  法庭上的公義
[00:05:06.520 --> 00:05:08.280]  因為事實上
[00:05:08.280 --> 00:05:14.000]  不公義是可以在我們的社會結構中存在
