
[00:00:00.000 --> 00:00:01.520]  各位好 新年快樂
[00:00:01.520 --> 00:00:03.600]  跟大家拜個年
[00:00:03.600 --> 00:00:06.520]  願意每一位都有上帝的福分
[00:00:06.520 --> 00:00:09.080]  剛才我們唱詩的時候也被提醒了
[00:00:09.080 --> 00:00:10.520]  真正的福分從何而來
[00:00:10.520 --> 00:00:12.320]  耶穌基督
[00:00:12.320 --> 00:00:14.000]  耶穌基督給我們的永生
[00:00:14.000 --> 00:00:14.840]  給我們的盼望
[00:00:14.840 --> 00:00:16.560]  這是最大的福分
[00:00:16.560 --> 00:00:17.960]  你不要忘記這件事
[00:00:17.960 --> 00:00:20.640]  也跟網上的大英姐妹
[00:00:20.640 --> 00:00:22.080]  先去拜年
[00:00:22.080 --> 00:00:23.320]  農年
[00:00:23.320 --> 00:00:24.520]  希望大家農晚精神
[00:00:24.520 --> 00:00:25.080]  好嗎
[00:00:25.080 --> 00:00:27.480]  也感謝每一位的訂閱者
[00:00:27.480 --> 00:00:30.000]  我們有16000多位的訂閱者
[00:00:30.000 --> 00:00:32.920]  我們希望你能夠繼續支持我們使公
[00:00:32.920 --> 00:00:33.960]  所以無論如何
[00:00:33.960 --> 00:00:34.760]  新年快樂
[00:00:34.760 --> 00:00:37.800]  從這個主日開始
[00:00:37.800 --> 00:00:40.720]  我想開始一個系列叫做「Chosen」
[00:00:40.720 --> 00:00:45.320]  我知道這個電視系列
[00:00:45.320 --> 00:00:48.920]  是非常…至少在美國
[00:00:48.920 --> 00:00:50.520]  很受歡迎的
[00:00:50.520 --> 00:00:51.160]  很受歡迎
[00:00:51.160 --> 00:00:52.560]  我不知道大家有沒有看過
[00:00:52.560 --> 00:00:53.880]  或者有沒有聽聞過
[00:00:53.880 --> 00:00:54.920]  有誰聽聞過
[00:00:54.920 --> 00:00:56.040]  也有吧
[00:00:56.040 --> 00:00:56.840]  是吧
[00:00:57.040 --> 00:01:00.760]  如果你有聽聞過
[00:01:00.760 --> 00:01:02.160]  可能你也有看過
[00:01:02.160 --> 00:01:02.960]  是吧
[00:01:02.960 --> 00:01:04.320]  那些比較老練的
[00:01:04.320 --> 00:01:06.280]  或者我們比較老一點的信徒
[00:01:06.280 --> 00:01:10.280]  我們以前看過耶穌的電影
[00:01:10.280 --> 00:01:14.040]  那些將耶穌的生平拍成一個電影
[00:01:14.040 --> 00:01:16.360]  那些不同的電影
[00:01:16.360 --> 00:01:17.880]  我們會…
[00:01:17.880 --> 00:01:19.120]  你有沒有看過
[00:01:19.120 --> 00:01:20.560]  很悶的
[00:01:20.560 --> 00:01:22.600]  很悶的
[00:01:22.600 --> 00:01:25.440]  我記得70年代有一套叫做耶穌傳
[00:01:25.440 --> 00:01:28.440]  就是按照路加福音拍的
[00:01:28.440 --> 00:01:29.720]  就是一字不漏
[00:01:29.720 --> 00:01:31.520]  是根據路加福音
[00:01:31.520 --> 00:01:33.560]  就是耶穌說什麼路加福音有說的
[00:01:33.560 --> 00:01:34.200]  祂也說
[00:01:34.200 --> 00:01:35.320]  路加福音沒有說的
[00:01:35.320 --> 00:01:36.160]  耶穌也不說
[00:01:36.160 --> 00:01:38.080]  早晨、晚安等等
[00:01:38.080 --> 00:01:39.200]  耶穌全部不說
[00:01:39.200 --> 00:01:43.040]  那時候年少的時候看這套電影
[00:01:43.040 --> 00:01:44.400]  因為那時候沒有選擇
[00:01:44.400 --> 00:01:46.280]  唯有看那一套
[00:01:46.280 --> 00:01:48.880]  但是進度非常慢
[00:01:48.880 --> 00:01:52.520]  而且你知道路加福音寫出來的時候
[00:01:52.800 --> 00:01:55.920]  不是為了拍電影的
[00:01:55.920 --> 00:01:58.360]  所以你不可以照樣搬過去
