
[00:00:00.000 --> 00:00:11.840]  歡迎各位來到聖地網上行第八集
[00:00:11.840 --> 00:00:16.680]  上一次耶穌和門徒去到凱撒利亞菲勒比
[00:00:16.680 --> 00:00:20.760]  在一個外邦人約旦河東的地方
[00:00:20.760 --> 00:00:24.160]  今天我們叫做哥蘭高地
[00:00:24.160 --> 00:00:30.600]  在這裡耶穌問門徒一個很重要的問題就是人子是誰
[00:00:30.600 --> 00:00:33.040]  這個問題是很重要的
[00:00:33.040 --> 00:00:38.640]  因為這是科幻書下半節要處理的問題
[00:00:38.640 --> 00:00:40.640]  就是耶穌真正的身份
[00:00:40.640 --> 00:00:43.680]  因為如果搞錯了耶穌真正的身份
[00:00:43.680 --> 00:00:47.720]  就會影響門徒對自己的身份的瞭解
[00:00:47.720 --> 00:00:52.400]  所以耶穌問他的門徒到底他自己是誰
[00:00:52.400 --> 00:00:58.480]  彼得回答說你是基督是永生上帝的兒子
[00:00:58.480 --> 00:01:01.680]  門徒跟著耶穌有幾年
[00:01:01.680 --> 00:01:04.160]  見過耶穌的神蹟騎士
[00:01:04.160 --> 00:01:06.160]  見過他趕鬼
[00:01:06.160 --> 00:01:07.760]  行很多的義能
[00:01:07.760 --> 00:01:10.800]  又應許建立他的教會
[00:01:10.800 --> 00:01:12.800]  陰間的權勢不能夠勝過
[00:01:12.800 --> 00:01:17.600]  對於門徒來說這個王者的國度已經來臨了
[00:01:17.600 --> 00:01:18.800]  很快就會到
[00:01:18.800 --> 00:01:21.520]  但是突然間耶穌轉口
[00:01:21.520 --> 00:01:24.720]  人子沒錯是基督是王者
[00:01:24.720 --> 00:01:27.200]  但是他要上耶路撒冷來受苦
[00:01:27.200 --> 00:01:29.200]  並且要被殺
[00:01:29.200 --> 00:01:31.920]  十六章第二十一節馬太福音說
[00:01:31.920 --> 00:01:35.040]  從此耶穌才指示門徒
[00:01:35.040 --> 00:01:37.040]  他必須上耶路撒冷去
[00:01:37.040 --> 00:01:40.000]  受祭司長文士許多的苦
[00:01:40.000 --> 00:01:42.880]  並且被殺第三日復活
[00:01:42.880 --> 00:01:45.120]  彼得聽到這個消息之後
[00:01:45.120 --> 00:01:46.880]  他不能夠接受
[00:01:46.880 --> 00:01:48.880]  我相信其他的門徒都不能夠接受
[00:01:48.880 --> 00:01:50.880]  彼得就拉著耶穌勸他
[00:01:50.880 --> 00:01:52.880]  萬萬不可
[00:01:52.880 --> 00:01:54.880]  因為這事必不臨到你身上
[00:01:54.880 --> 00:01:57.920]  耶穌轉過來對彼得說
[00:01:57.920 --> 00:02:00.880]  撒旦推我後面去吧
[00:02:00.880 --> 00:02:04.320]  這一句話撒旦推我後面去吧
[00:02:04.320 --> 00:02:06.320]  就是在曠野裡面
[00:02:06.320 --> 00:02:08.320]  耶穌三次受撒旦試探
[00:02:08.320 --> 00:02:10.320]  最後一次在馬太福音
[00:02:10.320 --> 00:02:14.320]  在高山上魔鬼將萬國展現在耶穌面前
[00:02:14.320 --> 00:02:16.320]  祂說只要你拜我
[00:02:16.320 --> 00:02:18.320]  不要上十字架
[00:02:18.320 --> 00:02:20.320]  我就會賜萬國給你
[00:02:20.320 --> 00:02:22.320]  耶穌說撒旦推我去吧
[00:02:22.320 --> 00:02:24.320]  居然這句話
[00:02:24.320 --> 00:02:26.320]  是耶穌跟彼得說的
[00:02:26.320 --> 00:02:30.320]  你想想有多大的震盪
[00:02:30.320 --> 00:02:32.320]  門徒很不能夠接受
[00:02:32.320 --> 00:02:34.320]  這位王者居然會受苦受死
[00:02:34.320 --> 00:02:36.320]  也很懷疑
[00:02:36.320 --> 00:02:38.320]  很震盪他們的信念
[00:02:38.320 --> 00:02:40.320]  到底這個主耶穌
[00:02:40.320 --> 00:02:42.320]  是不是上帝的王者
[00:02:42.320 --> 00:02:44.320]  天國的王者
[00:02:44.320 --> 00:02:46.320]  耶穌就說
[00:02:46.320 --> 00:02:48.320]  你推我去吧
[00:02:48.320 --> 00:02:50.320]  因為你不是體貼神的意思
[00:02:50.320 --> 00:02:52.320]  並且他之後就告訴門徒
[00:02:52.320 --> 00:02:54.320]  你們都是和我一樣
[00:02:54.320 --> 00:02:56.320]  你跟隨我的話
[00:02:56.320 --> 00:02:58.320]  你都要背上十字架
[00:02:58.320 --> 00:03:00.320]  於是到十六章最後結束的時候
[00:03:00.320 --> 00:03:02.320]  耶穌就說
[00:03:02.320 --> 00:03:04.320]  我實在告訴你們
[00:03:04.320 --> 00:03:06.320]  站在這裡的人在未嘗死未知前
[00:03:06.320 --> 00:03:08.320]  必看見人子降臨在他的國裡
[00:03:08.320 --> 00:03:10.320]  接著下來第十七章
[00:03:10.320 --> 00:03:12.320]  就是一個很出名的故事
[00:03:12.320 --> 00:03:14.320]  就叫做登山變將
