
[00:00:00.000 --> 00:00:01.000]   Pastor Mark.
[00:00:01.000 --> 00:00:03.760]   (speaking in foreign language)
[00:00:03.760 --> 00:00:05.760]   - Hey everyone, good morning.
[00:00:05.760 --> 00:00:06.880]   (speaking in foreign language)
[00:00:06.880 --> 00:00:08.160]   I want to do something special today
[00:00:08.160 --> 00:00:11.160]   because I want to welcome everyone to be with us here
[00:00:11.160 --> 00:00:13.680]   and we want to appreciate your presence.
[00:00:13.680 --> 00:00:17.600]   (speaking in foreign language)
[00:00:17.600 --> 00:00:21.360]   Go ahead and stand up and find someone,
[00:00:21.360 --> 00:00:24.880]   find someone you have not said hi to today, okay?
[00:00:24.880 --> 00:00:28.120]   And go to that person and say, "It's good to see you."
[00:00:28.120 --> 00:00:32.040]   (speaking in foreign language)
[00:00:32.040 --> 00:00:35.200]   (audience chattering)
[00:00:35.200 --> 00:00:39.120]   (speaking in foreign language)
[00:00:39.120 --> 00:00:42.280]   (audience chattering)
[00:01:07.360 --> 00:01:11.200]   All right guys, well I know you have a lot to talk about.
[00:01:11.200 --> 00:01:13.600]   (speaking in foreign language)
[00:01:13.600 --> 00:01:16.120]   We will have time after the service, all right?
[00:01:16.120 --> 00:01:18.080]   (speaking in foreign language)
[00:01:18.080 --> 00:01:20.760]   Well, once again, I want to piggyback on Kelly,
[00:01:20.760 --> 00:01:24.560]   what she said about we need your help to build this church.
[00:01:24.560 --> 00:01:28.480]   (speaking in foreign language)
[00:01:28.480 --> 00:01:35.120]   And of course, we will appreciate the worship team
[00:01:35.120 --> 00:01:38.880]   for their music practice and their leading us today
[00:01:38.880 --> 00:01:40.480]   to worship God together.
[00:01:40.480 --> 00:01:43.080]   Let's, let's, let's move around our applause.
[00:01:43.080 --> 00:01:47.000]   (speaking in foreign language)
[00:01:47.000 --> 00:01:50.440]   And then of course, the backstage,
[00:01:50.440 --> 00:01:52.560]   we have some new system installed
[00:01:52.560 --> 00:01:55.040]   and so we are trying to work out the transition.
[00:01:55.040 --> 00:01:57.920]   So we want to appreciate each and every one of them
[00:01:57.920 --> 00:01:59.640]   inside the room, it's very hot in there.
[00:01:59.640 --> 00:02:03.560]   (speaking in foreign language)
[00:02:03.560 --> 00:02:07.480]   (speaking in foreign language)
[00:02:07.480 --> 00:02:12.640]   And of course, thank you for being with us today.
[00:02:12.640 --> 00:02:14.480]   (speaking in foreign language)
[00:02:14.480 --> 00:02:18.320]   And if you notice our title today,
[00:02:18.320 --> 00:02:21.560]   the sermon title is called Contagious Church.
[00:02:21.560 --> 00:02:25.480]   (speaking in foreign language)
[00:02:25.480 --> 00:02:30.560]   Now, as you see this title, I want you to think,
[00:02:30.560 --> 00:02:35.560]   are you a contagious Christian or are we a contagious church?
[00:02:35.560 --> 00:02:39.640]   (speaking in foreign language)
[00:02:39.640 --> 00:02:45.200]   Yeah, and a church full of contagious Christians
[00:02:45.200 --> 00:02:48.800]   is full of people who truly experience the grace of God.
[00:02:48.800 --> 00:02:52.720]   (speaking in foreign language)
[00:02:52.720 --> 00:02:57.960]   Now, let me give you two pictures to, you know,
[00:02:57.960 --> 00:03:01.680]   try to illustrate what it means to be contagious.
[00:03:01.680 --> 00:03:04.640]   (speaking in foreign language)
[00:03:04.640 --> 00:03:08.480]   And the first image I want to show you is a negative image.
[00:03:08.480 --> 00:03:10.520]   (speaking in foreign language)
[00:03:10.520 --> 00:03:12.840]   Now, you remember COVID-19, right?
[00:03:12.840 --> 00:03:17.400]   We could not hug each other, we cannot touch each other
[00:03:17.400 --> 00:03:20.880]   and we have to make sure we are people to people
[00:03:20.880 --> 00:03:22.920]   at least six feet apart.
[00:03:22.920 --> 00:03:26.840]   (speaking in foreign language)
[00:03:27.280 --> 00:03:29.480]   When you were in a room with other people,
[00:03:29.480 --> 00:03:32.520]   when you heard one cough and you got scared
[00:03:32.520 --> 00:03:35.520]   because the virus was spread, you know, fast and far
[00:03:35.520 --> 00:03:38.120]   and it would disrupt our relationship
[00:03:38.120 --> 00:03:42.120]   and actually it would disrupt our community.
[00:03:42.120 --> 00:03:46.040]   (speaking in foreign language)
[00:03:47.000 --> 00:03:50.920]   (speaking in foreign language)
[00:03:50.920 --> 00:04:00.280]   And as you can tell, something can be contagious,
[00:04:00.280 --> 00:04:02.040]   something negative.
[00:04:02.040 --> 00:04:05.880]   Same thing happen when there's something wrong
[00:04:05.880 --> 00:04:09.720]   in our life like bitterness, it can be contagious.
[00:04:09.720 --> 00:04:14.720]   Cynicism can be contagious or lukewarm faith, you know,
[00:04:15.200 --> 00:04:19.240]   half-hearted faith or gossip or disunity.
[00:04:19.240 --> 00:04:22.280]   They're like, they're kind of like secondhand smoke
[00:04:22.280 --> 00:04:26.600]   and one person can change the whole environment.
[00:04:26.600 --> 00:04:30.520]   (speaking in foreign language)
[00:04:30.520 --> 00:04:40.920]   Now, that's the first image.
[00:04:40.920 --> 00:04:43.200]   I want to show you the second image though.
[00:04:43.200 --> 00:04:47.120]   (speaking in foreign language)
[00:04:47.120 --> 00:04:49.880]   So I want to ask you ever been in a room
[00:04:49.880 --> 00:04:53.280]   with a friend who laughs really loud?
[00:04:53.280 --> 00:04:56.400]   (speaking in foreign language)
[00:04:56.400 --> 00:04:59.440]   You know, when your friend laughs and you know,
[00:04:59.440 --> 00:05:00.800]   even you are kind of sad,
[00:05:00.800 --> 00:05:03.080]   but the laughter will change your spirit.
[00:05:03.080 --> 00:05:07.400]   (speaking in foreign language)
[00:05:07.400 --> 00:05:09.480]   So when you're around people who love God,
[00:05:09.480 --> 00:05:11.240]   who take God seriously,
[00:05:11.240 --> 00:05:14.800]   you should also eventually do the same thing
[00:05:14.800 --> 00:05:16.640]   because that is contagious.
[00:05:16.640 --> 00:05:19.320]   You know, our holiness, our full spirit life
[00:05:19.320 --> 00:05:21.640]   and our faith can be contagious.
[00:05:21.640 --> 00:05:25.560]   (speaking in foreign language)
[00:05:25.560 --> 00:05:33.480]   Now in Acts 2, we've been studying the book of Acts
[00:05:33.480 --> 00:05:36.280]   and we see that after the Holy Spirit comes
[00:05:36.280 --> 00:05:41.280]   and the whole community become a contagious church.
[00:05:41.280 --> 00:05:45.480]   (speaking in foreign language)
[00:05:45.480 --> 00:05:49.960]   And let me read this passage from 42 to 44.
[00:05:49.960 --> 00:05:52.880]   They, meaning the church in Jerusalem, the first church,
[00:05:52.880 --> 00:05:55.000]   they devote themselves to the apostles teaching
[00:05:55.000 --> 00:05:58.000]   and to the fellowship and to breaking of bread
[00:05:58.000 --> 00:06:01.960]   and to prayer and everyone was filled with awe
[00:06:01.960 --> 00:06:04.520]   and many wonders, miraculous signs
[00:06:04.520 --> 00:06:06.600]   were done by the apostles.
[00:06:06.600 --> 00:06:08.600]   All the believers were together
[00:06:08.600 --> 00:06:10.000]   and had everything in common.
[00:06:10.000 --> 00:06:11.640]   They sell the possessions and goods
[00:06:11.640 --> 00:06:14.240]   and they gave to anyone who had need.
[00:06:14.240 --> 00:06:19.160]   (speaking in foreign language)
[00:06:32.200 --> 00:06:36.280]   Now, first, we need to know how to read the Bible.
[00:06:36.280 --> 00:06:39.160]   (speaking in foreign language)
[00:06:39.160 --> 00:06:40.920]   So when we read this passage,
[00:06:40.920 --> 00:06:43.920]   we should not think that we have to copycat
[00:06:43.920 --> 00:06:46.080]   or do exactly what they did.
[00:06:46.080 --> 00:06:50.000]   (speaking in foreign language)
[00:06:50.000 --> 00:06:53.520]   Because this kind of copycat, you know,
[00:06:53.520 --> 00:06:56.400]   reading and application is kind of too simplistic
[00:06:56.400 --> 00:06:58.800]   because the church in Jerusalem,
[00:06:58.800 --> 00:07:01.000]   they worship in a different way than we do
[00:07:01.000 --> 00:07:03.040]   and they worship in the temple court
[00:07:03.040 --> 00:07:05.640]   and they worship in the homes of other people
[00:07:05.640 --> 00:07:08.960]   and there were no place called church that they go to.
[00:07:08.960 --> 00:07:10.880]   Their homes are the church.
[00:07:10.880 --> 00:07:13.080]   So our context is different.
[00:07:13.080 --> 00:07:17.600]   So we cannot just copycat it and do exactly what they did.
[00:07:17.600 --> 00:07:19.560]   And we worship in a different way.
[00:07:19.560 --> 00:07:21.320]   We gather in a public place
[00:07:21.320 --> 00:07:26.320]   and we cannot simply just copy exactly what they do.
[00:07:26.320 --> 00:07:30.880]   (speaking in foreign language)
[00:07:31.880 --> 00:07:33.720]   So what the Bible describes
[00:07:33.720 --> 00:07:37.280]   is not necessarily what the Bible prescribes.
[00:07:37.280 --> 00:07:41.200]   (speaking in foreign language)
[00:07:41.200 --> 00:07:44.680]   But we can ask and we should ask,
[00:07:44.680 --> 00:07:47.040]   what kind of church were they
[00:07:47.040 --> 00:07:49.640]   in the first century Jerusalem context?
[00:07:49.640 --> 00:07:53.560]   (speaking in foreign language)
[00:07:53.560 --> 00:07:56.880]   And we should ask,
[00:07:56.880 --> 00:07:59.120]   what kind of church were they
[00:07:59.120 --> 00:08:01.200]   in the first century Jerusalem context?
[00:08:01.200 --> 00:08:03.240]   And how does their church,
[00:08:03.240 --> 00:08:05.760]   how does this church inspire us
[00:08:05.760 --> 00:08:08.160]   to be a church of Jesus today?
[00:08:08.160 --> 00:08:12.080]   (speaking in foreign language)
[00:08:12.080 --> 00:08:19.000]   So here in this passage,
[00:08:19.000 --> 00:08:22.600]   we see believers, ordinary folks,
[00:08:22.600 --> 00:08:25.520]   they live in a compelling way for the gospel
[00:08:25.520 --> 00:08:27.800]   and it was contagious
[00:08:27.800 --> 00:08:31.760]   and people were being drawn in and being attracted,
[00:08:31.760 --> 00:08:33.280]   not because the program
[00:08:33.280 --> 00:08:35.320]   or not because of their something,
[00:08:35.320 --> 00:08:37.400]   some of the activities that they did,
[00:08:37.400 --> 00:08:39.320]   it's the way they live in a compelling way
[00:08:39.320 --> 00:08:41.800]   to tell other that God is good.
[00:08:41.800 --> 00:08:46.640]   (speaking in foreign language)
[00:08:46.640 --> 00:08:47.960]   So let me suggest three things
[00:08:47.960 --> 00:08:49.560]   that we should pay attention to
[00:08:49.560 --> 00:08:53.480]   that will inspire us to live a contagious church life
[00:08:53.480 --> 00:08:55.120]   and Christian life.
[00:08:55.120 --> 00:08:59.120]   (speaking in foreign language)
[00:08:59.120 --> 00:09:01.720]   First and foremost,
[00:09:01.720 --> 00:09:03.240]   we should be a Christian.
[00:09:03.240 --> 00:09:07.160]   (speaking in foreign language)
[00:09:07.160 --> 00:09:09.480]   And second, we should be a Christian.
[00:09:09.480 --> 00:09:13.400]   (speaking in foreign language)
[00:09:13.920 --> 00:09:15.360]   First and foremost, be devoted.
[00:09:15.360 --> 00:09:17.720]   And secondly, they were generous.
[00:09:17.720 --> 00:09:21.280]   And third, they were alive in worship.
[00:09:21.280 --> 00:09:25.200]   (speaking in foreign language)
[00:09:25.200 --> 00:09:30.760]   Now, verse 42, it says,
[00:09:30.760 --> 00:09:33.040]   they were devoted themselves
[00:09:33.040 --> 00:09:35.200]   to the teachings of the apostle,
[00:09:35.200 --> 00:09:36.640]   to the teaching of the Bible.
[00:09:36.640 --> 00:09:38.760]   And you remember last week,
[00:09:38.760 --> 00:09:41.400]   I mentioned this point, be committed.
[00:09:41.400 --> 00:09:43.880]   I mentioned this point, be committed.
[00:09:43.880 --> 00:09:46.440]   We Christians need to be committed.
[00:09:46.440 --> 00:09:48.320]   Worship, coming together,
[00:09:48.320 --> 00:09:50.900]   are not occasional attendance.
[00:09:50.900 --> 00:09:56.200]   Never done in a way that is half-hearted.
[00:09:56.200 --> 00:09:59.240]   So they, if you pay attention,
[00:09:59.240 --> 00:10:02.000]   they were hungry for the word of God.
[00:10:02.000 --> 00:10:04.160]   And just like we are hungry,
[00:10:04.160 --> 00:10:05.720]   we want some food.
[00:10:05.720 --> 00:10:07.520]   But spiritually, they were hungry
[00:10:07.520 --> 00:10:09.200]   and they want to go for food,
[00:10:09.200 --> 00:10:11.560]   which is the spiritual food, the word of God.
[00:10:11.560 --> 00:10:17.280]   (speaking in foreign language)
[00:10:17.280 --> 00:10:34.400]   Like when you're hungry,
[00:10:34.400 --> 00:10:36.760]   you go to a happy lamb, right?
[00:10:36.760 --> 00:10:39.920]   (speaking in foreign language)
[00:10:39.920 --> 00:10:41.800]   And you want to devour the food.
[00:10:41.800 --> 00:10:43.320]   (speaking in foreign language)
[00:10:43.320 --> 00:10:46.760]   Now here, the church is hungry for the word of God.
[00:10:46.760 --> 00:10:51.240]   (speaking in foreign language)
[00:10:51.240 --> 00:10:52.840]   And brothers and sisters, I want to,
[00:10:52.840 --> 00:10:56.800]   you know, just want you to think about,
[00:10:56.800 --> 00:11:00.920]   you know, we do live in an age of distractions.
[00:11:00.920 --> 00:11:05.040]   (speaking in foreign language)
[00:11:05.040 --> 00:11:07.920]   Now everyone is busy, everyone is rushing,
[00:11:07.920 --> 00:11:10.440]   and we're trying to handle a lot of things
[00:11:10.440 --> 00:11:12.080]   more than we can handle.
[00:11:12.080 --> 00:11:13.960]   You know, sometimes spending time with God
[00:11:13.960 --> 00:11:15.960]   or studying the word of God with his people
[00:11:15.960 --> 00:11:17.920]   becomes optional.
[00:11:17.920 --> 00:11:21.840]   (speaking in foreign language)
[00:11:21.840 --> 00:11:31.200]   Now, when I was younger, much younger,
[00:11:31.200 --> 00:11:34.120]   when I was a young Christian in college,
[00:11:34.120 --> 00:11:36.040]   I didn't have a habit of reading the Bible
[00:11:36.040 --> 00:11:38.480]   or reading, you know, spiritual books,
[00:11:38.480 --> 00:11:41.440]   you know, but, you know, I observed myself.
[00:11:41.440 --> 00:11:43.680]   I started to spend more time with questions
[00:11:43.680 --> 00:11:46.040]   who take the word of God seriously,
[00:11:46.040 --> 00:11:47.560]   and I began to change.
[00:11:47.560 --> 00:11:50.520]   I began to, you know, cultivate the desire,
[00:11:50.520 --> 00:11:53.080]   or the desire to, you know, really taste
[00:11:53.080 --> 00:11:54.720]   and dig into the word of God
[00:11:54.720 --> 00:11:59.040]   and taste the goodness of knowing God himself.
[00:11:59.040 --> 00:12:02.960]   (speaking in foreign language)
[00:12:03.800 --> 00:12:07.320]   And let me ask you, what are you devoted to?
[00:12:07.320 --> 00:12:12.320]   Is there a hunger in your heart
[00:12:12.320 --> 00:12:16.440]   for prayer, for worship, for the word of God,
[00:12:16.440 --> 00:12:19.840]   for fellowship, for seeing people to come to Jesus?
[00:12:19.840 --> 00:12:22.360]   Now, if not, then we must change.
[00:12:22.360 --> 00:12:25.440]   We must realize that we are not the only people
[00:12:25.440 --> 00:12:26.760]   who are in the world.
[00:12:26.760 --> 00:12:29.360]   We are not the only people who are in the world.
[00:12:29.360 --> 00:12:31.640]   We are not the only people who are in the world.
[00:12:31.640 --> 00:12:33.960]   We must change, we must repent,
[00:12:33.960 --> 00:12:38.240]   and we need grace, the grace of God to have a fresh start.
[00:12:38.240 --> 00:12:41.480]   And because, you know, being a contagious church,
[00:12:41.480 --> 00:12:43.280]   being contagious Christians,
[00:12:43.280 --> 00:12:47.000]   we need to begin with a heart changed by the love of God.
[00:12:47.000 --> 00:12:50.920]   (speaking in foreign language)
[00:12:50.920 --> 00:13:10.280]   Now, that's the first point, be devoted.
[00:13:10.280 --> 00:13:14.480]   The second point is be generous.
[00:13:14.480 --> 00:13:16.800]   (speaking in foreign language)
[00:13:16.800 --> 00:13:18.880]   44, 45, all the believers who are together
[00:13:18.880 --> 00:13:20.400]   and have everything in common,
[00:13:20.400 --> 00:13:22.000]   and they sell their possessions and goods
[00:13:22.000 --> 00:13:24.680]   and gave to anyone as he had need.
[00:13:24.680 --> 00:13:28.600]   (speaking in foreign language)
[00:13:28.600 --> 00:13:35.160]   Now, again, our context is different.
[00:13:35.160 --> 00:13:36.600]   There's no copycat here.
[00:13:36.600 --> 00:13:39.120]   We cannot do exactly what they did.
[00:13:39.120 --> 00:13:43.360]   But that is one of the most radical part
[00:13:43.360 --> 00:13:47.800]   of their commitment, is that people in need,
[00:13:47.800 --> 00:13:50.200]   when they saw it, they didn't say,
[00:13:50.200 --> 00:13:53.120]   let me just pray about it, or let me just wait for it.
[00:13:53.120 --> 00:13:58.200]   (speaking in foreign language)
[00:13:58.200 --> 00:14:10.400]   Don't get me wrong, prayers are good,
[00:14:10.400 --> 00:14:12.720]   and all this caring are good,
[00:14:12.720 --> 00:14:16.000]   but you see that all these believers
[00:14:16.000 --> 00:14:17.480]   in the first church of Jerusalem,
[00:14:17.480 --> 00:14:19.400]   they act together immediately,
[00:14:19.400 --> 00:14:21.880]   and they are generous, and they give.
[00:14:21.880 --> 00:14:25.560]   Now, this was not communism, okay?
[00:14:25.560 --> 00:14:29.240]   This was not communism, because it was not forced.
[00:14:29.240 --> 00:14:31.240]   It was not state-sponsored.
[00:14:31.240 --> 00:14:34.520]   It was moved by the spirit of God,
[00:14:34.520 --> 00:14:35.760]   moved by the love of God,
[00:14:35.760 --> 00:14:38.120]   because their lives are being transformed by Jesus,
[00:14:38.120 --> 00:14:39.400]   and they gave up everything,
[00:14:39.400 --> 00:14:43.760]   and be generous to help and to give to the church.
[00:14:43.760 --> 00:14:47.680]   (speaking in foreign language)
[00:14:47.680 --> 00:15:05.760]   Now, if you know something about the Old Testament,
[00:15:05.760 --> 00:15:08.680]   you immediately would think of Deuteronomy 15,
[00:15:08.680 --> 00:15:10.760]   because there was a phrase
[00:15:10.760 --> 00:15:13.560]   that describes the first church of Jerusalem
[00:15:13.560 --> 00:15:16.840]   happens to be in Deuteronomy 15.
[00:15:16.840 --> 00:15:17.960]   Let me read that.
[00:15:17.960 --> 00:15:20.920]   There should be no poor among you,
[00:15:20.920 --> 00:15:25.360]   for in the land the Lord your God is giving you to possess,
[00:15:25.360 --> 00:15:27.840]   he will richly bless you.
[00:15:27.840 --> 00:15:31.640]   If only you fully obey the Lord your God
