
[00:00:00.000 --> 00:00:04.000]  今日我們有很多新的朋友在我們當中
[00:00:04.000 --> 00:00:05.500]  不如我們花一點時間
[00:00:05.500 --> 00:00:08.000]  跟一些你不認識的人打個招呼好嗎?
[00:00:08.000 --> 00:00:13.000]  Hello 你好
[00:00:13.000 --> 00:00:17.000]  不要第一次見人就摟人家
[00:00:17.000 --> 00:00:19.000]  可能會嚇到人
[00:00:19.000 --> 00:00:21.000]  我知道我們教會很熱情
[00:00:21.000 --> 00:00:27.000]  1991年中國大陸華東發生大水災
[00:00:27.000 --> 00:00:31.000]  香港人和內地同胞血脈相連
[00:00:31.000 --> 00:00:33.000]  土地相連
[00:00:33.000 --> 00:00:37.000]  香港五位牧師和神父
[00:00:37.000 --> 00:00:40.000]  發起血濃於水的運動
[00:00:40.000 --> 00:00:43.000]  迅速籌集金錢和物資
[00:00:43.000 --> 00:00:47.000]  透過香港的紅十字會進行救援
[00:00:47.000 --> 00:00:49.000]  有感苦難如深受
[00:00:49.000 --> 00:00:51.000]  天涯若比鄰
[00:00:51.000 --> 00:00:56.000]  天鄰基金在這樣的情況下誕生
[00:00:56.000 --> 00:01:00.000]  劉漢傑醫生是天鄰基金會的主席
[00:01:00.000 --> 00:01:08.000]  是一位有三十多年經驗的兒科骨科手術醫生
[00:01:08.000 --> 00:01:10.000]  他已經退休了
[00:01:10.000 --> 00:01:13.000]  但他繼續退休後
[00:01:13.000 --> 00:01:19.000]  去很多不同的地方世界各地進行骨科手術
[00:01:19.000 --> 00:01:22.000]  去服侍一些弱勢社群
[00:01:22.000 --> 00:01:25.000]  今年九月我和另外一些醫護人員
[00:01:25.000 --> 00:01:30.000]  可以再次跟劉醫生去伊拉克進行醫療斷酸
[00:01:30.000 --> 00:01:32.000]  我們很高興
[00:01:32.000 --> 00:01:35.000]  他昨天和他太太Shirley
[00:01:35.000 --> 00:01:37.000]  坐在哪裏
[00:01:37.000 --> 00:01:39.000]  她坐在我們後面
[00:01:39.000 --> 00:01:45.000]  他們昨晚凌晨時分來到Chicago
[00:01:45.000 --> 00:01:49.000]  睡覺時一大早來到我們當中
[00:01:49.000 --> 00:01:52.000]  藉著他們的事工
[00:01:52.000 --> 00:01:57.000]  今天和我們分享天鄰基金的事工
[00:01:57.000 --> 00:02:00.000]  感謝神可將時間交給劉醫生
[00:02:00.000 --> 00:02:06.000]  大家早安
[00:02:06.000 --> 00:02:12.000]  很感謝陳牧師和城匯社區教會的邀請
[00:02:12.000 --> 00:02:16.000]  今早有機會和大家分享一些訊息
[00:02:16.000 --> 00:02:19.000]  我們開始的時候先來一個禱告
[00:02:19.000 --> 00:02:22.000]  慈悲全能全愛的主
[00:02:22.000 --> 00:02:27.000]  我們感謝祢在主日的清晨有一個這麼好的機會聚集
[00:02:27.000 --> 00:02:28.000]  能夠崇拜
[00:02:28.000 --> 00:02:31.000]  我們感謝主祢給我們一個機會
[00:02:31.000 --> 00:02:34.000]  在今早可以思想一下關於難民的一個問題
[00:02:34.000 --> 00:02:38.000]  求主祢親自向我們每一個人說話
[00:02:38.000 --> 00:02:41.000]  讓我們明白主祢自己的心意
[00:02:41.000 --> 00:02:43.000]  也知道怎樣去回應你的呼召
[00:02:43.000 --> 00:02:48.000]  我們恭敬的將今天講道的時間交在主祢的手裏
[00:02:48.000 --> 00:02:50.000]  求主掌管使用
[00:02:50.000 --> 00:02:53.000]  以上不完全的禱告是奉主耶穌基督得性的名
[00:02:53.000 --> 00:02:54.000]  阿們
[00:02:54.000 --> 00:02:56.000]  今天我們講的題目是
[00:02:56.000 --> 00:03:01.000]  流散與福音廣傳
[00:03:01.000 --> 00:03:08.000]  首先我講一下我自己
[00:03:08.000 --> 00:03:11.000]  我是土生土長的香港人
[00:03:11.000 --> 00:03:16.000]  我成長的過程裏面生活都很舒適
[00:03:16.000 --> 00:03:21.000]  當時在香港最大的危機就是升學問題
[00:03:21.000 --> 00:03:26.000]  因為怕成績不好不能升大學
[00:03:26.000 --> 00:03:31.000]  那個時候對世界的認識不是很多
[00:03:31.000 --> 00:03:36.000]  更加對難民的認識是少之又少
[00:03:36.000 --> 00:03:38.000]  我不知道大家有沒有看過
[00:03:38.000 --> 00:03:41.000]  在1982年有一齣戲叫做《投奔怒海》
[00:03:41.000 --> 00:03:51.000]  這齣戲在1982年是全港電影獲得一個獎項
[00:03:51.000 --> 00:03:52.000]  是最佳電影
[00:03:52.000 --> 00:03:54.000]  其實獲得了五個獎的連續
[00:03:54.000 --> 00:03:58.000]  這齣戲的內容是講一個日本的記者
[00:03:58.000 --> 00:04:00.000]  去到越南
[00:04:00.000 --> 00:04:05.000]  那個時候南越已經淪陷了
[00:04:05.000 --> 00:04:09.000]  即是共產黨已經控制了整個越南
[00:04:09.000 --> 00:04:18.000]  他在政府安排之下去訪問和參觀一些當時的居民
[00:04:18.000 --> 00:04:22.000]  發現他們的生活非常之幸福
[00:04:22.000 --> 00:04:25.000]  但這個只是表面
[00:04:25.000 --> 00:04:30.000]  但當他再深入去查究的時候
[00:04:30.000 --> 00:04:33.000]  發現原來很多越南的人
[00:04:33.000 --> 00:04:38.000]  他們是冒死逃離越南
[00:04:38.000 --> 00:04:41.000]  所以就有這個《投奔怒海》的情況
[00:04:41.000 --> 00:04:44.000]  當時我不知道你還記不記得
[00:04:44.000 --> 00:04:45.000]  如果你從香港來
[00:04:45.000 --> 00:04:47.000]  那時候有一些越南的難民
[00:04:47.000 --> 00:04:52.000]  他們是坐著一艘漁船離開越南
[00:04:52.000 --> 00:04:55.000]  有些是來到香港
[00:04:55.000 --> 00:05:03.000]  香港我還記得設了一些專為越南的船民而設的難民營
[00:05:03.000 --> 00:05:04.000]  你想一想
[00:05:04.000 --> 00:05:08.000]  海是風平浪靜
[00:05:08.000 --> 00:05:09.000]  當然很好
[00:05:09.000 --> 00:05:12.000]  但當風浪大作的時候
[00:05:12.000 --> 00:05:13.000]  其實是很恐怖
[00:05:13.000 --> 00:05:15.000]  我以前試過一次
[00:05:15.000 --> 00:05:19.000]  由香港駕駛帆船
[00:05:19.000 --> 00:05:23.000]  經過南中國海去菲律賓
[00:05:23.000 --> 00:05:24.000]  我駕駛的那艘船
[00:05:24.000 --> 00:05:25.000]  還有很多人
[00:05:25.000 --> 00:05:26.000]  不是我自己一個人去駕駛
