
[00:00:00.000 --> 00:00:00.840]   - The phone?
[00:00:00.840 --> 00:00:01.660]   - Oh, yeah.
[00:00:01.660 --> 00:00:02.500]   - All right.
[00:00:02.500 --> 00:00:05.460]   Brothers and sisters, I realized I didn't really
[00:00:05.460 --> 00:00:07.740]   have a chance to tell everyone a little bit about myself.
[00:00:07.740 --> 00:00:10.500]   And it's a good, I'm really happy to see
[00:00:10.500 --> 00:00:12.940]   you brothers and sisters in the church.
[00:00:12.940 --> 00:00:14.900]   And it's a little bit about me is like,
[00:00:14.900 --> 00:00:17.340]   James, man, James, I mean, that song,
[00:00:17.340 --> 00:00:19.300]   "The Power of Your Love" was like something
[00:00:19.300 --> 00:00:20.900]   that I haven't heard for a while.
[00:00:20.900 --> 00:00:22.980]   And it was the first time when Pastor Mark
[00:00:22.980 --> 00:00:25.900]   was my youth pastor, like close to 20 years ago.
[00:00:25.900 --> 00:00:28.260]   And then it was the first time in the retreat
[00:00:28.260 --> 00:00:31.100]   that I felt like God convicted me to change.
[00:00:31.100 --> 00:00:32.540]   I need to be different.
[00:00:32.540 --> 00:00:33.820]   I gotta be better.
[00:00:33.820 --> 00:00:34.660]   And that was the starting.
[00:00:34.660 --> 00:00:36.300]   I was like, wow, my Christian journey,
[00:00:36.300 --> 00:00:39.500]   especially that verse, "Where your will and foe
[00:00:39.500 --> 00:00:41.760]   "in our lives."
[00:00:41.760 --> 00:00:44.020]   I'm like, here we are.
[00:00:44.020 --> 00:00:46.460]   I graduated from Moody two years ago,
[00:00:46.460 --> 00:00:50.340]   a Master of Arts in Spiritual Formation and Cycle Ship,
[00:00:50.340 --> 00:00:52.660]   along with my beautiful wife right here, Shirley.
[00:00:52.660 --> 00:00:54.480]   And right now, we're getting ready
[00:00:54.480 --> 00:00:56.020]   for the mission field in Taiwan.
[00:00:56.020 --> 00:00:58.060]   Once Taiwan opens up, we get our visa,
[00:00:58.060 --> 00:00:59.220]   we're about to head out.
[00:00:59.220 --> 00:01:01.340]   So I learned a lot about being a missionary,
[00:01:01.340 --> 00:01:03.600]   but that's God's will in my life.
[00:01:03.600 --> 00:01:06.980]   From what I remember 20 years ago as a kid,
[00:01:06.980 --> 00:01:09.260]   as a high school kid, with my youth pastor,
[00:01:09.260 --> 00:01:10.840]   who's still my pastor right now.
[00:01:10.840 --> 00:01:14.640]   So I'm just very grateful to have a chance right here
[00:01:14.640 --> 00:01:16.860]   to share God's word with you right here.
[00:01:16.860 --> 00:01:18.460]   Let's pray together.
[00:01:18.460 --> 00:01:21.780]   Father, we thank you, Lord,
[00:01:21.780 --> 00:01:24.080]   for the time that you give us right here
[00:01:24.080 --> 00:01:26.020]   to focus on you, Lord.
[00:01:26.020 --> 00:01:28.900]   As you said, let tomorrow worry about tomorrow, Lord.
