
[00:00:00.000 --> 00:00:16.900]  如果有聖經的話 大家可以去到
[00:00:16.900 --> 00:00:19.400]  肥納比書第三章第20節
[00:00:19.400 --> 00:00:21.400]  三章第20節
[00:00:21.400 --> 00:00:31.800]  我們卻是天上的國民 並且等候救主 就是主耶穌基督從天上降臨
[00:00:31.800 --> 00:00:37.800]  他要按著那能叫萬有 歸服自己的大能
[00:00:37.800 --> 00:00:45.300]  將我們這卑賤的身體改變形狀 和他自己榮耀的身體相似
[00:00:45.300 --> 00:00:48.300]  這裡其中一節 肥納比書三章第20節
[00:00:48.300 --> 00:00:54.300]  講到我們基督徒的身份 我們這個系列會看看新約裡面
[00:00:54.300 --> 00:00:58.300]  我們知道新約裡面有多少卷書 27卷書
[00:00:58.300 --> 00:01:04.300]  這27卷書裡面有很多都是當時的教會領袖 使徒 牧者
[00:01:04.300 --> 00:01:10.300]  他們寫給當時初代的教會 當時的教會已經在不同的城市裡面
[00:01:10.300 --> 00:01:14.300]  已經藉了堂 在不同的地區
[00:01:14.300 --> 00:01:18.300]  不同的城市裡面 也有很多不同的所謂的小組教會
[00:01:18.300 --> 00:01:21.300]  不同的家庭聚會的教會
[00:01:21.300 --> 00:01:26.300]  在這些教會散佈在羅馬帝國不同的地方的時候
[00:01:26.300 --> 00:01:35.300]  有很多時候領袖的使徒 不但會去不同的城市各鄉做教導和栽培
[00:01:35.300 --> 00:01:39.300]  他們也會寫信 給他們一些指導
[00:01:39.300 --> 00:01:43.300]  我們會翻開聖經裡面一些新約的書信
[00:01:43.300 --> 00:01:45.300]  一些所謂教會的書信
[00:01:45.300 --> 00:01:48.300]  Church letters 或者epistles
[00:01:48.300 --> 00:01:51.300]  我們看看裡面如何教導初代基督徒
[00:01:51.300 --> 00:01:57.300]  他們在世界各地不同的地方他們有的身份是什麼
[00:01:57.300 --> 00:02:00.300]  三章二十節這裡很清楚講
[00:02:00.300 --> 00:02:05.300]  就是說我們到底是一個怎樣的身份 什麼的identity
[00:02:05.300 --> 00:02:07.300]  我們是什麼
[00:02:07.300 --> 00:02:10.300]  我們翻開這本書的時候
[00:02:10.300 --> 00:02:12.300]  我們知道是叫做《肥納比書》
[00:02:12.300 --> 00:02:17.300]  如果你不是很清楚聖經的格局或者背景
