
[00:00:00.000 --> 00:00:04.500]  各位誠惠的弟兄姊妹和朋友,早安
[00:00:04.500 --> 00:00:10.000]  也很開心可以今天和大家分享神自己的話語
[00:00:10.000 --> 00:00:12.000]  多謝Mark Sir的邀請
[00:00:12.000 --> 00:00:15.000]  我是宣道會石安堂的Pastor Jackson
[00:00:15.000 --> 00:00:19.000]  今天和大家分享一個訊息
[00:00:19.000 --> 00:00:21.000]  活得更豐富
[00:00:21.000 --> 00:00:24.000]  新的一年,希望大家在主的裏面
[00:00:24.000 --> 00:00:26.000]  可以有更豐富的恩典
[00:00:26.000 --> 00:00:30.000]  不知道當說到豐富的時候
[00:00:30.000 --> 00:00:32.000]  你會聯想到些什麼
[00:00:32.000 --> 00:00:35.000]  我們中國人很喜歡吃東西
[00:00:35.000 --> 00:00:37.000]  我自己也很喜歡吃東西
[00:00:37.000 --> 00:00:40.000]  所以一說到豐富的時候
[00:00:40.000 --> 00:00:43.000]  我就想起一餐豐富的飯
[00:00:43.000 --> 00:00:46.000]  可能對有些人來說是一餐豐富的自助餐
[00:00:46.000 --> 00:00:51.000]  我記得我曾經和太太一起去澳門
[00:00:51.000 --> 00:00:54.000]  探訪在澳門住的舅父
[00:00:54.000 --> 00:00:56.000]  他帶我們去吃自助餐
[00:00:56.000 --> 00:00:58.000]  你知道澳門有很多酒店
[00:00:58.000 --> 00:01:00.000]  有很多自助餐
[00:01:00.000 --> 00:01:02.000]  看到的時候,很多東西吃
[00:01:02.000 --> 00:01:05.000]  我們不是經常吃,自助餐也很少吃
[00:01:05.000 --> 00:01:07.000]  所以看到的時候,很豐富
[00:01:07.000 --> 00:01:11.000]  舅父說這些很小事,很小事
[00:01:11.000 --> 00:01:14.000]  他說有另外一間我想帶你去
[00:01:14.000 --> 00:01:16.000]  但是因為你只有一天的時間
[00:01:16.000 --> 00:01:19.000]  他說免得浪費時間在吃自助餐上
[00:01:19.000 --> 00:01:23.000]  Mark Sir十一月放假也來了多倫多
[00:01:23.000 --> 00:01:26.000]  我們一起吃了一餐豐富的午餐
[00:01:26.000 --> 00:01:29.000]  加拿大有一間銀行
[00:01:29.000 --> 00:01:33.000]  那間銀行的標語真的很貼切
[00:01:33.000 --> 00:01:35.000]  它的標語就是
[00:01:35.000 --> 00:01:37.000]  You are richer than you think
[00:01:37.000 --> 00:01:39.000]  你比你想像中更富有
[00:01:39.000 --> 00:01:42.000]  挺好的,你比你想像中更富有
[00:01:42.000 --> 00:01:44.000]  人人都喜歡豐富
[00:01:44.000 --> 00:01:46.000]  人人的定義也很不同
[00:01:46.000 --> 00:01:48.000]  例如剛才說到在北美
[00:01:48.000 --> 00:01:51.000]  那種豐富,很多時候都是說選擇上
[00:01:51.000 --> 00:01:54.000]  我們怎樣可以選擇一個更好的
[00:01:54.000 --> 00:01:55.000]  就叫豐富
[00:01:55.000 --> 00:01:57.000]  但是對比起第三世界國家
[00:01:57.000 --> 00:02:00.000]  他們的豐富可能只是有一餐飯吃
[00:02:00.000 --> 00:02:03.000]  所以豐富的定義,人人都不同
[00:02:03.000 --> 00:02:07.000]  但是既然今天我們來到相聚一起的時候
[00:02:07.000 --> 00:02:08.000]  一起敬拜的時候
[00:02:08.000 --> 00:02:10.000]  我們就問聖經的豐富
[00:02:10.000 --> 00:02:13.000]  有什麼意思在裡面呢?
[00:02:13.000 --> 00:02:17.000]  在新的一年,我想藉著耶穌以水變酒
[00:02:17.000 --> 00:02:19.000]  一個這麼熟悉的神蹟
[00:02:19.000 --> 00:02:21.000]  和大家看看什麼是豐富
[00:02:21.000 --> 00:02:25.000]  第三天,在加里尼的迦那有一個婚宴
[00:02:25.000 --> 00:02:27.000]  耶穌的母親在那裡
[00:02:27.000 --> 00:02:30.000]  耶穌和他的門徒也被請去赴宴
[00:02:30.000 --> 00:02:32.000]  在這個故事裡面
[00:02:32.000 --> 00:02:35.000]  我們看到從頭到尾都有一個婚宴
[00:02:35.000 --> 00:02:38.000]  根據當時猶太人的傳統
[00:02:38.000 --> 00:02:40.000]  或者一些舊約聖經的記載
[00:02:40.000 --> 00:02:42.000]  我們都看到猶太人的婚宴
[00:02:42.000 --> 00:02:44.000]  不是只慶祝一天
[00:02:44.000 --> 00:02:47.000]  而是一個星期,大飲大食
[00:02:47.000 --> 00:02:48.000]  其實也不是很難明白
[00:02:48.000 --> 00:02:52.000]  雖然我們今天不會說有七天的慶祝
[00:02:52.000 --> 00:02:55.000]  但其實我們很多人都分開幾天
[00:02:55.000 --> 00:02:56.000]  在不同的地方慶祝
[00:02:56.000 --> 00:02:58.000]  好像我認識的一些弟兄姊妹
[00:02:58.000 --> 00:03:00.000]  他們在這裡先擺酒
[00:03:00.000 --> 00:03:02.000]  然後他們是在中國來的
[00:03:02.000 --> 00:03:04.000]  然後去中國又慶祝幾天
[00:03:04.000 --> 00:03:05.000]  然後後來去到香港
[00:03:05.000 --> 00:03:08.000]  又要和一些在香港的親戚朋友
[00:03:08.000 --> 00:03:09.000]  又要吃一餐
[00:03:09.000 --> 00:03:12.000]  所以你說猶太人七天的慶祝
[00:03:12.000 --> 00:03:13.000]  是不是很過分呢?
[00:03:13.000 --> 00:03:15.000]  也不是,我們都已經去了三四天
[00:03:15.000 --> 00:03:17.000]  不過是在不同的地方,不同的時間
[00:03:17.000 --> 00:03:19.000]  約翰福音裡面
[00:03:19.000 --> 00:03:23.000]  迦勒的婚禮是一個很特別的記載
[00:03:23.000 --> 00:03:24.000]  因為一方面
[00:03:24.000 --> 00:03:25.000]  其他的福音書
[00:03:25.000 --> 00:03:28.000]  馬太福音、馬可福音、盧迦福音
[00:03:28.000 --> 00:03:29.000]  我們找不到
[00:03:29.000 --> 00:03:32.000]  很特別,只有約翰福音才有
[00:03:32.000 --> 00:03:35.000]  而另外這個神蹟又是很特別的
[00:03:35.000 --> 00:03:38.000]  就是令到我們很多人都不明白
[00:03:38.000 --> 00:03:41.000]  耶穌的第一個神蹟
[00:03:41.000 --> 00:03:43.000]  約翰說這是耶穌第一個神蹟
[00:03:43.000 --> 00:03:45.000]  耶穌第一個神蹟
[00:03:45.000 --> 00:03:47.000]  不是醫病講鬼
[00:03:47.000 --> 00:03:49.000]  不是叫死人復活
[00:03:49.000 --> 00:03:51.000]  可能你和我來到去
[00:03:51.000 --> 00:03:52.000]  是耶穌的話
[00:03:52.000 --> 00:03:54.000]  我們第一個神蹟當然是想
[00:03:54.000 --> 00:03:55.000]  君天動地
[00:03:55.000 --> 00:03:57.000]  想多些人認識你
[00:03:57.000 --> 00:03:59.000]  但是這個神蹟又不是這樣
[00:03:59.000 --> 00:04:00.000]  而且這個神蹟
[00:04:00.000 --> 00:04:01.000]  再想真一點
[00:04:01.000 --> 00:04:03.000]  其實都很奇怪
[00:04:03.000 --> 00:04:05.000]  只不過是可以繼續開派對
[00:04:05.000 --> 00:04:06.000]  沒有酒了
[00:04:06.000 --> 00:04:07.000]  耶穌變一些酒出來
[00:04:07.000 --> 00:04:09.000]  大家嘰呀哈哈,很開心
[00:04:09.000 --> 00:04:11.000]  這樣又可以繼續
[00:04:11.000 --> 00:04:13.000]  所以究竟我們應該怎樣
[00:04:13.000 --> 00:04:16.000]  來理解這個故事呢?
[00:04:16.000 --> 00:04:20.000]  約翰福音的作者約翰
[00:04:20.000 --> 00:04:26.000]  其實是一位滿有豐富的情感的文學家
[00:04:26.000 --> 00:04:27.000]  為什麼我這樣說呢?
[00:04:27.000 --> 00:04:29.000]  因為他寫的故事
[00:04:29.000 --> 00:04:31.000]  有很多的比喻
[00:04:31.000 --> 00:04:33.000]  有很多的隱喻、對比
[00:04:33.000 --> 00:04:35.000]  等等這些手法
[00:04:35.000 --> 00:04:36.000]  我舉幾個例子
[00:04:36.000 --> 00:04:39.000]  第一張,約翰福音大家都很熟悉
[00:04:39.000 --> 00:04:42.000]  我們記得就是一個光明和黑暗的對比
[00:04:42.000 --> 00:04:44.000]  你記不記得?
[00:04:44.000 --> 00:04:46.000]  光照在黑暗裡
[00:04:46.000 --> 00:04:48.000]  黑暗卻不接受光
[00:04:48.000 --> 00:04:51.000]  一個光明和黑暗的主題
[00:04:51.000 --> 00:04:53.000]  其實這個主題在第一章之後
[00:04:53.000 --> 00:04:56.000]  稍後那幾章都有出現
[00:04:56.000 --> 00:04:59.000]  好像尼哥底姆的故事
[00:04:59.000 --> 00:05:02.000]  大家記不記得尼哥底姆是何時找耶穌的?
[00:05:02.000 --> 00:05:03.000]  是晚上
[00:05:03.000 --> 00:05:06.000]  尼哥底姆是晚上找耶穌
[00:05:06.000 --> 00:05:09.000]  而最後他是不認識耶穌的
[00:05:09.000 --> 00:05:10.000]  聖經沒有給他那個結論
[00:05:10.000 --> 00:05:11.000]  他不認識耶穌
[00:05:11.000 --> 00:05:13.000]  但到井旁
[00:05:13.000 --> 00:05:17.000]  第四章井旁的撒瑪利亞婦人
[00:05:17.000 --> 00:05:21.000]  大家記不記得撒瑪利亞婦人是何時遇見耶穌的?
[00:05:21.000 --> 00:05:24.000]  是正午,太陽最猛烈的時候
[00:05:24.000 --> 00:05:27.000]  最光的時候遇見耶穌
[00:05:27.000 --> 00:05:30.000]  所以我們很快就看得到
[00:05:30.000 --> 00:05:32.000]  她有光就認識神
[00:05:32.000 --> 00:05:34.000]  她在晚上找耶穌
[00:05:34.000 --> 00:05:36.000]  她是不認識耶穌
[00:05:36.000 --> 00:05:40.000]  然後第九章這個光明和黑暗的主題都在當中
[00:05:40.000 --> 00:05:45.000]  大家記不記得第九章天山的蠻人
[00:05:45.000 --> 00:05:47.000]  他在整個故事裏面
[00:05:47.000 --> 00:05:50.000]  當然他是唯一一個黑眼的
[00:05:50.000 --> 00:05:52.000]  但故事很諷刺的地方
[00:05:52.000 --> 00:05:54.000]  他是黑眼的
[00:05:54.000 --> 00:05:55.000]  但他認識著
[00:05:55.000 --> 00:05:58.000]  相反那些有眼睛的人
[00:05:58.000 --> 00:06:00.000]  那班法利賽人
[00:06:00.000 --> 00:06:02.000]  他們是黑眼的
[00:06:02.000 --> 00:06:03.000]  他們看不到
[00:06:03.000 --> 00:06:04.000]  不認識著
[00:06:04.000 --> 00:06:08.000]  所以我們見到光明和黑暗在楊方的裏面
[00:06:08.000 --> 00:06:11.000]  這裏那裏用不同的故事去表達出來
[00:06:11.000 --> 00:06:14.000]  另外《約翰福音》的第六章
[00:06:14.000 --> 00:06:17.000]  耶穌做完五餅二魚的神蹟
[00:06:17.000 --> 00:06:19.000]  然後跟門徒說
[00:06:19.000 --> 00:06:21.000]  我的肉是可以吃的
[00:06:21.000 --> 00:06:23.000]  我的血是可以喝的
[00:06:23.000 --> 00:06:24.000]  嚇死人
[00:06:24.000 --> 00:06:25.000]  即是嚇到人們
[00:06:25.000 --> 00:06:26.000]  所以人們就走了
[00:06:26.000 --> 00:06:29.000]  我們讀《約翰福音》的故事的時候
[00:06:29.000 --> 00:06:31.000]  我們不可以只是看表面
[00:06:31.000 --> 00:06:34.000]  看表面的時候我們就走寶了
[00:06:34.000 --> 00:06:37.000]  我們應該來看一下它背後的意思
[00:06:37.000 --> 00:06:39.000]  所以在聖經裏面
[00:06:39.000 --> 00:06:42.000]  當講到有婚宴的時候
[00:06:42.000 --> 00:06:45.000]  其實婚宴、筵席
[00:06:45.000 --> 00:06:48.000]  就是代表了神的國的降臨
[00:06:48.000 --> 00:06:49.000]  有婚宴、有筵席
[00:06:49.000 --> 00:06:51.000]  就是因為神的國已經來到了
[00:06:51.000 --> 00:06:54.000]  這個就是聖經的筵席的意思
[00:06:54.000 --> 00:06:57.000]  而那班信徒、神的子民
[00:06:57.000 --> 00:06:59.000]  因為神的國的降臨
[00:06:59.000 --> 00:07:00.000]  他們就要起來
[00:07:00.000 --> 00:07:01.000]  就要慶祝
[00:07:01.000 --> 00:07:04.000]  就要吃飯、喝酒、慶祝
[00:07:04.000 --> 00:07:08.000]  好像《賽亞書》25章第6節、第9節
[00:07:08.000 --> 00:07:12.000]  萬君的耶和華必為萬民擺設筵席
[00:07:12.000 --> 00:07:14.000]  有肥金與美酒
[00:07:14.000 --> 00:07:16.000]  到那日人必說
