
[00:00:00.000 --> 00:00:04.000]  今日嘅中文講完係Mark Sir 而家將時間交畀佢
[00:00:04.000 --> 00:00:09.000]  大家好 今日好高興見到大家
[00:00:09.000 --> 00:00:11.000]  我知道今日係打世界盃
[00:00:11.000 --> 00:00:13.000]  而家打下下半場
[00:00:13.000 --> 00:00:15.000]  後面工作人員話畀我聽
[00:00:15.000 --> 00:00:17.000]  2比0 阿根廷係贏緊
[00:00:17.000 --> 00:00:19.000]  ok 大家好安心
[00:00:19.000 --> 00:00:21.000]  可以聽到
[00:00:21.000 --> 00:00:24.000]  都唔使睇
[00:00:24.000 --> 00:00:26.000]  點都好
[00:00:26.000 --> 00:00:28.000]  我哋繼續去迎接張琳琦
[00:00:28.000 --> 00:00:30.000]  張琳琦的Advent Season
[00:00:30.000 --> 00:00:32.000]  聖誕節就嚟到
[00:00:32.000 --> 00:00:34.000]  我哋思想一下聖誕節
[00:00:34.000 --> 00:00:36.000]  我哋可以有好多問題問
[00:00:36.000 --> 00:00:38.000]  譬如聖誕節 啲舊嘢
[00:00:38.000 --> 00:00:40.000]  即係有啲唔同嘅symbol
[00:00:40.000 --> 00:00:42.000]  唔同嘅記號
[00:00:42.000 --> 00:00:44.000]  唔同嘅蠟燭等等
[00:00:44.000 --> 00:00:46.000]  喺邊度嚟嘅呢
[00:00:46.000 --> 00:00:48.000]  譬如有啲問題係聖誕老人
[00:00:48.000 --> 00:00:50.000]  呢舊嘢係邊度嚟
[00:00:50.000 --> 00:00:52.000]  唔知
[00:00:52.000 --> 00:00:54.000]  聖誕老人係主後大概
[00:00:54.000 --> 00:00:56.000]  二百幾年 大概三百年
[00:00:56.000 --> 00:00:58.000]  有個人叫聖尼克勒斯
[00:00:58.000 --> 00:01:00.000]  呢個主教
[00:01:00.000 --> 00:01:02.000]  係一個基督徒嘅主教
[00:01:02.000 --> 00:01:04.000]  聽講佢就係
[00:01:04.000 --> 00:01:06.000]  喺傳記裏面講
[00:01:06.000 --> 00:01:08.000]  就係一個好樂意去
[00:01:08.000 --> 00:01:10.000]  行善嘅一個人
[00:01:10.000 --> 00:01:12.000]  去對其他有需要嘅人
[00:01:12.000 --> 00:01:14.000]  好盡心去幫助
[00:01:14.000 --> 00:01:16.000]  正因為咁嘅緣故
[00:01:16.000 --> 00:01:18.000]  所謂聖誕老人就係從
[00:01:18.000 --> 00:01:20.000]  聖尼克勒斯慢慢慢慢
[00:01:20.000 --> 00:01:22.000]  嚟到去
[00:01:22.000 --> 00:01:24.000]  演變出嚟
[00:01:24.000 --> 00:01:26.000]  個燈有少少壞
[00:01:26.000 --> 00:01:28.000]  等間下午我哋就會
[00:01:28.000 --> 00:01:30.000]  掉咗佢個燈
[00:01:30.000 --> 00:01:32.000]  另外一個問題
[00:01:32.000 --> 00:01:34.000]  我去問 除咗聖誕老人之外
[00:01:34.000 --> 00:01:36.000]  就係呢個聖誕節
[00:01:36.000 --> 00:01:38.000]  日子
[00:01:38.000 --> 00:01:40.000]  係點樣嚟嘅呢
[00:01:40.000 --> 00:01:42.000]  咁
[00:01:42.000 --> 00:01:44.000]  十月廿五號 聖誕節
[00:01:44.000 --> 00:01:46.000]  Christmas day
[00:01:46.000 --> 00:01:48.000]  都幾distracting
[00:01:48.000 --> 00:01:50.000]  不過唔緊要
[00:01:50.000 --> 00:01:52.000]  聖誕嘛
[00:01:52.000 --> 00:01:54.000]  有少少斬燈係ok嘅
[00:01:54.000 --> 00:01:56.000]  Thank you
[00:01:56.000 --> 00:01:58.000]  Anyways 聖誕日子
[00:01:58.000 --> 00:02:00.000]  係邊度嚟㗎呢 有一個嘅說法
[00:02:00.000 --> 00:02:02.000]  就係話喺
[00:02:02.000 --> 00:02:04.000]  早期嘅教會
[00:02:04.000 --> 00:02:06.000]  嗰陣時
[00:02:06.000 --> 00:02:08.000]  以前嗰個羅馬帝國
[00:02:08.000 --> 00:02:10.000]  羅馬帝國
[00:02:10.000 --> 00:02:12.000]  就有一個慶祝太陽神
[00:02:12.000 --> 00:02:14.000]  嘅一個節日
[00:02:14.000 --> 00:02:16.000]  而嗰個太陽神嘅節日呢 就係啱啱
[00:02:16.000 --> 00:02:18.000]  係呢一個嘅時間
[00:02:18.000 --> 00:02:20.000]  咁所以到呢個嘅教會
[00:02:20.000 --> 00:02:22.000]  開始喺歐洲
[00:02:22.000 --> 00:02:24.000]  或者西方嘅世界
[00:02:24.000 --> 00:02:26.000]  去到受到人
[00:02:26.000 --> 00:02:28.000]  重視嘅時候 佢哋就攞咗呢個
[00:02:28.000 --> 00:02:30.000]  節日呢 嚟到去取締咗
[00:02:30.000 --> 00:02:32.000]  將耶穌嘅降生
[00:02:32.000 --> 00:02:34.000]  取締咗呢一個
[00:02:34.000 --> 00:02:36.000]  嘅太陽神嘅節日
[00:02:36.000 --> 00:02:38.000]  咁當時佢哋就會送禮
[00:02:38.000 --> 00:02:40.000]  咁然之後呢 教會嘅傳統
