
[00:00:00.000 --> 00:00:02.000]  多謝Nelson
[00:00:02.000 --> 00:00:07.000]  Pastor Appreciation Month
[00:00:07.000 --> 00:00:09.000]  我覺得經常去到這個月的時候
[00:00:09.000 --> 00:00:11.000]  我們去做一些這樣的事
[00:00:11.000 --> 00:00:13.000]  我都覺得有點不好意思
[00:00:13.000 --> 00:00:14.000]  說真的
[00:00:14.000 --> 00:00:15.000]  我們的童工
[00:00:15.000 --> 00:00:18.000]  我夠膽代表我們所有的教務童工
[00:00:18.000 --> 00:00:20.000]  有好幾個是兼職
[00:00:20.000 --> 00:00:22.000]  我們真的不是為了錢
[00:00:22.000 --> 00:00:24.000]  我們主要的原因
[00:00:24.000 --> 00:00:25.000]  侍奉
[00:00:25.000 --> 00:00:28.000]  是因為我們知道上帝的恩典是真實的
[00:00:28.000 --> 00:00:31.000]  福音給我們有很大的改變
[00:00:31.000 --> 00:00:34.000]  以致我們的生命可以奉獻給上帝
[00:00:34.000 --> 00:00:35.000]  我們能夠全時間的
[00:00:35.000 --> 00:00:37.000]  更多時間的去服侍
[00:00:37.000 --> 00:00:39.000]  去推動教會去幫助教會
[00:00:39.000 --> 00:00:42.000]  這個真是我們的心願
[00:00:42.000 --> 00:00:44.000]  我去過不同的教會
[00:00:44.000 --> 00:00:48.000]  我覺得今時今日我有的教會童工團隊
[00:00:48.000 --> 00:00:50.000]  是一個最好的團隊
[00:00:50.000 --> 00:00:53.000]  因為大家真的用心去做事
[00:00:53.000 --> 00:00:57.000]  我去過好幾間的教會
[00:00:57.000 --> 00:01:00.000]  有時候真的不知道在做什麼
[00:01:00.000 --> 00:01:05.000]  因為很多時候要處理很多不同的人際的問題
[00:01:05.000 --> 00:01:08.000]  教會的問題等等
[00:01:08.000 --> 00:01:09.000]  有些很頭痕的事
[00:01:09.000 --> 00:01:13.000]  但在UV我覺得真是一個很好的團隊
[00:01:13.000 --> 00:01:17.000]  所以為了這件事去感恩
[00:01:17.000 --> 00:01:18.000]  正因為這樣的緣故
[00:01:18.000 --> 00:01:20.000]  教會可以繼續去發展
[00:01:20.000 --> 00:01:23.000]  教會是有更大的需要
[00:01:23.000 --> 00:01:24.000]  正如我們剛才說過
[00:01:24.000 --> 00:01:26.000]  有新的童工是需要
[00:01:26.000 --> 00:01:29.000]  能夠將他們提拔出來
[00:01:29.000 --> 00:01:31.000]  以致教會能夠繼續向前
[00:01:31.000 --> 00:01:34.000]  今天本身是想說啟示錄
[00:01:34.000 --> 00:01:36.000]  因為有這麼多的報告
[00:01:36.000 --> 00:01:37.000]  我知道沒有什麼時間
[00:01:37.000 --> 00:01:40.000]  所以我想說一篇
[00:01:40.000 --> 00:01:42.000]  On the fly的說
[00:01:42.000 --> 00:01:43.000]  On the fly
[00:01:43.000 --> 00:01:44.000]  就是剛剛想的
[00:01:44.000 --> 00:01:46.000]  真的剛剛想
[00:01:46.000 --> 00:01:48.000]  你問問後台Phoebe
[00:01:48.000 --> 00:01:49.000]  我說今天還是不要出
[00:01:49.000 --> 00:01:51.000]  我昨晚預備的PowerPoint
[00:01:51.000 --> 00:01:53.000]  下個星期好嗎
[00:01:53.000 --> 00:01:55.000]  菜已經煮了
[00:01:55.000 --> 00:01:57.000]  不過下個星期才serve
[00:01:57.000 --> 00:01:58.000]  今天我就On the fly
[00:01:58.000 --> 00:01:59.000]  說一篇
[00:01:59.000 --> 00:02:01.000]  我想起一段聖經
[00:02:01.000 --> 00:02:02.000]  如果你有聖經的話
[00:02:02.000 --> 00:02:03.000]  打開
[00:02:03.000 --> 00:02:04.000]  是兩節
[00:02:04.000 --> 00:02:07.000]  在提摩太前書第五章十七和十八節
[00:02:07.000 --> 00:02:09.000]  PowerPoint沒有的
[00:02:09.000 --> 00:02:15.000]  提摩太前書第五章十七至十八節
[00:02:15.000 --> 00:02:17.000]  這裡你聽我讀
[00:02:17.000 --> 00:02:20.000]  善於督導教會的長老
[00:02:20.000 --> 00:02:24.000]  尤其是勤勞廣道教導人的
[00:02:24.000 --> 00:02:27.000]  應該得到加倍的敬奉
[00:02:27.000 --> 00:02:30.000]  因為經常說牛在全谷的時候
[00:02:30.000 --> 00:02:32.000]  不可以勞著他的嘴
[00:02:32.000 --> 00:02:36.000]  又說工人得工假是應當的
[00:02:36.000 --> 00:02:38.000]  大家知道這個所謂教務的書信
[00:02:38.000 --> 00:02:41.000]  提摩太前後書和提多書
[00:02:41.000 --> 00:02:44.000]  是去教導教會的領袖
[00:02:44.000 --> 00:02:46.000]  或者教導教會的群體
[00:02:46.000 --> 00:02:49.000]  怎樣去處理教會裡面的事務
[00:02:49.000 --> 00:02:50.000]  怎樣去發展教會
[00:02:50.000 --> 00:02:52.000]  和處理教會裡面的關係等等
[00:02:52.000 --> 00:02:55.000]  所以你打開提摩太前後書
[00:02:55.000 --> 00:02:57.000]  提多書
[00:02:57.000 --> 00:02:58.000]  這三封書信很短的
[00:02:58.000 --> 00:03:00.000]  就是寶羅寫給他兩個徒弟
[00:03:00.000 --> 00:03:02.000]  提摩太和提多
[00:03:02.000 --> 00:03:04.000]  他們分別在不同的地方
[00:03:04.000 --> 00:03:07.000]  處理和牧養當時的教會
[00:03:07.000 --> 00:03:09.000]  有很多的問題
[00:03:09.000 --> 00:03:11.000]  譬如有異端
[00:03:11.000 --> 00:03:13.000]  有一些人傳假道
[00:03:13.000 --> 00:03:16.000]  提摩太和提多這兩個徒弟
[00:03:16.000 --> 00:03:18.000]  應該做些什麼呢
[00:03:18.000 --> 00:03:19.000]  應該怎樣去教導人呢
[00:03:19.000 --> 00:03:22.000]  還有在教會裡面遇見不同的問題
[00:03:22.000 --> 00:03:26.000]  譬如長老的問題
[00:03:26.000 --> 00:03:29.000]  怎樣處理教會的資源問題
[00:03:29.000 --> 00:03:32.000]  怎樣去照顧有需要的人
[00:03:32.000 --> 00:03:33.000]  特別是一些寡婦等等
[00:03:33.000 --> 00:03:36.000]  所以有很多的你可以叫做policy
[00:03:36.000 --> 00:03:38.000]  你可以叫他做一些原則
[00:03:38.000 --> 00:03:41.000]  在這三封書信裡面都出現的
[00:03:41.000 --> 00:03:44.000]  這裡第五章十七至十八節
[00:03:44.000 --> 00:03:48.000]  就是講到一些在教會裡面
[00:03:48.000 --> 00:03:51.000]  做教導和督導的
[00:03:51.000 --> 00:03:54.000]  幫忙做領導的一班人
[00:03:54.000 --> 00:03:56.000]  他說這些人是什麼呢
[00:03:56.000 --> 00:04:01.000]  他說如果他們是勤勞去教導去督導的話
[00:04:01.000 --> 00:04:05.000]  這班人應該是得到加倍的敬奉
[00:04:05.000 --> 00:04:07.000]  加倍的敬奉
[00:04:07.000 --> 00:04:08.000]  其實是在講一些很實際的東西
[00:04:08.000 --> 00:04:10.000]  是薪酬問題
[00:04:10.000 --> 00:04:14.000]  我知道牧師講這些東西是很煩
[00:04:14.000 --> 00:04:17.000]  還有不是很好意思
[00:04:17.000 --> 00:04:20.000]  但是我想我都老到一個地步
[00:04:20.000 --> 00:04:21.000]  我都不是很care
[00:04:21.000 --> 00:04:23.000]  我都不是很care
[00:04:23.000 --> 00:04:25.000]  我去過不同的教會
[00:04:25.000 --> 00:04:27.000]  我告訴你
[00:04:27.000 --> 00:04:28.000]  我一直這麼多年
[00:04:28.000 --> 00:04:31.000]  我都沒有跟教會的長輩
[00:04:31.000 --> 00:04:32.000]  教會的領袖
