
[00:00:00.000 --> 00:00:05.100]  終於來到傳道書的中間
[00:00:05.100 --> 00:00:10.820]  猜猜今天這段經文 傳道者要跟我們說什麼
[00:00:10.820 --> 00:00:17.720]  我在練習的時候 發覺已經告訴大家今天要說什麼
[00:00:17.720 --> 00:00:21.900]  如果今天是第一次來到我們教會
[00:00:21.900 --> 00:00:23.900]  我想代表教會歡迎你
[00:00:23.900 --> 00:00:25.900]  完了崇拜之後 歡迎你留步
[00:00:25.900 --> 00:00:29.400]  讓我們大家可以有互相認識的時間
[00:00:29.400 --> 00:00:31.400]  好 回到傳道書
[00:00:31.400 --> 00:00:37.100]  傳道書是聖經舊約裏面其中一本智慧文學
[00:00:37.100 --> 00:00:42.600]  探討人生的終極意義 道德的實踐
[00:00:42.600 --> 00:00:44.600]  苦難的奧秘
[00:00:44.600 --> 00:00:48.600]  和我們人和做物主之間的關係
[00:00:48.600 --> 00:00:58.600]  今天的經文在傳道書的五章八節到六章九節
[00:00:58.600 --> 00:01:05.600]  傳道書的作者今天要跟我們說錢
[00:01:05.600 --> 00:01:11.600]  你聽到這個主題的時候 是否馬上醒了
[00:01:11.600 --> 00:01:16.600]  還是馬上在想 說錢會傷感情
[00:01:16.600 --> 00:01:20.600]  我覺得不是很怕傷感情 因為與我無關
[00:01:20.600 --> 00:01:22.600]  不是我說的 傳道者說的
[00:01:22.600 --> 00:01:24.600]  我只是依經直說
[00:01:24.600 --> 00:01:30.600]  不如你又想想 錢有什麼好說的
[00:01:30.600 --> 00:01:34.600]  在這段經文裏面
[00:01:34.600 --> 00:01:38.600]  傳道者不是站在道德高地上
[00:01:38.600 --> 00:01:42.600]  跟我們說錢是好的 或者錢是不好的
[00:01:42.600 --> 00:01:46.600]  而是他要藉著說錢這件事
[00:01:46.600 --> 00:01:49.600]  要我們思考一下
[00:01:51.600 --> 00:01:56.600]  喜歡錢的人不會因為錢而滿足
[00:01:56.600 --> 00:01:59.600]  錢多又如何
[00:01:59.600 --> 00:02:03.600]  你知不知道可以分分鐘得個體字
[00:02:03.600 --> 00:02:06.600]  然後還要慢慢失眠
[00:02:06.600 --> 00:02:08.600]  為什麼呢
[00:02:08.600 --> 00:02:15.600]  有賺錢的能力 又懂得存錢
[00:02:15.600 --> 00:02:21.600]  但可以無神神發生一些事 一鋪清袋
[00:02:21.600 --> 00:02:26.600]  有財有勢一無所缺
[00:02:26.600 --> 00:02:30.600]  但卻沒有享受的能力
[00:02:30.600 --> 00:02:33.600]  很殘忍吧
[00:02:33.600 --> 00:02:36.600]  就像回到第一章那樣說
[00:02:36.600 --> 00:02:39.600]  虛空的虛空
[00:02:39.600 --> 00:02:42.600]  一直在聽 不知道你會不會覺得
[00:02:42.600 --> 00:02:46.600]  很depressing 這麼慘
[00:02:46.600 --> 00:02:49.600]  其實傳道者在這段經文裏面
[00:02:49.600 --> 00:02:52.600]  有什麼好說的呢
[00:02:52.600 --> 00:02:56.600]  有沒有好的東西在裏面說的呢
[00:02:56.600 --> 00:03:00.600]  是有的
[00:03:00.600 --> 00:03:04.600]  會不會在五章十八至二十節那裏說
[00:03:04.600 --> 00:03:07.600]  看我所看見為善為美的
[00:03:07.600 --> 00:03:11.600]  就是人在神次他一生的日子吃喝
[00:03:11.600 --> 00:03:14.600]  享受日光之下勞碌得來的好處
[00:03:14.600 --> 00:03:17.600]  因為這是他應得的報償
[00:03:17.600 --> 00:03:22.600]  而且一個人夢神賞賜財富與資產
[00:03:22.600 --> 00:03:24.600]  又使他能享用
[00:03:24.600 --> 00:03:27.600]  能獲取自己當有的報償
[00:03:27.600 --> 00:03:29.600]  在他的勞碌中喜樂
[00:03:29.600 --> 00:03:31.600]  這是神的賞賜
[00:03:31.600 --> 00:03:34.600]  他不多思念自己一生的日子
[00:03:34.600 --> 00:03:38.600]  因為神使他的心充滿喜樂
[00:03:38.600 --> 00:03:43.600]  意思是否叫我們不用想太多
[00:03:43.600 --> 00:03:45.600]  又不要計算太多
[00:03:45.600 --> 00:03:47.600]  總之有得吃你就吃
[00:03:47.600 --> 00:03:49.600]  有得飲你就飲
[00:03:49.600 --> 00:03:51.600]  有工返就返工
[00:03:51.600 --> 00:03:53.600]  開開心心過日子
[00:03:53.600 --> 00:03:56.600]  存著感恩的心去領受
[00:03:56.600 --> 00:04:01.600]  就叫做懂得享受上帝給你的恩典
[00:04:01.600 --> 00:04:06.600]  如果我告訴你不是
[00:04:06.600 --> 00:04:10.600]  至少這個不是重點
[00:04:10.600 --> 00:04:14.600]  那你猜一下甚麼是重點呢
[00:04:14.600 --> 00:04:17.600]  不如我們先一起低頭祈禱
[00:04:17.600 --> 00:04:22.600]  我們求聖靈幫助我們去聆聽神的話語
[00:04:22.600 --> 00:04:25.600]  親愛的天父我們感謝你
[00:04:25.600 --> 00:04:27.600]  我們人算得是甚麼
[00:04:27.600 --> 00:04:30.600]  你竟然眷顧我們
[00:04:30.600 --> 00:04:34.600]  感謝你繼續跟我們說話
[00:04:34.600 --> 00:04:37.600]  求你幫助我們
[00:04:37.600 --> 00:04:41.600]  我們渴望聽到你的聲音
[00:04:41.600 --> 00:04:45.600]  奉主耶穌基督成名祈求
[00:04:45.600 --> 00:04:51.600]  1980年林子祥出了一首歌
[00:04:51.600 --> 00:04:53.600]  叫做《分分鐘需要你》
[00:04:53.600 --> 00:04:55.600]  懂得唱嗎
[00:04:55.600 --> 00:05:00.600]  願你會揸火箭帶我到天空去
[00:05:00.600 --> 00:05:03.600]  在太空中兩人住
