
[00:00:00.000 --> 00:00:01.280]  看完節目就好
[00:00:01.280 --> 00:00:06.120]  這次我們繼續看約瑟的故事
[00:00:06.120 --> 00:00:08.680]  我們連續有五講,這次是第五講
[00:00:08.680 --> 00:00:10.200]  我們說到約瑟的故事
[00:00:10.200 --> 00:00:12.360]  我們說是今場的一個故事在創世紀
[00:00:12.360 --> 00:00:15.320]  其實是在說一個聖經裏面很寶貴的教導
[00:00:15.320 --> 00:00:16.480]  就是Providence
[00:00:16.480 --> 00:00:21.000]  即是上帝對我們生命裏面的護理或者庇護
[00:00:21.000 --> 00:00:25.600]  上一次我們說到42和43章
[00:00:25.600 --> 00:00:32.440]  這裏說到約瑟和他十個哥哥重遇
[00:00:32.440 --> 00:00:35.920]  因為饑荒緣故所以他們去了埃及去吃糧
[00:00:35.920 --> 00:00:40.160]  所以42和43章我們上一次說到
[00:00:40.160 --> 00:00:44.280]  在這兩章裏面約瑟就去掙扎一個問題
[00:00:44.280 --> 00:00:47.840]  就是怎樣去測試他的兄弟
[00:00:47.840 --> 00:00:50.200]  這些兄弟有沒有改變
[00:00:50.200 --> 00:00:51.520]  還是好像以前一樣
[00:00:51.520 --> 00:00:55.440]  因為要分家產的緣故他們就弱肉強食
[00:00:55.440 --> 00:00:59.960]  然後就將他們家父所最愛的弟弟就將他剷除
[00:00:59.960 --> 00:01:01.160]  約瑟就是其中一個
[00:01:01.160 --> 00:01:04.840]  現在剩下一個就是約瑟的親弟弟是誰
[00:01:04.840 --> 00:01:07.360]  Benjamin沒錯,就是卞雅敏
[00:01:07.360 --> 00:01:11.120]  所以就希望能夠帶卞雅敏下來
[00:01:11.120 --> 00:01:15.440]  能夠測試到到底卞雅敏是否仍然還在
[00:01:15.440 --> 00:01:16.320]  如果還在的話
[00:01:16.320 --> 00:01:20.840]  我想約瑟希望的是保護到他
[00:01:20.840 --> 00:01:24.920]  因為他怕那十兄弟會殘害他
[00:01:24.920 --> 00:01:28.360]  所以我們上一次去到43章最後的時候
[00:01:28.360 --> 00:01:30.120]  就是一個筵席
[00:01:30.120 --> 00:01:35.240]  你記得約瑟到底他是埃及人還是希伯來人
[00:01:35.240 --> 00:01:37.160]  剛好在中間
[00:01:37.160 --> 00:01:38.560]  44章第一節
[00:01:38.560 --> 00:01:43.000]  在這裡筵席之後就打發這些兄弟回到迦南
[00:01:43.000 --> 00:01:45.120]  在這裡約瑟就出了一個主意
[00:01:45.120 --> 00:01:47.840]  他就吩咐他的管家說什麼
[00:01:47.840 --> 00:01:51.520]  他說按照他們奴隸所帶來的糧食
[00:01:51.520 --> 00:01:54.640]  將個人的銀子還給他們口袋裏面
[00:01:54.640 --> 00:01:55.400]  第二節
[00:01:55.400 --> 00:01:56.560]  我的杯
[00:01:56.560 --> 00:01:58.960]  約瑟說我的銀杯
[00:01:58.960 --> 00:02:03.080]  就要放在年輕人的袋口裏面
[00:02:03.080 --> 00:02:06.400]  最小的Benjamin的袋口裏面
[00:02:06.400 --> 00:02:08.520]  那個銀杯是搞什麼的
[00:02:08.520 --> 00:02:10.280]  在近東的世界裏面
[00:02:10.280 --> 00:02:12.240]  一些有權有勢的人
[00:02:12.240 --> 00:02:15.600]  很多時候都有銀杯是做占卜所用的
[00:02:15.600 --> 00:02:18.160]  就是說他料事如神的意思
