
[00:00:00.000 --> 00:00:01.800]  會處理一下女人
[00:00:01.800 --> 00:00:03.720]  正如我上星期所說
[00:00:03.720 --> 00:00:09.080]  這個議題我們很多人都應該感到切身
[00:00:09.080 --> 00:00:10.840]  因為特別說到《聖經》
[00:00:10.840 --> 00:00:13.480]  或者《聖經》
[00:00:13.480 --> 00:00:15.360]  到底應該怎麼看
[00:00:15.360 --> 00:00:17.680]  也有很多不同的新聞
[00:00:17.680 --> 00:00:19.360]  或者不同的消息等等
[00:00:19.360 --> 00:00:25.000]  所以按照弟兄姊妹所給我的回應
[00:00:25.000 --> 00:00:26.720]  我就決定繼續說下去
[00:00:26.720 --> 00:00:27.480]  好嗎?
[00:00:27.480 --> 00:00:28.480]  繼續說下去
[00:00:28.480 --> 00:00:30.240]  或者如果今天之後
[00:00:30.240 --> 00:00:31.920]  大家都是有要求的話
[00:00:31.920 --> 00:00:33.400]  都可以繼續說下去
[00:00:33.400 --> 00:00:33.840]  是吧?
[00:00:33.840 --> 00:00:35.560]  因為說女人可以說很久的
[00:00:35.560 --> 00:00:39.040]  所以今天我們繼續說一下
[00:00:39.040 --> 00:00:40.440]  處理另外一段經文
[00:00:40.440 --> 00:00:42.440]  這些經文都是比較難的
[00:00:42.440 --> 00:00:46.360]  首先和大家解釋清楚
[00:00:46.360 --> 00:00:48.040]  雖然比較難
[00:00:48.040 --> 00:00:50.880]  或者你剛剛來到教會
[00:00:50.880 --> 00:00:53.360]  或者你可能還沒接觸過《聖經》
[00:00:53.360 --> 00:00:56.120]  你發現這些經文裡面說的東西
[00:00:56.120 --> 00:00:57.920]  都不知道他在說什麼
[00:00:57.920 --> 00:00:59.320]  這是很正常的
[00:00:59.320 --> 00:01:02.360]  首先大家不要被它嚇怕
[00:01:02.360 --> 00:01:04.400]  因為說到最後的時候
[00:01:04.400 --> 00:01:06.360]  大概25分鐘左右
[00:01:06.360 --> 00:01:09.120]  那個應用一定是和大家有關的
[00:01:09.120 --> 00:01:09.720]  好嗎?
[00:01:09.720 --> 00:01:11.040]  就算你聽不明白
[00:01:11.040 --> 00:01:12.920]  最後的時候
[00:01:12.920 --> 00:01:17.320]  大家一定會有一些應用的地方
[00:01:17.320 --> 00:01:20.280]  不過雖然打開這些經文的時候
[00:01:20.280 --> 00:01:22.440]  就算你讀了《聖經》很多年
[00:01:22.440 --> 00:01:24.840]  都可能不明白
[00:01:24.840 --> 00:01:25.480]  對嗎?
[00:01:25.480 --> 00:01:27.240]  有沒有同感?
[00:01:27.240 --> 00:01:29.240]  《聖經》有時候是挺難明白的
[00:01:29.240 --> 00:01:29.720]  好嗎?
[00:01:29.720 --> 00:01:32.560]  原因不是因為他特意寫得這麼難
[00:01:32.560 --> 00:01:37.440]  原因就是我們和《聖經》的受眾
[00:01:37.440 --> 00:01:41.880]  那個時代和文化是有不同的地方
[00:01:41.880 --> 00:01:44.040]  正如有不同的地方
[00:01:44.040 --> 00:01:45.680]  所以我們需要下一點功夫
[00:01:45.680 --> 00:01:47.360]  才能夠明白當時的人
[00:01:47.360 --> 00:01:50.440]  他們怎麼了解經文的意思
[00:01:50.440 --> 00:01:52.520]  然後我們今天才可以說
[00:01:52.520 --> 00:01:54.160]  有什麼原則裡面
[00:01:54.160 --> 00:01:55.800]  他是藉著當時的文化
[00:01:55.800 --> 00:01:57.800]  當時的語言來表達的
[00:01:57.800 --> 00:02:01.680]  那些原則可以應用在我們現在這個時代
[00:02:01.680 --> 00:02:02.480]  好嗎?
[00:02:02.480 --> 00:02:05.400]  所以大家用腦筋好嗎?
