
[00:00:00.000 --> 00:00:04.000]  好 多謝傑少
[00:00:04.000 --> 00:00:06.000]  我還以為傑少可以說道
[00:00:06.000 --> 00:00:10.000]  我留下這篇道給下星期
[00:00:10.000 --> 00:00:12.000]  所以今天決定是對的
[00:00:12.000 --> 00:00:14.000]  有一篇比較短的道
[00:00:14.000 --> 00:00:16.000]  大家知道我今天是說詩篇
[00:00:16.000 --> 00:00:18.000]  我選了一些詩篇
[00:00:18.000 --> 00:00:20.000]  跟大家來思想
[00:00:20.000 --> 00:00:23.000]  今天這篇詩篇是第133篇
[00:00:23.000 --> 00:00:24.000]  如果有聖經的話
[00:00:24.000 --> 00:00:26.000]  不妨打開這篇詩篇
[00:00:26.000 --> 00:00:29.000]  因為我們學校找聖經是對的
[00:00:29.000 --> 00:00:34.000]  打開之後讓我讀
[00:00:34.000 --> 00:00:38.000]  讀的時候請留意這篇詩篇
[00:00:38.000 --> 00:00:39.000]  看詩篇看詩歌
[00:00:39.000 --> 00:00:41.000]  或者我們剛才唱的詩歌
[00:00:41.000 --> 00:00:43.000]  都是要留意意境
[00:00:43.000 --> 00:00:44.000]  為什麼會有這樣的意境
[00:00:44.000 --> 00:00:46.000]  以及意境的意義在哪裡
[00:00:46.000 --> 00:00:48.000]  我們需要反省
[00:00:48.000 --> 00:00:50.000]  或者需要留意的是什麼
[00:00:50.000 --> 00:00:52.000]  我們看看這篇詩篇
[00:00:52.000 --> 00:00:53.000]  很短的 三節
[00:00:53.000 --> 00:00:55.000]  第133篇
[00:00:55.000 --> 00:00:57.000]  大衛上行之師
[00:00:57.000 --> 00:01:00.000]  看那弟兄和木同住
[00:01:00.000 --> 00:01:02.000]  是何等善 何等美
[00:01:02.000 --> 00:01:04.000]  就好比那貴重的油
[00:01:04.000 --> 00:01:06.000]  飄在阿倫的頭上
[00:01:06.000 --> 00:01:09.000]  流到胡蘇 又流到他的衣襟
[00:01:09.000 --> 00:01:11.000]  又好比黑門的金爐
[00:01:11.000 --> 00:01:13.000]  降在石安山
[00:01:13.000 --> 00:01:15.000]  因為在那裡有耶和華
[00:01:15.000 --> 00:01:16.000]  所命定的福
[00:01:16.000 --> 00:01:19.000]  就是永遠的生命
[00:01:19.000 --> 00:01:22.000]  我們看這篇詩歌的時候
[00:01:22.000 --> 00:01:24.000]  需要留意幾樣東西
[00:01:24.000 --> 00:01:26.000]  第一樣東西就是標題
[00:01:26.000 --> 00:01:28.000]  很多時候我們沒有留意標題
[00:01:28.000 --> 00:01:30.000]  標題是什麼
[00:01:30.000 --> 00:01:34.000]  上行之師 大衛上行之師
[00:01:34.000 --> 00:01:38.000]  詩集裡面有多少首詩歌
[00:01:38.000 --> 00:01:40.000]  詩篇裡面有多少首詩歌
[00:01:40.000 --> 00:01:42.000]  有150篇
[00:01:42.000 --> 00:01:44.000]  有150首的詩歌
[00:01:44.000 --> 00:01:45.000]  上一次我提過
[00:01:45.000 --> 00:01:47.000]  這些詩歌都是人的說話
[00:01:47.000 --> 00:01:49.000]  人對上帝所表達的說話
[00:01:49.000 --> 00:01:51.000]  無論是一些討民
[00:01:51.000 --> 00:01:53.000]  一些哀歌 讚美詩詞等等
[00:01:53.000 --> 00:01:55.000]  是人向上帝
[00:01:55.000 --> 00:01:57.000]  是上行的
[00:01:57.000 --> 00:01:58.000]  跟其他聖經不同
[00:01:58.000 --> 00:02:00.000]  其他聖經是下行的
[00:02:00.000 --> 00:02:02.000]  上帝藉著先知說話
[00:02:02.000 --> 00:02:04.000]  或上帝藉著不同的方法
[00:02:04.000 --> 00:02:06.000]  來對神的子民說話
[00:02:06.000 --> 00:02:08.000]  詩篇有一點不同
[00:02:08.000 --> 00:02:10.000]  詩篇是我們向上帝說話
[00:02:10.000 --> 00:02:13.000]  好像我們讚美唱詩的時候
[00:02:13.000 --> 00:02:15.000]  是我們向上帝說話
[00:02:15.000 --> 00:02:16.000]  你有沒有留意
[00:02:16.000 --> 00:02:17.000]  就算第一次來教會
[00:02:17.000 --> 00:02:19.000]  或者來了教會很久
[00:02:19.000 --> 00:02:21.000]  很多詩歌的題材
[00:02:21.000 --> 00:02:24.000]  那個所謂的pronoun
[00:02:24.000 --> 00:02:26.000]  那個代名詞
[00:02:26.000 --> 00:02:28.000]  都是第二身的
[00:02:28.000 --> 00:02:29.000]  You
[00:02:29.000 --> 00:02:31.000]  你
[00:02:31.000 --> 00:02:33.000]  主耶和華你...
[00:02:33.000 --> 00:02:36.000]  這個就是詩歌那種方法
[00:02:36.000 --> 00:02:38.000]  在詩集裡面
[00:02:38.000 --> 00:02:41.000]  有150首這些的詩歌
[00:02:41.000 --> 00:02:44.000]  而其中有15首是很特別的
[00:02:44.000 --> 00:02:46.000]  有一個標題給了他
[00:02:46.000 --> 00:02:48.000]  叫做上行之詩
[00:02:48.000 --> 00:02:50.000]  是120至134
[00:02:50.000 --> 00:02:52.000]  有15首這些的詩歌
[00:02:52.000 --> 00:02:54.000]  都是叫做上行之詩
[00:02:54.000 --> 00:02:55.000]  這些上行之詩
[00:02:55.000 --> 00:02:57.000]  有什麼特別的地方呢
[00:02:57.000 --> 00:03:02.000]  就是他應該是當時神的子民
[00:03:02.000 --> 00:03:05.000]  他們在散居不同的地方
[00:03:05.000 --> 00:03:07.000]  他們要上去耶路撒冷
[00:03:07.000 --> 00:03:09.000]  來去敬拜
[00:03:09.000 --> 00:03:11.000]  上去耶路撒冷朝聖的時候
[00:03:11.000 --> 00:03:13.000]  他們可能會唱的詩歌
[00:03:13.000 --> 00:03:16.000]  說不定隨著年月
[00:03:16.000 --> 00:03:17.000]  不同的世代
[00:03:17.000 --> 00:03:20.000]  他們由不同的地方上耶路撒冷
[00:03:20.000 --> 00:03:21.000]  就是石安山
[00:03:21.000 --> 00:03:23.000]  耶路撒冷就是石安山
[00:03:23.000 --> 00:03:25.000]  去到那裡敬拜的時候
[00:03:25.000 --> 00:03:27.000]  途中上路的時候
[00:03:27.000 --> 00:03:31.000]  可能休息或者正在走的時候
[00:03:31.000 --> 00:03:33.000]  他們會唱一些的詩歌
[00:03:33.000 --> 00:03:34.000]  來去鼓勵他們
[00:03:34.000 --> 00:03:36.000]  或者給他們一個目標
