
[00:00:00.000 --> 00:00:02.000]  看完節目
[00:00:02.000 --> 00:00:03.400]  我生病了
[00:00:03.400 --> 00:00:05.000]  上星期講完道之後
[00:00:05.000 --> 00:00:07.000]  三天都不能發聲
[00:00:07.000 --> 00:00:08.800]  三天都不能發聲
[00:00:08.800 --> 00:00:10.300]  我覺得最激氣的是
[00:00:10.300 --> 00:00:12.200]  我家中的小朋友
[00:00:12.200 --> 00:00:14.200]  我叫他們幫忙收拾東西
[00:00:14.200 --> 00:00:18.600]  他們就問我「你說甚麼」
[00:00:18.600 --> 00:00:20.600]  真是豈有此理
[00:00:20.600 --> 00:00:22.800]  結果三天都不能發聲
[00:00:22.800 --> 00:00:24.800]  你聽到我的聲音都還未回來
[00:00:24.800 --> 00:00:28.600]  所以剛才說開課
[00:00:28.600 --> 00:00:30.000]  我都未夠膽說
[00:00:30.000 --> 00:00:33.000]  因為我從來未試過三天都不能發聲
[00:00:33.000 --> 00:00:34.000]  發不了聲很慘
[00:00:34.000 --> 00:00:36.000]  我們靠嘴巴吃飯
[00:00:36.000 --> 00:00:39.000]  三天我靜修
[00:00:39.000 --> 00:00:41.000]  所以我都不知道會否好
[00:00:41.000 --> 00:00:43.000]  不知道何時好
[00:00:43.000 --> 00:00:46.000]  所以我想給自己一點空間
[00:00:46.000 --> 00:00:49.000]  聲音可以恢復
[00:00:49.000 --> 00:00:53.000]  所以開課日期和時間和資料
[00:00:53.000 --> 00:00:55.000]  我們都未決定
[00:00:55.000 --> 00:00:57.000]  希望今天講完道之後
[00:00:57.000 --> 00:01:00.000]  叫團會後回去休息一下
[00:01:00.000 --> 00:01:03.000]  希望小朋友乖乖地
[00:01:03.000 --> 00:01:07.000]  等我恢復之後
[00:01:07.000 --> 00:01:08.000]  資料就可以出來
[00:01:08.000 --> 00:01:12.000]  所以我打算今天講道短一點
[00:01:12.000 --> 00:01:14.000]  新年快樂
[00:01:14.000 --> 00:01:16.000]  好 短一點
[00:01:16.000 --> 00:01:18.000]  盡量吧
[00:01:18.000 --> 00:01:21.000]  我們一直說原子智慧
[00:01:21.000 --> 00:01:22.000]  Atomic Wisdom
[00:01:22.000 --> 00:01:25.000]  這是一種結合
[00:01:25.000 --> 00:01:29.000]  我們從一些行為心理學
[00:01:29.000 --> 00:01:30.000]  Behavioral Psychology
[00:01:30.000 --> 00:01:33.000]  給我們一些人性的Insight
[00:01:33.000 --> 00:01:35.000]  我們能夠結合聖經裏面
[00:01:35.000 --> 00:01:39.000]  Proverbs或者智慧文學裏面所講的東西
[00:01:39.000 --> 00:01:41.000]  幫我們搞清楚
[00:01:41.000 --> 00:01:42.000]  首先我們新一年的時候
[00:01:42.000 --> 00:01:44.000]  我們當然會有一點點目標
[00:01:44.000 --> 00:01:47.000]  有一點點新年的立志等等
