
[00:00:00.000 --> 00:00:13.520]  (悲傷的音樂)
[00:00:13.520 --> 00:00:14.520]  如果我說
[00:00:14.520 --> 00:00:18.320]  沒有胃口、頭痛、胃痛、失眠
[00:00:18.320 --> 00:00:20.120]  你會聯想什麼呢?
[00:00:20.120 --> 00:00:21.400]  或者你想都不用想
[00:00:21.400 --> 00:00:22.920]  馬上就有答案了
[00:00:22.920 --> 00:00:25.680]  就是生活壓力
[00:00:25.680 --> 00:00:29.120]  或者你正在這個情況裡面
[00:00:29.120 --> 00:00:31.320]  實在太無奈了
[00:00:31.320 --> 00:00:32.600]  你和我在生活上
[00:00:32.600 --> 00:00:34.640]  難免承受不同的壓力
[00:00:34.640 --> 00:00:38.200]  來自家庭、工作、疾病、經濟
[00:00:38.200 --> 00:00:39.960]  人際關係
[00:00:39.960 --> 00:00:42.920]  有時壓力還一下子四方八面地來
[00:00:42.920 --> 00:00:45.920]  我們真是叫苦連天
[00:00:45.920 --> 00:00:48.120]  沒錯,生活壓力太沉重
[00:00:48.120 --> 00:00:50.480]  是可以弄壞我們的
[00:00:50.480 --> 00:00:51.440]  我們會做出一些
[00:00:51.440 --> 00:00:53.400]  連自己都很不喜歡的事
[00:00:53.400 --> 00:00:56.280]  或者是對別人說話很不客氣
[00:00:56.280 --> 00:00:59.400]  或者是為了一些小事發很大的脾氣
[00:00:59.400 --> 00:01:01.440]  又或者是心情很憂鬱
[00:01:01.440 --> 00:01:04.120]  好像跌落深谷一樣
[00:01:04.120 --> 00:01:06.120]  自然地壓力
[00:01:06.120 --> 00:01:08.880]  是會使我們的眼目離開了神
[00:01:08.880 --> 00:01:13.240]  單單注目在自己的問題上
[00:01:13.240 --> 00:01:16.440]  不如我們稍微停一下
[00:01:16.440 --> 00:01:19.520]  聽一下保羅的一句話
[00:01:19.520 --> 00:01:22.000]  在哥林德號書第一章那裡他說
[00:01:22.000 --> 00:01:25.760]  「我們被壓大重,力不能勝
[00:01:25.760 --> 00:01:30.680]  叫我們不靠自己,只靠神」
[00:01:30.680 --> 00:01:32.000]  我估計我們大部分人
[00:01:32.000 --> 00:01:35.200]  都沒有像保羅那麼淒涼
[00:01:35.200 --> 00:01:36.440]  因為他曾經試過
[00:01:36.440 --> 00:01:39.200]  坐著的船都要快下沉
[00:01:39.200 --> 00:01:42.760]  他又試過被鞭打差不多要死
[00:01:42.760 --> 00:01:45.600]  又試過被一群反對他的人追殺
[00:01:45.600 --> 00:01:47.320]  甚至要躲在籃子裡
[00:01:47.320 --> 00:01:52.320]  深夜被人從城牆那裡跳下來逃命
[00:01:52.320 --> 00:01:53.760]  以上這些情況
[00:01:53.760 --> 00:01:56.440]  都是保羅所說的被壓太重
[00:01:56.440 --> 00:01:58.920]  力不能勝
[00:01:58.920 --> 00:02:01.360]  也是他為福音所承受的
[00:02:01.360 --> 00:02:04.640]  非常沉重的壓力
[00:02:04.640 --> 00:02:08.520]  但是他在這些壓力裡得到的秘訣就是
[00:02:08.520 --> 00:02:13.920]  「叫我不靠自己,只靠神」
[00:02:13.920 --> 00:02:16.440]  即使在面對重重的壓力裡
[00:02:16.440 --> 00:02:18.040]  我們必須要知道
[00:02:18.040 --> 00:02:20.200]  如果我們不小心處理的話
[00:02:20.200 --> 00:02:22.760]  它會傷害我們和人的關係
[00:02:22.760 --> 00:02:25.760]  而且後果可大可小
[00:02:25.760 --> 00:02:28.160]  而在承受沉重的壓力裡
[00:02:28.160 --> 00:02:30.760]  讓我們都像保羅一樣
[00:02:30.760 --> 00:02:34.920]  「不靠自己,只靠神」
[00:02:34.920 --> 00:02:36.840]  我們可以這樣祈禱
[00:02:36.840 --> 00:02:39.760]  「主啊,求祢幫助我們
[00:02:39.760 --> 00:02:45.000]  我很需要從祢而來的智慧和力量」
[00:02:45.000 --> 00:02:48.240]  而當我們看到情況不受我們控制的時候
[00:02:48.240 --> 00:02:51.800]  我們更加要學習堅定相信神
[00:02:51.800 --> 00:02:55.120]  我們要數算祂過去在我們身上的恩典
[00:02:55.120 --> 00:02:56.400]  我們要信得過
[00:02:56.400 --> 00:02:58.920]  在當前這些看起來好像很難
[00:02:58.920 --> 00:03:00.840]  很失敗的情況裡
[00:03:00.840 --> 00:03:03.560]  神會繼續賜下祂的恩典
[00:03:03.560 --> 00:03:06.040]  使我們得到勝利
[00:03:06.040 --> 00:03:07.720]  如果我們這樣做
[00:03:07.720 --> 00:03:12.240]  我們不僅體會到從神而來的智慧和力量
[00:03:12.240 --> 00:03:14.160]  我們也會體會到
[00:03:14.160 --> 00:03:15.800]  原來在壓力裡
[00:03:15.800 --> 00:03:17.480]  我們仍然可以做一個
[00:03:17.480 --> 00:03:20.960]  冷靜面對令人喜愛的人
[00:03:20.960 --> 00:03:25.960]  「我愛你」 詞:陳曦 曲:陳曦
[00:03:25.960 --> 00:03:30.960]  「我愛你」 曲:陳曦
[00:03:30.960 --> 00:03:32.960]  (CC字幕製作:貝爾)
[00:03:32.960 --> 00:03:34.960]  (CC字幕製作:貝爾)

