
[00:00:00.000 --> 00:00:02.000]  讚美你 祈禱奉尊明教
[00:00:03.000 --> 00:00:05.000]  好 今天我們繼續看這個系列
[00:00:05.000 --> 00:00:07.000]  就是看聖經的節期
[00:00:07.000 --> 00:00:09.000]  每逢講到節期的時候
[00:00:09.000 --> 00:00:11.000]  很多時候我們都會想起
[00:00:11.000 --> 00:00:13.000]  跟一些故事
[00:00:13.000 --> 00:00:15.000]  或者歷史的事蹟
[00:00:15.000 --> 00:00:17.000]  或者食物有關
[00:00:17.000 --> 00:00:19.000]  譬如我給你猜猜
[00:00:19.000 --> 00:00:21.000]  或者你想一想
[00:00:21.000 --> 00:00:23.000]  到新年的時候我們華人吃什麼
[00:00:23.000 --> 00:00:27.000]  年糕 沒錯 年糕
[00:00:27.000 --> 00:00:29.000]  或者
[00:00:29.000 --> 00:00:31.000]  蠔豉發菜那些東西
[00:00:31.000 --> 00:00:33.000]  我小時候最怕吃那些
[00:00:33.000 --> 00:00:35.000]  吃一天OK
[00:00:35.000 --> 00:00:37.000]  第二天又吃 第三天又吃
[00:00:37.000 --> 00:00:39.000]  吃到初七 那我就覺得很辛苦
[00:00:39.000 --> 00:00:41.000]  譬如還有什麼節日
[00:00:41.000 --> 00:00:43.000]  跟食物有關
[00:00:43.000 --> 00:00:45.000]  冬至
[00:00:45.000 --> 00:00:47.000]  湯圓
[00:00:47.000 --> 00:00:49.000]  湯圓
[00:00:49.000 --> 00:00:51.000]  還有呢
[00:00:51.000 --> 00:00:53.000]  糯米 還有呢 吃火鍋
[00:00:53.000 --> 00:00:55.000]  吃火鍋
[00:00:55.000 --> 00:00:57.000]  然後還有什麼節日
[00:00:57.000 --> 00:00:59.000]  感恩節呢
[00:00:59.000 --> 00:01:01.000]  是吃火鍋
[00:01:01.000 --> 00:01:03.000]  端午節吃什麼
[00:01:03.000 --> 00:01:05.000]  就不是吃火鍋
[00:01:05.000 --> 00:01:07.000]  我們只會吃火鍋
[00:01:07.000 --> 00:01:09.000]  講到聖經的節日
[00:01:09.000 --> 00:01:11.000]  其實都有很多跟食物有關
[00:01:11.000 --> 00:01:13.000]  譬如我們這次講
[00:01:13.000 --> 00:01:15.000]  預節
[00:01:15.000 --> 00:01:17.000]  預節跟什麼有關
[00:01:17.000 --> 00:01:19.000]  食物
[00:01:19.000 --> 00:01:21.000]  羊我們想到
[00:01:21.000 --> 00:01:23.000]  我們第一樣東西就會想到是羊
[00:01:23.000 --> 00:01:25.000]  事實上聖經裏面
[00:01:25.000 --> 00:01:27.000]  第一次守預節的時候
[00:01:27.000 --> 00:01:29.000]  就是跟羊有關
[00:01:29.000 --> 00:01:31.000]  在出埃及記你記得
[00:01:31.000 --> 00:01:33.000]  當耶和華要降十災
[00:01:33.000 --> 00:01:35.000]  最後那一災
[00:01:35.000 --> 00:01:37.000]  就是
[00:01:37.000 --> 00:01:39.000]  擊殺埃及長子的一災
[00:01:39.000 --> 00:01:41.000]  是上帝的審判
[00:01:41.000 --> 00:01:43.000]  去到這個
[00:01:43.000 --> 00:01:45.000]  所謂的強國
[00:01:45.000 --> 00:01:47.000]  然後以色列人住在埃及裏面
[00:01:47.000 --> 00:01:49.000]  他們是需要被拯救出來
