
[00:00:00.000 --> 00:00:02.000]  多謝各位
[00:00:02.000 --> 00:00:03.200]  跟大家say hi 好嗎
[00:00:03.200 --> 00:00:06.000]  歡迎大家一齊來敬拜
[00:00:06.000 --> 00:00:09.160]  今天我們繼續這個worship的series
[00:00:09.160 --> 00:00:12.560]  我們繼續看看教會的敬拜
[00:00:12.560 --> 00:00:17.240]  由頭到尾聖經到底怎樣去追蹤這個主題
[00:00:17.240 --> 00:00:20.440]  我們說過聖經開始和結終
[00:00:20.440 --> 00:00:23.240]  都告訴我們有一個很重要的命題
[00:00:23.240 --> 00:00:24.240]  就是敬拜
[00:00:24.240 --> 00:00:26.440]  上帝創造我們就是去敬拜
[00:00:26.440 --> 00:00:28.560]  上帝給我們將來也是敬拜
[00:00:28.560 --> 00:00:30.560]  在新天新地也是一個敬拜
[00:00:30.560 --> 00:00:32.560]  我們看過詩篇第八篇
[00:00:32.560 --> 00:00:34.160]  一首敬拜的詩篇
[00:00:34.160 --> 00:00:37.760]  還有我們看過《創世紀》第二章
[00:00:37.760 --> 00:00:38.960]  開頭的時候
[00:00:38.960 --> 00:00:40.160]  上帝創造人的時候
[00:00:40.160 --> 00:00:41.360]  他的心意是什麼呢
[00:00:41.360 --> 00:00:42.560]  就是要我們去敬拜
[00:00:42.560 --> 00:00:44.160]  也看過他的回眸
[00:00:44.160 --> 00:00:47.960]  我們一直追蹤這個聖經的故事的時候
[00:00:47.960 --> 00:00:52.360]  發現以色列人被上帝拯救
[00:00:52.360 --> 00:00:53.560]  離開埃及的時候
[00:00:53.560 --> 00:00:58.360]  他們去到曠野這麼多年
[00:00:58.360 --> 00:01:00.360]  上帝是住在他們中間
[00:01:00.360 --> 00:01:03.760]  讓他們能夠有敬拜的生活
[00:01:03.760 --> 00:01:07.960]  那個住的記號或者住的方式
[00:01:07.960 --> 00:01:09.960]  就是一個回眸的方式
[00:01:09.960 --> 00:01:11.960]  你記得回眸是什麼形狀嗎
[00:01:11.960 --> 00:01:13.960]  長方形的
[00:01:13.960 --> 00:01:15.960]  裡面也有一個
[00:01:15.960 --> 00:01:16.960]  什麼形啊
[00:01:16.960 --> 00:01:18.960]  長方再有一個正方形
[00:01:18.960 --> 00:01:19.960]  沒錯了
[00:01:19.960 --> 00:01:22.960]  其實回眸就是一個帳幕
