
[00:00:00.000 --> 00:00:04.000]  下星期已經是聖誕的主日
[00:00:04.000 --> 00:00:10.000]  雖然這兩年聖誕節快樂的時候比較難出口
[00:00:10.000 --> 00:00:12.000]  因為都很難快樂
[00:00:12.000 --> 00:00:16.000]  雖然我們在中間 特別是實體的
[00:00:16.000 --> 00:00:18.000]  我們都是沒有穿沒有褥
[00:00:18.000 --> 00:00:20.000]  可以坐在這裡
[00:00:20.000 --> 00:00:22.000]  這個都是上帝給我們的恩典
[00:00:22.000 --> 00:00:24.000]  上星期五晚
[00:00:24.000 --> 00:00:26.000]  在我們唐人街的社區那裡
[00:00:26.000 --> 00:00:29.000]  有一個燭光的儀式
[00:00:29.000 --> 00:00:30.000]  是一個紀念
[00:00:30.000 --> 00:00:32.000]  不知道大家有沒有去 有誰有去
[00:00:32.000 --> 00:00:37.000]  如果沒有去 請你去為家庭禱告
[00:00:37.000 --> 00:00:42.000]  為我們城市裡面的不安
[00:00:42.000 --> 00:00:47.000]  還有去搜望一下我們身邊的鄰舍
[00:00:47.000 --> 00:00:50.000]  特別是一些比較軟弱的朋友
[00:00:50.000 --> 00:00:52.000]  特別留意他們
[00:00:52.000 --> 00:00:54.000]  不要躲在我們家裡
[00:00:54.000 --> 00:00:57.000]  同時我們出入都要小心
[00:00:57.000 --> 00:00:59.000]  另外一些在芝加哥以外
[00:00:59.000 --> 00:01:01.000]  我不知道你的情況是怎樣
[00:01:01.000 --> 00:01:04.000]  但願上帝賜給大家平安
[00:01:04.000 --> 00:01:06.000]  馬達科罕第一章第十八節
[00:01:06.000 --> 00:01:09.000]  我們今天看到這段經文
[00:01:09.000 --> 00:01:11.000]  上帝的話語裡面記載
[00:01:11.000 --> 00:01:13.000]  所謂第一個的聖誕
[00:01:13.000 --> 00:01:14.000]  第一章十八節
[00:01:14.000 --> 00:01:16.000]  耶穌基督的降生
[00:01:16.000 --> 00:01:18.000]  這個故事是這樣的
