
[00:00:00.000 --> 00:00:06.640]   Good morning, everyone.
[00:00:06.640 --> 00:00:13.840]   It's a frightening privilege to be here with you guys today.
[00:00:13.840 --> 00:00:18.040]   Before I begin, let's open in a word of prayer.
[00:00:18.040 --> 00:00:25.440]   Would you bow your heads with me as we pray?
[00:00:25.440 --> 00:00:31.880]   Heavenly Father, you have been so, so good to us.
[00:00:31.880 --> 00:00:38.040]   And sometimes, Lord, these words come out of us a little contrite.
[00:00:38.040 --> 00:00:42.040]   But God, you are the God, the creator of heaven and earth.
[00:00:42.040 --> 00:00:43.840]   From your word, there was light.
[00:00:43.840 --> 00:00:47.840]   And from your word, there was life in us.
[00:00:47.840 --> 00:00:52.320]   And so we come before you by the blood of your son, Jesus.
[00:00:52.320 --> 00:00:57.400]   Come humbly before your cross and ask that you would hear us, that you would know us
[00:00:57.400 --> 00:01:05.960]   and see us, that you would give us hearts that are softened to you.
[00:01:05.960 --> 00:01:14.120]   Ask that you would use this moment as we proceed to open our eyes to your word, to help us
[00:01:14.120 --> 00:01:17.120]   hear what it is that you have to say to us.
[00:01:17.120 --> 00:01:25.440]   For myself, Lord, I ask that you would guide my words, that you would help me speak good,
[00:01:25.440 --> 00:01:31.480]   sound doctrine, that you would protect the ears of my brothers and sisters from anything
[00:01:31.480 --> 00:01:35.680]   I say that is not of you.
[00:01:35.680 --> 00:01:36.680]   So we thank you, Lord.
[00:01:36.680 --> 00:01:39.680]   We praise you in Jesus' name.
[00:01:39.680 --> 00:01:41.680]   Amen.
[00:01:41.680 --> 00:01:49.880]   So for those of you who weren't here the last time I spoke, we are in the book of James,
[00:01:49.880 --> 00:01:55.960]   which is a letter from James to the Jewish Christians of the dispersion, which are the
[00:01:55.960 --> 00:02:01.640]   Jewish Christians scattered away from their homeland.
[00:02:01.640 --> 00:02:08.840]   And what we find in James are instructions, instructions given to these Jewish Christians
[00:02:08.840 --> 00:02:11.840]   on how they should be living.
[00:02:11.840 --> 00:02:18.240]   They're given so that James' brothers and sisters would live wise lives, lives that
[00:02:18.240 --> 00:02:24.100]   are reflective of the gospel that they have received.
[00:02:24.100 --> 00:02:33.000]   And what we find in James is that wisdom is not just knowing a lot about stuff, a lot
[00:02:33.000 --> 00:02:40.480]   about stuff that's about life, but rather wisdom must also include practical application
[00:02:40.480 --> 00:02:46.900]   of what we know about our God into every area of our lives.
[00:02:46.900 --> 00:02:50.280]   This is a theme that will come up again and again.
[00:02:50.280 --> 00:02:59.480]   James writes with this idea in mind, that followers of Christ can't just be hearers.
[00:02:59.480 --> 00:03:02.560]   No, not just hearers.
[00:03:02.560 --> 00:03:06.400]   They must also be doers of the word.
[00:03:06.400 --> 00:03:12.320]   So if you have your Bibles with you, I ask that you would open with me to the book of
[00:03:12.320 --> 00:03:15.000]   James.
[00:03:15.000 --> 00:03:18.200]   The passage is also going to be on the screen.
[00:03:18.200 --> 00:03:20.560]   I'll flip through the slides for you.
[00:03:20.560 --> 00:03:28.680]   Today we will be reading from James chapter 2, verses 1 to 13.
[00:03:28.680 --> 00:03:38.960]   Again, that is James chapter 2, verses 1 to 13.
[00:03:38.960 --> 00:03:45.960]   Let's read.
[00:03:45.960 --> 00:03:53.960]   My brothers and sisters, believers in our glorious Lord Jesus Christ must not show favoritism.
[00:03:53.960 --> 00:03:59.120]   Suppose a man comes into your meeting wearing a gold ring and fine clothes and a poor man
[00:03:59.120 --> 00:04:02.620]   in filthy old clothes also comes in.
[00:04:02.620 --> 00:04:07.280]   If you show special attention to the man wearing fine clothes and say, "Here's a good seat
[00:04:07.280 --> 00:04:13.440]   for you," but say to the poor man, "You stand there or sit on the floor by my feet," have
[00:04:13.440 --> 00:04:17.880]   you not discriminated amongst yourselves and become judges with evil thoughts?
[00:04:17.880 --> 00:04:23.760]   Listen, my dear brothers and sisters, has not God chosen those who are poor in the eyes
[00:04:23.760 --> 00:04:28.480]   of the world to be rich in faith and inherit the kingdom He promised to those who love
[00:04:28.480 --> 00:04:29.560]   Him?
[00:04:29.560 --> 00:04:31.760]   But you have dishonored the poor.
[00:04:31.760 --> 00:04:33.840]   Is it not the rich who are exploiting you?
[00:04:33.840 --> 00:04:36.640]   Are they not the ones who are dragging you into court?
[00:04:36.640 --> 00:04:41.520]   Are they not the ones who are blaspheming the noble name of Him to whom you belong?
[00:04:41.520 --> 00:04:46.640]   If you really keep the royal law found in Scripture, love your neighbor as yourself,
[00:04:46.640 --> 00:04:50.120]   you are doing right.
[00:04:50.120 --> 00:04:55.160]   But if you show favoritism, you sin and are convicted by the law as lawbreakers.
[00:04:55.160 --> 00:05:00.720]   For whoever keeps the whole law and yet stumbles at just one point is guilty of breaking all
[00:05:00.720 --> 00:05:01.800]   of it.
[00:05:01.800 --> 00:05:07.120]   For he who said, "You shall not commit adultery," also said, "You shall not murder."
[00:05:07.120 --> 00:05:11.760]   If you do not commit adultery but do commit murder, you have become a lawbreaker.
[00:05:11.760 --> 00:05:16.440]   Speak and act as those who are going to be judged by the law that gives freedom because
