
[00:00:00.000 --> 00:00:02.800]  我想和各位分享一下
[00:00:02.800 --> 00:00:06.600]  因為我們要有上帝的華語
[00:00:06.600 --> 00:00:08.200]  我們的生命教會
[00:00:08.200 --> 00:00:12.280]  神的子民才可以被建立
[00:00:12.280 --> 00:00:14.440]  我們作為牧者 作為領袖
[00:00:14.440 --> 00:00:18.280]  我們希望能夠更加明白
[00:00:18.280 --> 00:00:21.600]  更加容易掌握到聖經裡面的說話
[00:00:21.600 --> 00:00:27.720]  我們想由《創世紀》第一章試一試
[00:00:27.720 --> 00:00:29.920]  如果有什麼問題
[00:00:29.920 --> 00:00:32.640]  稍後可以再討論
[00:00:32.640 --> 00:00:36.960]  這個分享大概只有20-25分鐘
[00:00:36.960 --> 00:00:39.720]  我們不會耽誤大家太多時間
[00:00:39.720 --> 00:00:42.640]  因為知道大家侍奉都很忙
[00:00:42.640 --> 00:00:46.480]  主要我們想分享一些工具
[00:00:46.480 --> 00:00:48.800]  一些進路 一些方法
[00:00:48.800 --> 00:00:50.600]  以致大家看聖經的時候
[00:00:50.600 --> 00:00:53.600]  能夠幫助自己去明白
[00:00:53.600 --> 00:00:55.680]  並且幫助到我們的會眾
[00:00:55.680 --> 00:00:58.040]  我們的組員去明白
[00:00:58.040 --> 00:01:00.960]  就用《創世紀》第一章試一試
[00:01:00.960 --> 00:01:04.000]  我經常叫弟兄姊妹去想像一下
[00:01:04.000 --> 00:01:07.320]  其實我們看聖經是好像去旅遊一樣
[00:01:07.320 --> 00:01:09.640]  其實這是一個進路
[00:01:09.640 --> 00:01:12.160]  為什麼看聖經好像去旅遊一樣
[00:01:12.160 --> 00:01:13.840]  如果你想一下去旅遊的話
[00:01:13.840 --> 00:01:16.360]  特別是去一個陌生的地方旅遊
[00:01:16.360 --> 00:01:18.720]  無論你是去另一個國家
[00:01:18.720 --> 00:01:20.480]  另一個城市
[00:01:20.480 --> 00:01:21.880]  那裡的風土人情
[00:01:21.880 --> 00:01:26.360]  那裡的文化是不同你本地的文化
[00:01:26.360 --> 00:01:28.240]  語言也可能是不同的
