
[00:00:00.000 --> 00:00:02.000]  我們想要選擇信心
[00:00:30.000 --> 00:00:40.900]  What we should not be thinking is just our program, our strategy, but your identity is who you are
[00:00:40.900 --> 00:00:43.700]  今年我們教會的主題是Next
[00:00:43.700 --> 00:00:46.700]  至此我們慶祝教會十周年之際
[00:00:46.700 --> 00:00:51.200]  我們正在想神在下一個階段要護照我們做什麼呢
[00:00:51.200 --> 00:00:54.300]  但在我們要開始下一步該做什麼之前
[00:00:54.300 --> 00:00:58.900]  首先我們需要提升的不是我們的事工項目或者是策略
[00:00:58.900 --> 00:01:00.400]  而是我們的身份
[00:01:00.400 --> 00:01:28.700]  今天呢我想用兩段經文
[00:01:28.700 --> 00:01:31.200]  帶領我們看見Next的方向
[00:01:31.200 --> 00:01:35.200]  這兩段經文在創世紀的第十二章和第二十二章
[00:01:35.200 --> 00:01:39.600]  這兩段經文就像亞伯拉罕整個大故事的兩個書檔一樣
[00:01:58.700 --> 00:02:25.200]  在今天不管你是不是宗教人士
[00:02:25.200 --> 00:02:28.600]  活在這個世界上都很難對亞伯拉罕一無所知
[00:02:28.600 --> 00:02:33.800]  亞伯拉罕被猶太教基督教和伊斯蘭教共同尊崇
[00:02:33.800 --> 00:02:36.900]  而這三大一神論的信仰合起來
[00:02:36.900 --> 00:02:39.800]  他在全球擁有超過四十億的信徒
[00:02:39.800 --> 00:02:52.100]  所以在當我們打開亞伯拉罕的故事時
[00:02:52.100 --> 00:02:56.000]  我們其實是在閱讀世界上最有影響力的故事之一
[00:02:58.600 --> 00:03:14.300]  所以我們第一點最重要的信息是
[00:03:14.300 --> 00:03:17.200]  我們要信靠這位宣教的上帝
[00:03:28.600 --> 00:03:33.800]  在第一章一直到第十一章
[00:03:33.800 --> 00:03:38.200]  第十一到十一章就像整個音樂作品的開端
[00:03:38.200 --> 00:03:41.100]  在第一章你可以記得
[00:03:41.100 --> 00:03:42.800]  上帝創造了一個好世界
[00:03:42.800 --> 00:03:46.000]  祂祝福了整個人類
[00:03:46.000 --> 00:03:48.600]  但是在第三章發生了什麼?
[00:03:48.600 --> 00:03:53.800]  信徒搞砸了整個世界
[00:03:53.800 --> 00:04:08.400]  創世紀第十二章並不是突然出現的
[00:04:08.400 --> 00:04:12.300]  它是介在創世紀第一章到第十一章之後的
[00:04:12.300 --> 00:04:13.800]  在創世紀第一章
[00:04:13.800 --> 00:04:15.800]  神創造了一個美好的世界
[00:04:15.800 --> 00:04:17.300]  並賜福給人類
[00:04:17.300 --> 00:04:19.400]  但從創世紀第三章開始
[00:04:19.400 --> 00:04:23.800]  罪不斷蔓延,有悖逆,有暴力,有驕傲
[00:04:23.800 --> 00:04:26.600]  最後到了巴別塔,列國被分散
[00:04:26.600 --> 00:04:30.000]  人類試圖離開神,為自己立名
[00:04:30.000 --> 00:04:50.000]  現在讓我讀讀第十二章的文字
[00:04:50.000 --> 00:04:54.200]  我們來讀一下這一節
[00:04:54.200 --> 00:05:22.800]  創世紀第十二章第十一節
[00:05:22.800 --> 00:05:25.200]  亞和華對亞伯拉罕說
[00:05:25.200 --> 00:05:31.000]  你要離開本地本族父家
[00:05:31.000 --> 00:05:34.400]  創世紀第十二章不只是亞伯拉罕故事的開始
