
[00:00:00.000 --> 00:00:03.160]  歡迎各位又再回來我們智慧廚房
[00:00:03.160 --> 00:00:04.540]  我們邊煮邊講
[00:00:04.540 --> 00:00:06.560]  最重要的其實不是煮什麼
[00:00:06.560 --> 00:00:08.180]  而是我們講什麼
[00:00:08.180 --> 00:00:09.340]  所以今天呢
[00:00:09.340 --> 00:00:11.100]  在還沒講煮什麼之前
[00:00:11.100 --> 00:00:12.980]  我們先看看聖經
[00:00:12.980 --> 00:00:16.840]  因為最近那兩集我們在講《雅各書》第一章和第二章
[00:00:16.840 --> 00:00:18.840]  這次應該是第三章了,是不是?
[00:00:18.840 --> 00:00:23.720]  他說:我的弟兄們,你們不應該有太多人作教師
[00:00:23.720 --> 00:00:25.720]  因為知道我們作教師的
[00:00:25.720 --> 00:00:28.480]  將受更嚴厲的審判
[00:00:28.480 --> 00:00:30.660]  我們在許多事上都有過錯
[00:00:30.660 --> 00:00:33.560]  假如有人在言語上沒有過錯
[00:00:33.560 --> 00:00:35.400]  他就是完全的人
[00:00:35.400 --> 00:00:37.400]  也能夠控制全神
[00:00:37.400 --> 00:00:40.260]  這裡第三章就轉了另一個 topic(話題)了
[00:00:40.260 --> 00:00:42.260]  在講我們怎麼講話
[00:00:42.260 --> 00:00:44.740]  講到不要太多人做教師
[00:00:44.740 --> 00:00:45.440]  為什麼呢?
[00:00:45.440 --> 00:00:47.140]  因為在當時的社會裡面
[00:00:47.140 --> 00:00:48.480]  教師是很重要的
[00:00:48.480 --> 00:00:50.640]  教師只是少數的人
[00:00:50.640 --> 00:00:53.580]  能夠懂得寫、懂得讀、懂得教
[00:00:53.580 --> 00:00:55.280]  所以當時教會
[00:00:55.280 --> 00:00:57.040]  很尊重那些教師
[00:00:57.040 --> 00:01:00.180]  其實教師就是當時教會領袖、長老或者執事
[00:01:00.180 --> 00:01:01.720]  就是教會的領袖
[00:01:01.720 --> 00:01:02.620]  他在這裡講
[00:01:02.620 --> 00:01:04.320]  就說不要搶著做
[00:01:04.320 --> 00:01:04.980]  為什麼呢?
[00:01:04.980 --> 00:01:07.420]  因為到將來上帝要審判我們
[00:01:07.420 --> 00:01:08.960]  查問我們的時候
[00:01:08.960 --> 00:01:11.120]  就會更加嚴厲
[00:01:11.120 --> 00:01:12.900]  就會 strict(嚴格)很多的
[00:01:12.900 --> 00:01:14.260]  這裡為什麼呢?
[00:01:14.260 --> 00:01:15.440]  他就跳到第二節了
[00:01:15.440 --> 00:01:16.440]  最自然就是
[00:01:16.440 --> 00:01:18.440]  為什麼不要搶著做教師呢?
[00:01:18.440 --> 00:01:19.800]  因為我們呢
[00:01:19.800 --> 00:01:23.180]  在言語上我們每個人都會有過錯的
[00:01:23.480 --> 00:01:27.880]  有誰在言語上沒有說過錯的話呢?
[00:01:27.880 --> 00:01:30.260]  我們經常說病從口入
[00:01:30.260 --> 00:01:31.560]  禍從口出
[00:01:31.560 --> 00:01:33.420]  所以呢
[00:01:33.420 --> 00:01:34.220]  我們要想一下
[00:01:34.220 --> 00:01:38.760]  當時為什麼雅各會警告人們說這些話呢?
[00:01:38.760 --> 00:01:41.160]  或者警告當時的教會
[00:01:41.160 --> 00:01:42.700]  不要搶著做領袖
[00:01:42.700 --> 00:01:44.240]  不要搶著做教師
[00:01:44.240 --> 00:01:47.100]  這個我們邊主邊講的時候
[00:01:47.100 --> 00:01:48.340]  我們就會解釋一下
[00:01:48.340 --> 00:01:49.040]  想一想
[00:01:49.040 --> 00:02:03.880]  [音樂]
[00:02:03.880 --> 00:02:05.680]  今天會煮什麼呢?
[00:02:05.680 --> 00:02:07.820]  就是跟舌頭有關的東西了
[00:02:07.820 --> 00:02:09.420]  會不會是牛舌呢?
[00:02:09.420 --> 00:02:10.820]  或者豬舌呢?
[00:02:10.820 --> 00:02:13.560]  不知道大家是不是喜歡吃內臟的人
[00:02:13.560 --> 00:02:15.360]  有很多人很討厭吃內臟的
[00:02:15.360 --> 00:02:16.300]  不好意思
[00:02:16.300 --> 00:02:18.340]  今集我們要跟內臟有關
[00:02:18.340 --> 00:02:19.700]  因為講到舌頭
[00:02:19.700 --> 00:02:20.960]  所以今次我們煮什麼呢?
[00:02:20.960 --> 00:02:23.040]  我們就煮鴨舌
[00:02:23.040 --> 00:02:24.500]  煮鴨舌
[00:02:24.500 --> 00:02:26.080]  鴨舌不知道大家喜不喜歡吃呢?
[00:02:26.080 --> 00:02:26.880]  如果喜歡的話
[00:02:26.880 --> 00:02:27.800]  你在 comment(留言)那裡說
[00:02:27.800 --> 00:02:28.840]  喂,我很喜歡吃
[00:02:28.840 --> 00:02:30.020]  如果你不喜歡吃的話
[00:02:30.020 --> 00:02:31.180]  你給它 thumbs down(下降)
[00:02:31.180 --> 00:02:32.420]  哇,今次不行
[00:02:32.420 --> 00:02:34.080]  但是我們迫不得已了
[00:02:34.080 --> 00:02:35.480]  因為經文呢
[00:02:35.480 --> 00:02:36.480]  講到舌頭
[00:02:36.480 --> 00:02:38.680]  我們一定要煮舌頭有關的東西
[00:02:38.680 --> 00:02:41.420]  那麼買了一包新鮮的鴨舌
[00:02:41.420 --> 00:02:43.220]  10個2號3號
[00:02:43.220 --> 00:02:44.420]  我還沒買過這些東西
[00:02:44.420 --> 00:02:46.200]  覺得真的很貴
[00:02:46.200 --> 00:02:47.000]  不過無論如何
[00:02:47.000 --> 00:02:49.800]  今天我們要做滷水鴨舌
[00:02:49.800 --> 00:02:51.840]  講到鴨舌的時候
[00:02:51.840 --> 00:02:53.800]  我在 research(研究)裡面告訴我
[00:02:53.800 --> 00:02:55.500]  原來有很多很多的做法
[00:02:55.500 --> 00:02:57.140]  可以是椒鹽
[00:02:57.140 --> 00:02:58.340]  滷水
[00:02:58.340 --> 00:03:00.140]  可以是花雕酒
[00:03:00.140 --> 00:03:01.780]  可以是啤酒鴨舌
[00:03:01.780 --> 00:03:03.520]  可以是玫瑰露鴨舌
[00:03:03.520 --> 00:03:04.920]  可以是醬包
[00:03:04.920 --> 00:03:06.680]  還是簡單的鴨舌呢?
[00:03:06.680 --> 00:03:09.180]  原來有很多很多不同的做法
[00:03:09.180 --> 00:03:12.220]  那麼今次我們就做滷水鴨舌了
[00:03:12.220 --> 00:03:13.420]  首先要鴨舌
[00:03:13.420 --> 00:03:14.820]  我們大概不需要多
[00:03:14.820 --> 00:03:15.860]  300克就夠了
[00:03:15.860 --> 00:03:17.300]  大概半斤左右
[00:03:17.300 --> 00:03:20.800]  另外我們就需要一些老抽了
[00:03:20.800 --> 00:03:24.200]  我們準備了3湯匙的老抽
[00:03:24.200 --> 00:03:25.100]  然後呢
