
[00:00:00.000 --> 00:00:06.000]  [音樂]
[00:00:06.000 --> 00:00:09.000]  今次我再繼續來和大家探討一下
[00:00:09.000 --> 00:00:13.000]  藥室如何關心酒精和腺脹
[00:00:13.000 --> 00:00:18.000]  藥室是非常細心留意到酒精和腺脹的表情
[00:00:18.000 --> 00:00:21.000]  於是就主動用行動來關心
[00:00:21.000 --> 00:00:23.000]  問候一下酒精和腺脹
[00:00:23.000 --> 00:00:26.000]  結果酒精和腺脹很放心
[00:00:26.000 --> 00:00:29.000]  將自己的難題都和藥室分享
[00:00:29.000 --> 00:00:33.000]  當時藥室和酒精和腺脹最大的差別
[00:00:33.000 --> 00:00:35.000]  除了文化和語言之外
[00:00:35.000 --> 00:00:39.000]  其實最大的差異就在信仰方面
[00:00:39.000 --> 00:00:42.000]  和藥室同在的是以色列的神
[00:00:42.000 --> 00:00:47.000]  而酒精和腺脹所信的是埃及的日神
[00:00:47.000 --> 00:00:53.000]  當時要酒精和腺脹完全接受藥室的想法和提議
[00:00:53.000 --> 00:00:58.000]  又或者接受藥室為他們解夢並不是一件容易的事
[00:00:58.000 --> 00:01:01.000]  加上大家要明白的是埃及人的文化
[00:01:01.000 --> 00:01:07.000]  埃及人認為夢是埃及人的神向著埃及人預告
[00:01:07.000 --> 00:01:09.000]  將來必定要發生的事
[00:01:09.000 --> 00:01:14.000]  所以酒精和腺脹極想有人為他們解夢
[00:01:14.000 --> 00:01:16.000]  因為他們很相信
[00:01:16.000 --> 00:01:20.000]  亦很想知道將要發生甚麼事
[00:01:20.000 --> 00:01:23.000]  尤其在監獄裡的日子
[00:01:23.000 --> 00:01:27.000]  對他們當時來說是毫無安全感
[00:01:27.000 --> 00:01:31.000]  對他們對將來來說亦毫無盼望
[00:01:31.000 --> 00:01:34.000]  在這種情況下他們更加想知道
[00:01:34.000 --> 00:01:36.000]  夢見究竟代表甚麼
[00:01:36.000 --> 00:01:39.000]  將要又是發生甚麼事
[00:01:39.000 --> 00:01:41.000]  在經文的九道第十一節
[00:01:41.000 --> 00:01:47.000]  那裡說到酒精夢見在自己面前有一棵葡萄樹
[00:01:47.000 --> 00:01:50.000]  在樹上有三根枝子
[00:01:50.000 --> 00:01:53.000]  好像發芽了,開了花
[00:01:53.000 --> 00:01:56.000]  而上頭的葡萄都已經成熟
[00:01:56.000 --> 00:01:59.000]  當時黃的杯在酒精的手裡
[00:01:59.000 --> 00:02:04.000]  於是酒精就將葡萄握在黃的杯子裡
[00:02:04.000 --> 00:02:07.000]  還將杯子遞在黃的手中
[00:02:07.000 --> 00:02:10.000]  這就是酒精所夢見的事
[00:02:10.000 --> 00:02:13.000]  究竟夢見的是預告甚麼呢?
[00:02:13.000 --> 00:02:16.000]  再看十二道十三節
[00:02:16.000 --> 00:02:20.000]  約瑟替酒精解夢
[00:02:20.000 --> 00:02:25.000]  約瑟解釋那三根枝子其實代表了三天的時間
[00:02:25.000 --> 00:02:29.000]  原來三天之內黃會讓酒精出監
[00:02:29.000 --> 00:02:31.000]  而且酒精還可以復職
[00:02:31.000 --> 00:02:35.000]  為黃再次製酒和試酒
[00:02:35.000 --> 00:02:37.000]  再看十四道十五節
[00:02:37.000 --> 00:02:40.000]  那裡說到約瑟解夢後
[00:02:40.000 --> 00:02:45.000]  向酒精求紀念和試因
[00:02:45.000 --> 00:02:49.000]  既然約瑟相信酒精三天之內可以復職
[00:02:49.000 --> 00:02:52.000]  約瑟就很希望酒精能夠為約瑟
[00:02:52.000 --> 00:02:55.000]  向埃及王求情
[00:02:55.000 --> 00:02:58.000]  讓約瑟可以早些防監
[00:02:58.000 --> 00:03:02.000]  不過為何約瑟還要將自己的身世
[00:03:02.000 --> 00:03:06.000]  和不幸的遭遇都向酒精分享呢?
[00:03:06.000 --> 00:03:11.000]  約瑟當時分享自己的身世和不幸的遭遇
[00:03:11.000 --> 00:03:15.000]  目的是希望酒精能紀念他
[00:03:15.000 --> 00:03:19.000]  這樣的話約瑟就可以透過酒精
[00:03:19.000 --> 00:03:23.000]  在黃的眼前蒙恩
[00:03:23.000 --> 00:03:27.000]  我估計約瑟當時將自己的遭遇
[00:03:27.000 --> 00:03:31.000]  向酒精分享還有一個原因
[00:03:31.000 --> 00:03:37.000]  他相信和很想加深酒精對自己的印象
[00:03:37.000 --> 00:03:40.000]  這樣酒精就可以紀念他
[00:03:40.000 --> 00:03:45.000]  於是約瑟在酒精面前強調自己是一個希伯來人
[00:03:45.000 --> 00:03:48.000]  因為被拐賣到埃及當奴隸
[00:03:48.000 --> 00:03:50.000]  又被主母誣告
[00:03:50.000 --> 00:03:52.000]  又被主人囚禁
[00:03:52.000 --> 00:03:55.000]  再看16-17節
[00:03:55.000 --> 00:03:58.000]  是善長所發的夢
[00:03:58.000 --> 00:04:02.000]  善長見到約瑟解酒精的夢解得這麼好
[00:04:02.000 --> 00:04:06.000]  於是就讓約瑟為他解夢
[00:04:06.000 --> 00:04:11.000]  善長當時夢見自己頭頂上有三籃白餅
[00:04:11.000 --> 00:04:13.000]  而籃子的裏面
[00:04:13.000 --> 00:04:16.000]  還有法老王敲各樣的食物
[00:04:16.000 --> 00:04:18.000]  還有飛鳥來吃
[00:04:18.000 --> 00:04:21.000]  在他頭上籃子裏面的食物
[00:04:21.000 --> 00:04:23.000]  大家有否留意
[00:04:23.000 --> 00:04:29.000]  善長肯放心讓約瑟解夢其實是有原因的
[00:04:29.000 --> 00:04:32.000]  善長認為約瑟解夢解得好
[00:04:32.000 --> 00:04:35.000]  因為酒精有好的結局
[00:04:35.000 --> 00:04:37.000]  可以在三天之內出獄
[00:04:37.000 --> 00:04:39.000]  並且可以復職
[00:04:39.000 --> 00:04:42.000]  於是就加強了善長的信心
