
[00:00:00.000 --> 00:00:03.640]  大家好 各位馬年快樂
[00:00:03.640 --> 00:00:07.040]  先拜一拜年 今天是年廿幾嗎
[00:00:07.040 --> 00:00:09.900]  28 是吧
[00:00:09.900 --> 00:00:11.900]  28 是吧
[00:00:11.900 --> 00:00:13.900]  糟了 我弄錯了
[00:00:13.900 --> 00:00:15.900]  我知道今年沒有年三十的
[00:00:15.900 --> 00:00:19.900]  所以星期二是初一
[00:00:19.900 --> 00:00:21.900]  大家是不是放假
[00:00:21.900 --> 00:00:23.900]  真的放假
[00:00:23.900 --> 00:00:25.900]  美國來的 請假放假
[00:00:25.900 --> 00:00:27.900]  你掌聲給我 請假放假
[00:00:27.900 --> 00:00:29.900]  自己放自己假
[00:00:29.900 --> 00:00:31.900]  如果你是馬年的話
[00:00:31.900 --> 00:00:33.900]  誰屬馬年的
[00:00:33.900 --> 00:00:35.900]  誰屬馬年的
[00:00:35.900 --> 00:00:37.900]  有哦 屬馬年的
[00:00:37.900 --> 00:00:39.900]  我們特別恭喜你
[00:00:39.900 --> 00:00:41.900]  馬年快樂
[00:00:41.900 --> 00:00:43.900]  我和弟兄姊妹聊天的時候
[00:00:43.900 --> 00:00:45.900]  我發現年輕人不會背十二生肖
[00:00:45.900 --> 00:00:47.900]  有誰會背十二生肖的
[00:00:47.900 --> 00:00:49.900]  有誰會背
[00:00:49.900 --> 00:00:51.900]  這麼少人
[00:00:51.900 --> 00:00:53.900]  下一年是什麼
[00:00:53.900 --> 00:00:55.900]  馬年之後是什麼
[00:00:55.900 --> 00:00:57.900]  怎麼數
[00:00:57.900 --> 00:00:59.900]  有誰不會數十二生肖的
[00:00:59.900 --> 00:01:01.900]  這麼多
[00:01:01.900 --> 00:01:03.900]  那些年輕人
[00:01:03.900 --> 00:01:05.900]  很容易
[00:01:05.900 --> 00:01:07.900]  鼠牛虎兔龍蛇馬羊猴雞狗豬
[00:01:07.900 --> 00:01:13.900]  鼠牛虎兔龍蛇馬羊猴雞狗豬
[00:01:13.900 --> 00:01:15.900]  很容易 你單字背
[00:01:15.900 --> 00:01:17.900]  好像
[00:01:17.900 --> 00:01:19.900]  創出利民生 殊士得殺王
[00:01:19.900 --> 00:01:21.900]  舊約目錄
[00:01:21.900 --> 00:01:23.900]  都是這樣背的 怎麼會不會背
[00:01:23.900 --> 00:01:25.900]  請你去華埠廣場轉一圈
[00:01:25.900 --> 00:01:29.900]  沒理由不認識的
[00:01:29.900 --> 00:01:31.900]  你是華人
[00:01:31.900 --> 00:01:33.900]  說到馬年
[00:01:33.900 --> 00:01:35.900]  馬就是速度和成功
[00:01:35.900 --> 00:01:37.900]  和那種衝勁
[00:01:37.900 --> 00:01:39.900]  我們希望新一年
[00:01:39.900 --> 00:01:41.900]  都是盼望有些突破
[00:01:41.900 --> 00:01:43.900]  個個都是事事如意
[00:01:43.900 --> 00:01:45.900]  特別我們新一年
[00:01:45.900 --> 00:01:47.900]  新的馬年
[00:01:47.900 --> 00:01:49.900]  我們有很多好的消息
[00:01:49.900 --> 00:01:51.900]  我們非常有盼望
[00:01:51.900 --> 00:01:53.900]  例如
[00:01:53.900 --> 00:01:55.900]  星期六Chimay會去多倫多參賽
[00:01:55.900 --> 00:01:59.900]  卡拉OK大賽
[00:01:59.900 --> 00:02:01.900]  我們希望他馬上成功
[00:02:01.900 --> 00:02:03.900]  希望他馬上成功
[00:02:03.900 --> 00:02:05.900]  上個星期
[00:02:05.900 --> 00:02:07.900]  我去了一個教會
[00:02:07.900 --> 00:02:09.900]  有一個小的年宵
[00:02:09.900 --> 00:02:11.900]  和團體一起去
[00:02:11.900 --> 00:02:13.900]  他們其中一個攤位寫揮春
[00:02:13.900 --> 00:02:15.900]  寫什麼呢
[00:02:15.900 --> 00:02:17.900]  找來找去寫什麼
[00:02:17.900 --> 00:02:19.900]  有人說寫成會
[00:02:19.900 --> 00:02:21.900]  成會搭馬
[00:02:21.900 --> 00:02:23.900]  好嗎
[00:02:23.900 --> 00:02:25.900]  萬馬奔騰
[00:02:25.900 --> 00:02:27.900]  成會搭馬
[00:02:27.900 --> 00:02:29.900]  我寫的那些字
[00:02:29.900 --> 00:02:31.900]  很噁心
[00:02:31.900 --> 00:02:33.900]  美的那些
[00:02:33.900 --> 00:02:35.900]  藝人寫的我懶得放上來
[00:02:35.900 --> 00:02:37.900]  左邊有人叫我寫
[00:02:37.900 --> 00:02:39.900]  馬上有錢
[00:02:39.900 --> 00:02:41.900]  Percy
[00:02:41.900 --> 00:02:43.900]  幫我作了一個花名
[00:02:43.900 --> 00:02:45.900]  馬上就是Mark Sir
[00:02:45.900 --> 00:02:47.900]  Mark Sir有錢
[00:02:47.900 --> 00:02:49.900]  Mark Sir有錢
[00:02:49.900 --> 00:02:51.900]  太好了
[00:02:51.900 --> 00:02:53.900]  因為新年的緣故
[00:02:53.900 --> 00:02:55.900]  我也選了一節經文
[00:02:55.900 --> 00:02:57.900]  和馬有關
[00:02:57.900 --> 00:02:59.900]  聖經裡面提到很多馬
[00:02:59.900 --> 00:03:01.900]  除了搭馬之外
[00:03:01.900 --> 00:03:03.900]  這段聖經
[00:03:03.900 --> 00:03:05.900]  是來自啟示錄
[00:03:05.900 --> 00:03:07.900]  啟示錄第十九章提到一隻馬
[00:03:07.900 --> 00:03:09.900]  馬上有一個君王
[00:03:09.900 --> 00:03:11.900]  我們不妨用經文
[00:03:11.900 --> 00:03:13.900]  來思想一下
[00:03:13.900 --> 00:03:15.900]  到底馬廉裡面有什麼值得我們反省
[00:03:15.900 --> 00:03:17.900]  特別是生命的方向
[00:03:17.900 --> 00:03:19.900]  生命的節奏等等
