
[00:00:00.000 --> 00:00:04.680]  各位好 我們現在講啟示錄和天啟文學
[00:00:04.680 --> 00:00:08.760]  雖然我們不是看啟示錄
[00:00:08.760 --> 00:00:12.480]  但這兩次我們是做一個延遲
[00:00:12.480 --> 00:00:17.080]  做一點擾導 因為我們需要照顧一些概念
[00:00:17.080 --> 00:00:20.480]  或者講到末世的時候
[00:00:20.480 --> 00:00:23.160]  一些中末論的經文
[00:00:23.160 --> 00:00:25.480]  所以我們上一次和這一次
[00:00:25.480 --> 00:00:29.080]  我們都會處理一些在啟示錄以外的經文
[00:00:29.080 --> 00:00:31.080]  但和啟示錄是非常有關
[00:00:31.080 --> 00:00:34.680]  今天我們要處理一段比較難的經文
[00:00:34.680 --> 00:00:37.640]  叫做《哥格的預言》
[00:00:37.640 --> 00:00:40.720]  在以西傑書38和39章
[00:00:40.720 --> 00:00:42.920]  講起這一段聖經
[00:00:42.920 --> 00:00:44.920]  相信大家比較陌生
[00:00:44.920 --> 00:00:47.120]  所以我們今天試一下用腦
[00:00:47.120 --> 00:00:50.640]  想一下如何去理解一些這樣的經文
[00:00:50.640 --> 00:00:54.280]  有時候聖經有很多很淺白的東西
[00:00:54.280 --> 00:00:56.280]  三歲小孩都看得明白
[00:00:56.280 --> 00:00:58.280]  John Fusick先過都會明白
[00:00:58.280 --> 00:01:00.680]  但也有一些比較深一點
[00:01:00.680 --> 00:01:02.960]  比較困難一點 棘手一點
[00:01:02.960 --> 00:01:06.280]  這一段的聖經是其中一段比較棘手一點
[00:01:06.280 --> 00:01:08.280]  不如我們先看看聖經
[00:01:08.280 --> 00:01:09.800]  38章第一節
[00:01:09.800 --> 00:01:11.560]  耶和華的話臨到我
[00:01:11.560 --> 00:01:12.600]  即是以西傑
[00:01:12.600 --> 00:01:14.040]  他說 人子啊
[00:01:14.040 --> 00:01:17.120]  你要面向馬各地的哥格
[00:01:17.120 --> 00:01:19.120]  就是米切土巴的大王
[00:01:19.120 --> 00:01:20.640]  向他說預言
[00:01:20.640 --> 00:01:22.160]  主耶和華如此說
[00:01:22.160 --> 00:01:24.240]  米切土巴的大王哥格
[00:01:24.240 --> 00:01:26.240]  看啊 我要與你為敵
[00:01:26.240 --> 00:01:28.240]  我要把你調轉過來
[00:01:28.240 --> 00:01:29.840]  用鉤子鉤住你的腮甲
[00:01:29.840 --> 00:01:33.840]  把你和你的軍兵馬匹騎兵都帶來
[00:01:33.840 --> 00:01:37.040]  他們當中有波斯人
[00:01:37.040 --> 00:01:38.480]  古實人 忽人
[00:01:38.480 --> 00:01:41.120]  還有哥滅人和他們的軍隊
[00:01:41.120 --> 00:01:45.240]  北方極處的陀拉馬族和他的軍隊
[00:01:45.240 --> 00:01:47.240]  這許多民族都要跟著你
[00:01:47.240 --> 00:01:52.720]  你要聚集到你那裡的軍隊都要預備
[00:01:52.720 --> 00:01:55.640]  過了多日你必被差派
[00:01:55.640 --> 00:01:57.640]  到末後之年
[00:01:57.640 --> 00:02:01.640]  你要來到以色列上九荒涼的山上
[00:02:01.640 --> 00:02:03.640]  你和你的全軍
[00:02:03.640 --> 00:02:05.640]  並跟隨你的許多民族
[00:02:05.640 --> 00:02:08.640]  都要上來雨暴風刮來
[00:02:08.640 --> 00:02:11.640]  勿魂遮蓋地面
[00:02:11.640 --> 00:02:14.640]  一段經文看了之後不太明白
[00:02:14.640 --> 00:02:16.640]  但這裡很簡單
[00:02:16.640 --> 00:02:18.640]  兩章的聖經38、39
[00:02:18.640 --> 00:02:20.640]  以西傑說
[00:02:20.640 --> 00:02:22.640]  其實說到將來
[00:02:22.640 --> 00:02:24.640]  所謂的艾斯吉時
[00:02:24.640 --> 00:02:26.640]  末中的時候
[00:02:26.640 --> 00:02:29.640]  將來以色列國會發生什麼事呢
[00:02:29.640 --> 00:02:31.640]  在古以色列國
[00:02:31.640 --> 00:02:36.640]  以西傑在公元前大概五百六百年左右
[00:02:36.640 --> 00:02:37.640]  一位先知
[00:02:37.640 --> 00:02:41.640]  他是首批去到秘魯巴比倫的
[00:02:41.640 --> 00:02:43.640]  是一個秘魯的先知
[00:02:43.640 --> 00:02:44.640]  秘魯巴比倫的時候
[00:02:44.640 --> 00:02:46.640]  上帝就去呼召他
[00:02:46.640 --> 00:02:47.640]  來講說話
[00:02:47.640 --> 00:02:50.640]  講了很多章到38、39章
[00:02:50.640 --> 00:02:55.640]  就講到將來會有一個所謂大戰
[00:02:55.640 --> 00:02:57.640]  這個王叫做哥格
[00:02:57.640 --> 00:02:59.640]  他氣勢磅礡
[00:02:59.640 --> 00:03:03.640]  就會出兵來攻打以色列盟
[00:03:03.640 --> 00:03:06.640]  然後這兩章就講到他都還沒出手
[00:03:06.640 --> 00:03:08.640]  神就將他打敗
[00:03:08.640 --> 00:03:10.640]  為什麼會講這段聖經呢
[00:03:10.640 --> 00:03:12.640]  因為這段聖經
[00:03:12.640 --> 00:03:14.640]  在最近因為
[00:03:14.640 --> 00:03:19.640]  俄羅斯入侵烏克蘭
[00:03:19.640 --> 00:03:21.640]  所以有很多時候在坊間上
[00:03:21.640 --> 00:03:23.640]  流行的解法就說
[00:03:23.640 --> 00:03:26.640]  這個哥格王其實就是俄羅斯王
[00:03:26.640 --> 00:03:28.640]  所謂的普頓
[00:03:28.640 --> 00:03:31.640]  所以我們需要去了解一下
[00:03:31.640 --> 00:03:33.640]  到底這段聖經是講什麼呢
[00:03:33.640 --> 00:03:35.640]  首先講一下翻譯
[00:03:35.640 --> 00:03:37.640]  翻譯很重要
[00:03:37.640 --> 00:03:39.640]  翻譯準不準確
[00:03:39.640 --> 00:03:41.640]  或者怎樣去
[00:03:41.640 --> 00:03:45.640]  連繫到我們今天聽到的一些字眼等等
[00:03:45.640 --> 00:03:48.640]  會不會有一些誤導的成分呢
[00:03:48.640 --> 00:03:52.640]  你看到和合本翻譯38章第三節
[00:03:52.640 --> 00:03:56.640]  講到哥格王的時候
[00:03:56.640 --> 00:03:59.640]  他翻譯了羅斯
[00:03:59.640 --> 00:04:01.640]  原文是Rosh
[00:04:01.640 --> 00:04:04.640]  米切土巴之王
[00:04:04.640 --> 00:04:07.640]  Nisi就是王子
[00:04:07.640 --> 00:04:08.640]  或者王的意思
[00:04:08.640 --> 00:04:10.640]  領袖的意思
[00:04:10.640 --> 00:04:13.640]  哥格就是他的名字
[00:04:13.640 --> 00:04:16.640]  然後你看到和合本的修訂版
[00:04:16.640 --> 00:04:19.640]  之後他改變了
[00:04:19.640 --> 00:04:23.640]  就將他翻譯成為哥格地的哥格
[00:04:23.640 --> 00:04:26.640]  就是米切土巴的大王
[00:04:26.640 --> 00:04:28.640]  那個key在哪裡呢
[00:04:28.640 --> 00:04:30.640]  就是Rosh這個字
[00:04:30.640 --> 00:04:32.640]  到底是翻譯成為一個地名
[00:04:32.640 --> 00:04:35.640]  好像和合本本身的翻譯
[00:04:35.640 --> 00:04:37.640]  還是翻譯成為一個形容詞呢
[00:04:37.640 --> 00:04:38.640]  大王
[00:04:38.640 --> 00:04:40.640]  因為Rosh就是head的意思
[00:04:40.640 --> 00:04:42.640]  在希伯來文
[00:04:42.640 --> 00:04:44.640]  就是領袖的意思
[00:04:44.640 --> 00:04:46.640]  如果翻譯成為一個地名的時候
[00:04:46.640 --> 00:04:49.640]  就好像有很多流行的坊間的解法
[00:04:49.640 --> 00:04:51.640]  因為是Rosh
[00:04:51.640 --> 00:04:54.640]  你轉了響音
[00:04:54.640 --> 00:04:56.640]  做了u才算
[00:04:56.640 --> 00:04:58.640]  就是Rush
[00:04:58.640 --> 00:05:00.640]  你就聽到是Rush
[00:05:00.640 --> 00:05:02.640]  因為這樣的緣故
