
[00:00:00.000 --> 00:00:07.000]  上星期Mark Sir帶大家去耶路撒冷大衛城的希西加隧道
[00:00:07.000 --> 00:00:11.000]  今天我帶大家上水面
[00:00:11.000 --> 00:00:14.000]  重返地球
[00:00:14.000 --> 00:00:18.000]  去看羅馬書十二章三至八節
[00:00:18.000 --> 00:00:21.000]  是羅馬書系列第二講
[00:00:21.000 --> 00:00:23.000]  生命的刺
[00:00:23.000 --> 00:00:25.000]  講述靈的恩賜
[00:00:25.000 --> 00:00:27.000]  先找書吧
[00:00:27.000 --> 00:00:31.000]  上次跟大家講羅馬書十二章一至二節
[00:00:31.000 --> 00:00:33.000]  生命的制
[00:00:33.000 --> 00:00:36.000]  保羅以神的慈悲勸勉弟兄姊妹
[00:00:36.000 --> 00:00:39.000]  將原本已經死的身體
[00:00:39.000 --> 00:00:41.000]  因為耶穌的犧牲
[00:00:41.000 --> 00:00:44.000]  活過來的生命立志獻上
[00:00:44.000 --> 00:00:47.000]  如此是奉乃是理所當然
[00:00:47.000 --> 00:00:51.000]  因為這是反映人真正明白福音
[00:00:51.000 --> 00:00:55.000]  全心感謝最理所當然
[00:00:55.000 --> 00:00:58.000]  合乎情理的回應
[00:00:58.000 --> 00:00:59.000]  基督徒要小心
[00:00:59.000 --> 00:01:03.000]  不要讓這個時代去塑造我們的生命
[00:01:03.000 --> 00:01:07.000]  求聖靈幫助我們心意根深而變化
[00:01:07.000 --> 00:01:10.000]  有淑齡的眼光去明白神的心意
[00:01:10.000 --> 00:01:12.000]  成就神的旨意
[00:01:12.000 --> 00:01:17.000]  今天我們繼續羅馬書十二章一至二節
[00:01:17.000 --> 00:01:20.000]  接下來的三至八節主題
[00:01:20.000 --> 00:01:23.000]  生命的刺恩賜
[00:01:23.000 --> 00:01:27.000]  我們不如先一起去讀這個經文一次
[00:01:27.000 --> 00:01:31.000]  羅馬書十二章三至八節
[00:01:31.000 --> 00:01:36.000]  我憑著我所賜我的恩對你們每一位說
[00:01:36.000 --> 00:01:39.000]  不要把自己看得太高
[00:01:39.000 --> 00:01:44.000]  要照著神所分給各人的信心來衡量
[00:01:44.000 --> 00:01:46.000]  看得合乎中度
[00:01:46.000 --> 00:01:50.000]  正如我們一個身子上有好些肢體
[00:01:50.000 --> 00:01:54.000]  肢體也不都有一樣的用處
[00:01:54.000 --> 00:01:58.000]  這樣我們許多人在基督裡是一個身體
[00:01:58.000 --> 00:02:01.000]  互相聯絡作肢體
[00:02:01.000 --> 00:02:03.000]  按著所得的恩典
[00:02:03.000 --> 00:02:06.000]  我們各有不同的恩賜
[00:02:06.000 --> 00:02:07.000]  或說預言
[00:02:07.000 --> 00:02:10.000]  要按著信心的程度說預言
[00:02:10.000 --> 00:02:12.000]  或服事的
[00:02:12.000 --> 00:02:14.000]  要專一服事
[00:02:14.000 --> 00:02:15.000]  或教導的
[00:02:15.000 --> 00:02:17.000]  要專一教導
[00:02:17.000 --> 00:02:18.000]  或勸勉的
[00:02:18.000 --> 00:02:20.000]  要專一勸勉
[00:02:20.000 --> 00:02:21.000]  施捨的
[00:02:21.000 --> 00:02:22.000]  要誠實
[00:02:22.000 --> 00:02:23.000]  自理的
[00:02:23.000 --> 00:02:25.000]  要殷勤
[00:02:25.000 --> 00:02:26.000]  憐憫人的
[00:02:26.000 --> 00:02:27.000]  要樂意
[00:02:27.000 --> 00:02:30.000]  我們先低頭祈禱
[00:02:30.000 --> 00:02:33.000]  親愛的主我們的神
[00:02:33.000 --> 00:02:37.000]  聖經都是你所默示與教訓
[00:02:37.000 --> 00:02:38.000]  督責
[00:02:38.000 --> 00:02:40.000]  使人歸正
[00:02:40.000 --> 00:02:42.000]  教導人學義
[00:02:42.000 --> 00:02:46.000]  求你的話語帶領人走要走的路
[00:02:46.000 --> 00:02:48.000]  知道我們走歪了
[00:02:48.000 --> 00:02:51.000]  走回一條對的路
[00:02:51.000 --> 00:02:54.000]  引導我們不會再走錯
[00:02:54.000 --> 00:02:57.000]  你似因讓跟隨你的人
[00:02:57.000 --> 00:03:01.000]  生命建基在你的話語上
[00:03:01.000 --> 00:03:03.000]  祈禱交托
[00:03:03.000 --> 00:03:06.000]  奉主耶穌基督的聖名祈求
[00:03:06.000 --> 00:03:08.000]  阿們
[00:03:08.000 --> 00:03:11.000]  羅馬書十二章三節
[00:03:11.000 --> 00:03:12.000]  那裡這樣說
[00:03:12.000 --> 00:03:15.000]  我憑著所賜我的恩
[00:03:15.000 --> 00:03:17.000]  對你們每一位說
[00:03:17.000 --> 00:03:19.000]  不要把自己看得過高
[00:03:19.000 --> 00:03:24.000]  要照著神所分給各人的信心來衡量
[00:03:24.000 --> 00:03:28.000]  看得合乎忠道
[00:03:28.000 --> 00:03:30.000]  前幾年我回香港
[00:03:30.000 --> 00:03:32.000]  在我住的地方
[00:03:32.000 --> 00:03:34.000]  我特意去了樓下的街市
[00:03:34.000 --> 00:03:38.000]  去買兩條藤條
[00:03:38.000 --> 00:03:41.000]  其實藤條對我來說都挺有感情的
[00:03:41.000 --> 00:03:43.000]  陪了我很多年
[00:03:43.000 --> 00:03:45.000]  我有規定的
[00:03:45.000 --> 00:03:48.000]  那條藤條要粗粗的
[00:03:48.000 --> 00:03:50.000]  如果你去過市場買藤條
[00:03:50.000 --> 00:03:52.000]  你知道有些是彎的
[00:03:52.000 --> 00:03:53.000]  我找的是要直的
[00:03:53.000 --> 00:03:56.000]  我盡量找一條粗粗的要直的
[00:03:56.000 --> 00:03:58.000]  最好藤條尾那裡
[00:03:58.000 --> 00:04:00.000]  有條膠索帶
[00:04:00.000 --> 00:04:04.000]  方便我把它掛起
[00:04:04.000 --> 00:04:06.000]  打者愛也
[00:04:06.000 --> 00:04:08.000]  想當年被人打的時候
[00:04:08.000 --> 00:04:11.000]  打我那位仁兄說
[00:04:11.000 --> 00:04:15.000]  我也是為你好
[00:04:15.000 --> 00:04:18.000]  因為愛錫你才打你
[00:04:18.000 --> 00:04:20.000]  我在寫講章的時候
[00:04:20.000 --> 00:04:25.000]  我想起藤條背後的愛
[00:04:25.000 --> 00:04:28.000]  曲調雖異 功妙雖同
[00:04:28.000 --> 00:04:29.000]  第三節這裡
