
[00:00:00.000 --> 00:00:02.440]  今天我們看另外一篇詩篇
[00:00:02.440 --> 00:00:04.920]  我們一直在看每一篇詩篇
[00:00:04.920 --> 00:00:09.320]  我們一直在挑選不同的詩歌來看
[00:00:09.320 --> 00:00:11.080]  詩篇有133篇
[00:00:11.080 --> 00:00:12.960]  聖經這樣說
[00:00:12.960 --> 00:00:15.680]  大衛的上行之詩漢
[00:00:15.680 --> 00:00:17.680]  弟兄和睦同住
[00:00:17.680 --> 00:00:20.080]  是何等的善 何等的美
[00:00:20.080 --> 00:00:23.280]  留意有時候詩歌是有標題的
[00:00:23.280 --> 00:00:25.080]  有title 有superscript
[00:00:25.080 --> 00:00:27.800]  有些title是特別有意思的
[00:00:27.800 --> 00:00:30.320]  特別是在這裡說到上行之詩
[00:00:30.320 --> 00:00:32.320]  Song of Ascent
[00:00:32.320 --> 00:00:36.760]  是上行 上山的意思
[00:00:36.760 --> 00:00:41.280]  在耶路撒冷是二千多呎的海拔之上
[00:00:41.280 --> 00:00:42.320]  在山區
[00:00:42.320 --> 00:00:44.840]  所以無論什麼方向去耶路撒冷
[00:00:44.840 --> 00:00:47.760]  都是要爬山 都要上去
[00:00:47.760 --> 00:00:52.920]  所以這些詩歌都有它自己特定的背景
[00:00:52.920 --> 00:00:55.920]  背後有一個字
[00:00:55.920 --> 00:00:59.200]  Alaa 或者 Aliyah
[00:00:59.200 --> 00:01:02.640]  今天現代的以色列人 猶太人
[00:01:02.640 --> 00:01:05.920]  如果他們散居在世界各地不同的地方
[00:01:05.920 --> 00:01:09.320]  他們想移民回到現代的以色列國
[00:01:09.320 --> 00:01:10.680]  Modern Israel 的話
[00:01:10.680 --> 00:01:13.040]  他們整個移民的process
[00:01:13.040 --> 00:01:14.640]  就叫做Aliyah
[00:01:14.640 --> 00:01:15.440]  Aliyah是什麼意思
[00:01:15.440 --> 00:01:18.280]  就是上 高up的意思
[00:01:18.280 --> 00:01:19.480]  所以這個很有意思
[00:01:19.480 --> 00:01:22.400]  去到耶路撒冷的時候永遠都是高up
[00:01:22.400 --> 00:01:24.280]  大家熟悉聖經的話就知道
[00:01:24.280 --> 00:01:27.000]  有《上行之詩》這個title的詩歌
[00:01:27.000 --> 00:01:28.160]  有十五首
[00:01:28.160 --> 00:01:30.480]  120至134
[00:01:30.480 --> 00:01:32.120]  我們正在看的是尾二的那首
[00:01:32.120 --> 00:01:35.240]  133首詩篇
[00:01:35.240 --> 00:01:36.640]  這裡告訴我們
[00:01:36.640 --> 00:01:38.000]  這些以色列人
[00:01:38.000 --> 00:01:41.200]  可能是他們歷世歷代
[00:01:41.200 --> 00:01:43.560]  他們會上耶路撒冷朝聖
[00:01:43.560 --> 00:01:45.720]  上耶路撒冷去敬拜的時候
[00:01:45.720 --> 00:01:50.080]  他們會累積了一些這樣的詩歌或者歌曲
[00:01:50.080 --> 00:01:51.320]  在他們上路的時候
[00:01:51.320 --> 00:01:53.600]  上耶路撒冷去敬拜的時候
[00:01:53.600 --> 00:01:55.360]  他們可能就會唱出
[00:01:55.360 --> 00:01:57.160]  因為在摩西律法裡面
[00:01:57.160 --> 00:02:00.080]  《新命記》十六章十六節
[00:02:00.080 --> 00:02:00.640]  那裡說什麼
[00:02:00.640 --> 00:02:02.240]  他說你們所有的男丁
[00:02:02.240 --> 00:02:03.920]  男丁就是代表整個家庭
[00:02:03.920 --> 00:02:06.400]  或者有時候帶著家人
[00:02:06.400 --> 00:02:09.400]  要在隨孝節
[00:02:09.400 --> 00:02:10.280]  就是Passover
[00:02:10.280 --> 00:02:13.840]  大概是現在的四五月的時候
[00:02:13.840 --> 00:02:14.640]  七七節
[00:02:14.640 --> 00:02:16.120]  就是Pentecost
[00:02:16.120 --> 00:02:17.480]  或者Shavuot
[00:02:17.480 --> 00:02:18.720]  就是他們修葛節
[00:02:18.720 --> 00:02:22.200]  就是七七四九一之後
[00:02:22.200 --> 00:02:24.400]  Pentecost第五十日
[00:02:24.400 --> 00:02:25.960]  七七節那裡
[00:02:25.960 --> 00:02:28.520]  他們也要上去耶路撒冷
[00:02:28.520 --> 00:02:30.680]  然後在Sukkot
[00:02:30.680 --> 00:02:32.360]  駐彭節的時候
[00:02:32.360 --> 00:02:34.560]  大概現在九月十月的時候
[00:02:34.560 --> 00:02:36.520]  一年的三次
[00:02:36.520 --> 00:02:40.160]  要上到耶路撒冷所揀選的那個地方
[00:02:40.160 --> 00:02:42.520]  有耶路撒冷名字居住的那個地方
[00:02:42.520 --> 00:02:43.480]  來去朝見他
