
[00:00:00.000 --> 00:00:01.300]  所以我們看聖經
[00:00:01.300 --> 00:00:02.920]  創世的第一章
[00:00:02.920 --> 00:00:06.220]  26-27節
[00:00:06.220 --> 00:00:09.020]  他說我們要照著我們的形象
[00:00:09.020 --> 00:00:10.620]  看著我們的樣式做人
[00:00:10.620 --> 00:00:13.460]  使他們管理萬物
[00:00:13.460 --> 00:00:14.340]  全地
[00:00:14.340 --> 00:00:16.000]  地上所有的東西
[00:00:16.000 --> 00:00:17.180]  27節
[00:00:17.180 --> 00:00:20.420]  神就照著自己的形象做人
[00:00:20.420 --> 00:00:22.900]  但是照著他的形象做男做女
[00:00:22.900 --> 00:00:24.980]  這裡先解決了幾個問題
[00:00:24.980 --> 00:00:26.700]  第一就是一個宗數的問題
[00:00:27.340 --> 00:00:30.880]  有時候我們會說為什麼神會說我們呢?
[00:00:30.880 --> 00:00:34.060]  是不是暗示他三位一體呢?
[00:00:34.060 --> 00:00:37.940]  是不是暗示說有其他神在這裡呢?
[00:00:37.940 --> 00:00:39.280]  絕對不是
[00:00:39.280 --> 00:00:42.820]  因為希伯來的原文
[00:00:42.820 --> 00:00:45.960]  有宗數的時候不等於一定有幾位
[00:00:45.960 --> 00:00:47.620]  有宗數的時候
[00:00:47.620 --> 00:00:49.280]  很多時候是一種尊貴的宗數
[00:00:49.280 --> 00:00:51.200]  就是
[00:00:51.200 --> 00:00:53.760]  主這個字
[00:00:53.760 --> 00:00:56.080]  有時候在希伯來的聖經裡面出現
[00:00:56.080 --> 00:00:58.400]  是宗數的形式出現的
[00:00:58.400 --> 00:01:00.760]  但是文法是形式而已
[00:01:00.760 --> 00:01:02.760]  其實也是在說一個主
[00:01:02.760 --> 00:01:05.160]  所以這裡說我們的時候
[00:01:05.160 --> 00:01:06.960]  不是說真的有很多位神
[00:01:06.960 --> 00:01:12.800]  而是說一種尊貴的字術
[00:01:12.800 --> 00:01:15.360]  好像美國的總統
