
[00:00:00.000 --> 00:00:07.440]  各位好,在新的一年裡面,希望大家在主裡面平安
[00:00:07.440 --> 00:00:14.880]  當我們想到生活艱難的時候,或者疫情已經進入第三個年頭
[00:00:14.880 --> 00:00:19.680]  無論你住在哪一個地方,都是有些不受控制
[00:00:19.680 --> 00:00:27.280]  或者令到我們生活非常困苦,也看不到盡頭,不知道什麼時候完
[00:00:27.280 --> 00:00:34.400]  當我們遇到很多不幸的時候,我們很多時候會想起不同的經文
[00:00:34.400 --> 00:00:42.640]  會想起聖經裡面的一些故事,或者一些詩篇,一些經段
[00:00:42.640 --> 00:00:46.480]  其中一個想起的當然就是《約伯記》
[00:00:46.480 --> 00:00:50.320]  如果你是熟悉聖經的話,我都想考考你
[00:00:50.320 --> 00:00:55.840]  除了想起《約伯記》之外,當我們受苦的時候想起這本書
[00:00:55.840 --> 00:01:00.160]  你還會想起什麼章節,什麼段落呢?
[00:01:00.160 --> 00:01:03.280]  如果你想到的話,除了《約伯記》之外
[00:01:03.280 --> 00:01:07.360]  你可以在Live chat的留言告訴我們
[00:01:07.360 --> 00:01:16.000]  到底你想起什麼聖經的段落,或者一些人物的遭遇,或者一些聖經的故事
[00:01:16.000 --> 00:01:19.680]  今天我們就去看《約伯記》
[00:01:19.680 --> 00:01:28.640]  《約伯記》是整本聖經裡面其中一個的collection,其中一本書
[00:01:28.640 --> 00:01:35.280]  聖經裡面大概中間有一個叫做詩篇智慧的collection
[00:01:35.280 --> 00:01:42.240]  那裡有幾本書,包括詩篇、雅歌等等,傳道書
[00:01:42.240 --> 00:01:49.120]  《約伯記》就是其中一個核心的書卷
[00:01:49.120 --> 00:01:55.280]  講到一個人類普遍的問題,就是苦難的問題
[00:01:55.280 --> 00:01:58.560]  苦難有很多方面,大家知道
[00:01:58.560 --> 00:02:07.360]  譬如有個人的一方面,有情緒、精神上的掙扎
[00:02:07.360 --> 00:02:13.760]  或者我們遇到一些不順利的時候,逆境的時候
[00:02:13.760 --> 00:02:18.000]  我們會有一些uncertainty,有一些不確定性
[00:02:18.000 --> 00:02:21.760]  有疾病纏繞我們,或者一些殘疾
[00:02:21.760 --> 00:02:27.360]  有些問題在我們身上發生,這些算是一種personal suffering
[00:02:27.360 --> 00:02:32.240]  一些個人的受苦
[00:02:32.240 --> 00:02:38.400]  第二方面,可能就是一些天災,或者人禍
[00:02:38.400 --> 00:02:40.800]  一些natural disasters
[00:02:40.800 --> 00:02:48.800]  譬如不久之前,美國中部有龍捲風突襲一個地方
[00:02:48.800 --> 00:02:54.400]  人們無家可歸,或者在不同的地方,可能有一些天災
[00:02:54.400 --> 00:03:00.320]  會令到我們的生活突然間打團,突然期待的
[00:03:00.320 --> 00:03:06.560]  給我們一些苦難,或者在這裡的comment裡面提過的
[00:03:06.560 --> 00:03:11.040]  可能是傳道書,或者耶利米哀歌
[00:03:11.040 --> 00:03:18.000]  國家亡國的時候,這些天災人禍的災害臨到
[00:03:18.000 --> 00:03:23.200]  所以就會令到我們有很多的不安
[00:03:23.200 --> 00:03:26.400]  第三樣就是,我們都很熟悉的
[00:03:26.400 --> 00:03:29.120]  就是一些叫做systemic oppression
[00:03:29.120 --> 00:03:35.280]  或者一些系統性的邪惡,或者一些的壓力
[00:03:35.280 --> 00:03:41.920]  想想我們生活裡面,在某些壓迫的政權底下的人
[00:03:41.920 --> 00:03:47.920]  包括香港,包括現在香港變天的這種情況
[00:03:47.920 --> 00:03:57.040]  很多人好像窒息一樣,或者甚至很失望的要離開
[00:03:57.040 --> 00:04:00.400]  或者在一些地方,一些少數的民族
[00:04:00.400 --> 00:04:03.840]  包括教會,受到不同的迫害
[00:04:03.840 --> 00:04:08.960]  不同程度的壓力,都是suffering的其中一種
[00:04:08.960 --> 00:04:12.160]  suffering的時候就是一種universal experience
[00:04:12.160 --> 00:04:14.960]  所以為什麼我們很多時候想起約伯記
[00:04:14.960 --> 00:04:20.000]  因為約伯記在這個故事裡面的主要的人物
[00:04:20.000 --> 00:04:25.280]  Joe 約伯,就是吃了不少的苦頭
[00:04:25.280 --> 00:04:31.760]  第一章的第一節,這樣去描述這個人叫做約伯
[00:04:31.760 --> 00:04:34.960]  他說烏斯蒂有一個人名叫約伯
[00:04:34.960 --> 00:04:40.080]  這個人完全正直敬畏神,他遠離罪惡
[00:04:40.080 --> 00:04:43.440]  他生了有七男三女,家產有很多
[00:04:43.440 --> 00:04:47.440]  有很多牛羊、母奴等等,木被等等
[00:04:47.440 --> 00:04:54.480]  這個人在全東方的人當中,是至為尊貴的
[00:04:54.480 --> 00:04:57.040]  這一節就這樣去介紹他
[00:04:57.040 --> 00:04:59.920]  然後下面的一些細節我們不讀
[00:04:59.920 --> 00:05:02.720]  就說到約伯是一個無可指責的人
[00:05:02.720 --> 00:05:08.640]  說到他道德上、敬拜、祭禮上,他是做到足的
[00:05:08.640 --> 00:05:11.200]  所以介紹了這個人之後
[00:05:11.200 --> 00:05:18.640]  然後我們就會看到鏡頭轉到天上
[00:05:18.640 --> 00:05:20.640]  天上發生了什麼事呢?
[00:05:20.640 --> 00:05:25.360]  第六節,他說有一天神的眾子都來
[00:05:25.360 --> 00:05:27.920]  試立在耶和華的面前
[00:05:27.920 --> 00:05:29.920]  撒旦也來到他們當中
[00:05:29.920 --> 00:05:32.800]  耶和華問撒旦,你從哪裡來?
[00:05:32.800 --> 00:05:37.040]  撒旦回答耶和華,我在地上徘徊,走來走去
[00:05:37.040 --> 00:05:41.040]  耶和華問撒旦,你有沒有注意我的僕人約伯?
[00:05:41.040 --> 00:05:46.800]  世上沒有一個像他這樣正直敬畏神和遠離罪惡的
[00:05:46.800 --> 00:05:55.120]  第九節,撒旦回答耶和華
[00:05:55.120 --> 00:06:01.840]  他說,約伯敬畏神,難道是無緣無故的嗎?
[00:06:01.840 --> 00:06:08.000]  你不是在地上四周圍捉了尼巴來保護約伯
[00:06:08.000 --> 00:06:10.000]  他的家庭,他所有的一切
[00:06:10.000 --> 00:06:12.480]  以及他所作的一切你都賜福給他
[00:06:12.480 --> 00:06:14.960]  他的家產地上天爭
[00:06:14.960 --> 00:06:17.520]  只要你伸手擊打他所有的一切
[00:06:17.520 --> 00:06:20.720]  他就會當面來褻瀆你
[00:06:20.720 --> 00:06:23.680]  耶和華對撒旦說
[00:06:23.680 --> 00:06:26.960]  好吧,他所有的一切都交在你手中
[00:06:26.960 --> 00:06:29.520]  只是不可以伸手害他
[00:06:29.520 --> 00:06:34.960]  於是撒旦從耶和華面前退去
[00:06:34.960 --> 00:06:37.760]  之後就說到一些災難
[00:06:37.760 --> 00:06:41.600]  一浪接一浪的來打擊約伯
[00:06:41.600 --> 00:06:44.800]  二女相繼離世
[00:06:44.800 --> 00:06:48.000]  最後他自己就得了重病
[00:06:48.000 --> 00:06:51.440]  在這個故事裏面就產生了很多的張力
[00:06:51.440 --> 00:06:53.760]  我們首先問到苦難的問題的時候
[00:06:53.760 --> 00:06:55.120]  很多時候我們就會問
[00:06:55.120 --> 00:07:00.000]  為什麼會有苦難發生?
[00:07:00.000 --> 00:07:03.120]  苦難發生的原因是什麼?
[00:07:03.120 --> 00:07:05.520]  苦罪源由是什麼?
[00:07:05.520 --> 00:07:08.080]  是不是這段故事就告訴我們
[00:07:08.080 --> 00:07:14.720]  我們是責怪或問責於哪一個起事
[00:07:14.720 --> 00:07:17.360]  哪一個搞這些事情
[00:07:17.360 --> 00:07:19.680]  是撒旦
[00:07:19.680 --> 00:07:21.360]  但是如果你繼續問
[00:07:21.360 --> 00:07:22.720]  張力仍然存在
[00:07:22.720 --> 00:07:28.400]  因為這裡是上帝容許撒旦去做這件事
[00:07:28.400 --> 00:07:30.080]  所以我們仍然解決不了
[00:07:30.080 --> 00:07:33.040]  到底為什麼一個義人會受苦
[00:07:33.040 --> 00:07:35.280]  約伯為什麼會無緣無故受苦
[00:07:35.280 --> 00:07:42.640]  難道就是上帝和撒旦好像吵架
[00:07:42.640 --> 00:07:45.120]  想爭拗誰贏
[00:07:45.120 --> 00:07:49.360]  於是就找約伯來糟蹋嗎?
[00:07:49.360 --> 00:07:51.120]  是不是就全部都怪責Satan?
[00:07:51.120 --> 00:07:52.720]  如果全部都怪責Satan
[00:07:52.720 --> 00:07:57.040]  我們是不是就能夠解釋到
[00:07:57.040 --> 00:08:02.320]  這個受苦的問題?
[00:08:02.320 --> 00:08:08.000]  有一樣東西我們要慢慢看這段聖經
[00:08:08.000 --> 00:08:09.680]  因為現代的翻譯本
[00:08:09.680 --> 00:08:11.120]  無論中英文
[00:08:11.120 --> 00:08:17.120]  我們翻譯了Satan這個字做撒旦
[00:08:17.120 --> 00:08:18.720]  但如果你查考一下
[00:08:18.720 --> 00:08:20.720]  這些不需要很高深
[00:08:20.720 --> 00:08:24.000]  要懂得讀希伯來文
[00:08:24.000 --> 00:08:26.960]  或者要講到希伯來文才知道
[00:08:26.960 --> 00:08:31.200]  你查考一下撒旦背後那個字
[00:08:31.200 --> 00:08:34.480]  其實是Hasatan
[00:08:34.480 --> 00:08:36.400]  Hasatan是什麼意思呢?
[00:08:36.400 --> 00:08:37.760]  在希伯來文
[00:08:37.760 --> 00:08:40.000]  Has
[00:08:40.000 --> 00:08:42.160]  其實是Article
