
[00:00:00.000 --> 00:00:03.000]  好 今日講到這裡 Mark Sir
[00:00:03.000 --> 00:00:13.000]  好 我們重新打開聖經
[00:00:13.000 --> 00:00:15.000]  我們繼續這個系列
[00:00:15.000 --> 00:00:18.000]  講到跨元 因為我們在講哪本書
[00:00:18.000 --> 00:00:20.000]  是《士郎行傳》 是不是
[00:00:20.000 --> 00:00:23.000]  我們一章一章地講 今次講到第六章
[00:00:23.000 --> 00:00:26.000]  我們看《士郎行傳》的時候 很多時候我們留意一些主角
[00:00:26.000 --> 00:00:32.000]  譬如有誰 彼得 約翰 保羅 巴拿巴
[00:00:32.000 --> 00:00:36.000]  但很少留意一個主角是教會
[00:00:36.000 --> 00:00:38.000]  教會也是一個主角
[00:00:38.000 --> 00:00:42.000]  在《士郎行傳》的黑話裡面 想告訴我們當時的教會是怎樣
[00:00:42.000 --> 00:00:47.000]  然後教會的一些故事 教會怎樣去經歷一些事
[00:00:47.000 --> 00:00:53.000]  然後《士郎行傳》告訴我們這個教會怎樣去啟發我們
[00:00:53.000 --> 00:00:57.000]  怎樣給我們靈感 怎樣去提醒我們
[00:00:57.000 --> 00:01:00.000]  今天怎樣去回應不同的挑戰
[00:01:00.000 --> 00:01:04.000]  今天我們看第六章 第一節開始
[00:01:04.000 --> 00:01:07.000]  第一個point就是
[00:01:07.000 --> 00:01:11.000]  你會看到這個教會是願意去正視問題和挑戰的
[00:01:11.000 --> 00:01:16.000]  並且是願意去配搭 去使教會成長
[00:01:16.000 --> 00:01:18.000]  六章第一節
[00:01:18.000 --> 00:01:25.000]  那些日子門徒增多 有說希臘話的猶太人向希伯來人發出怨言
[00:01:25.000 --> 00:01:31.000]  因為在日常的功級上忽略了他們的寡婦
[00:01:31.000 --> 00:01:34.000]  十二個使徒就叫齊眾門徒來
[00:01:34.000 --> 00:01:38.000]  我們撇下上帝的道 去管理飯食是不合宜的
[00:01:38.000 --> 00:01:43.000]  所以弟兄們 當從你們中間選出七個有好明星的
[00:01:43.000 --> 00:01:46.000]  滿有聖靈和智慧
[00:01:46.000 --> 00:01:49.000]  我們派他們管理這事
[00:01:49.000 --> 00:01:55.000]  至於我們 我們要專注在祈禱和傳道的侍奉上
[00:01:55.000 --> 00:02:00.000]  這裡說到初期的教會 由五旬節 聖靈降臨之後
[00:02:00.000 --> 00:02:03.000]  然後一直發展 直到這個時候
[00:02:03.000 --> 00:02:08.000]  他們出現了一些問題 教會也有問題
