
[00:00:00.000 --> 00:00:03.080]  好,今天我們繼續看這個主題
[00:00:03.080 --> 00:00:04.680]  這次應該是最後一講
[00:00:04.680 --> 00:00:07.480]  就是講到敬拜
[00:00:07.480 --> 00:00:08.680]  是什麼意思呢
[00:00:08.680 --> 00:00:10.840]  很需要我們去想一想
[00:00:10.840 --> 00:00:14.240]  敬拜這方面
[00:00:14.240 --> 00:00:15.800]  因為來到教會的時候
[00:00:15.800 --> 00:00:17.480]  最重要的事情
[00:00:17.480 --> 00:00:20.400]  就是學會如何去敬拜
[00:00:20.400 --> 00:00:22.400]  如何成為一個worshipper
[00:00:22.400 --> 00:00:23.600]  一個敬拜者
[00:00:23.600 --> 00:00:27.520]  你記得我曾經分享過這個list
[00:00:27.520 --> 00:00:31.080]  聖經裡面去到混雜所有對敬拜的教導
[00:00:31.080 --> 00:00:32.800]  或者對敬拜的描述
[00:00:32.800 --> 00:00:34.080]  有這幾方面
[00:00:34.080 --> 00:00:36.480]  當然這個列表
[00:00:36.480 --> 00:00:39.600]  不是一個完全的列表
[00:00:39.600 --> 00:00:43.440]  不是一個所有的元素都放上去的列表
[00:00:43.440 --> 00:00:48.760]  也不是讓我們去到機械式的去運用
[00:00:48.760 --> 00:00:49.760]  照板煮碗
[00:00:49.760 --> 00:00:51.600]  我們就做回這些東西
[00:00:51.600 --> 00:00:53.880]  每一個項目我們都做回
[00:00:53.880 --> 00:00:57.520]  聖經裡面給我們一些很基本的principle
[00:00:57.520 --> 00:01:00.280]  一些很基本的原則
[00:01:00.280 --> 00:01:01.520]  講到敬拜
[00:01:01.520 --> 00:01:05.120]  很多時候不是可以逗到很多的細節
[00:01:05.120 --> 00:01:06.400]  但是我們需要問
[00:01:06.400 --> 00:01:10.160]  如何能夠成為一個好的敬拜者
[00:01:10.160 --> 00:01:11.560]  如何能夠成為一個敬拜者
[00:01:11.560 --> 00:01:13.360]  是合上帝的喜悅
[00:01:13.360 --> 00:01:15.760]  想一想這個問題
[00:01:15.760 --> 00:01:19.400]  如何可以成為一個更加上帝喜悅的敬拜者
