
[00:00:00.000 --> 00:00:01.580]  大英姐妹大家好
[00:00:01.580 --> 00:00:08.440]  今晚我會飛去土耳其
[00:00:08.440 --> 00:00:12.680]  我會探索一個新的路線
[00:00:12.680 --> 00:00:14.080]  大家都可能聽過
[00:00:14.080 --> 00:00:16.960]  五月有大英姐妹會跟我一起去土耳其
[00:00:16.960 --> 00:00:20.160]  你猜過去兩天發生的事
[00:00:20.160 --> 00:00:21.440]  我會飛到土耳其嗎
[00:00:21.440 --> 00:00:25.640]  暫時未有影響
[00:00:25.640 --> 00:00:27.960]  暫時真的很難說
[00:00:28.560 --> 00:00:32.480]  這個世界真的發生太多事
[00:00:32.480 --> 00:00:38.640]  本來我打算恢復去以色列的聖地轉移
[00:00:38.640 --> 00:00:42.920]  暫時都未行
[00:00:42.920 --> 00:00:45.280]  但需要為那個地區禱告
[00:00:45.280 --> 00:00:47.120]  我想告訴大家
[00:00:47.120 --> 00:00:50.120]  很多時候有戰爭的時候
[00:00:50.120 --> 00:00:53.400]  我們都會被迫站邊
[00:00:53.400 --> 00:00:55.160]  看你幫誰
[00:00:55.160 --> 00:00:57.480]  其實不需要
[00:00:57.480 --> 00:01:00.720]  所有戰爭上帝都不喜歡
[00:01:00.720 --> 00:01:03.680]  因為要知道受害的人是甚麼人
[00:01:03.680 --> 00:01:05.920]  是無辜的人
[00:01:05.920 --> 00:01:07.800]  得益的是甚麼人
[00:01:07.800 --> 00:01:09.600]  是在上掌權的
[00:01:09.600 --> 00:01:14.040]  無論你是美伊這邊還是伊朗那邊
[00:01:14.040 --> 00:01:15.720]  哪邊都好
[00:01:15.720 --> 00:01:17.080]  我們不需要站邊
[00:01:17.080 --> 00:01:19.080]  因為我們屬於誰
[00:01:19.080 --> 00:01:20.600]  我們屬於天國
[00:01:20.600 --> 00:01:21.840]  對嗎
[00:01:21.840 --> 00:01:22.880]  屬於天國
[00:01:22.880 --> 00:01:26.760]  我們可以討論戰況、動態等等
[00:01:26.760 --> 00:01:30.440]  或者地緣政治等等
