
[00:00:00.000 --> 00:00:02.000]  我們回到上帝的說話
[00:00:02.000 --> 00:00:06.000]  各位大姐妹 我們回到上帝的說話
[00:00:06.000 --> 00:00:09.000]  我們去到士蘭傳的第四章尾
[00:00:09.000 --> 00:00:11.000]  我們有一個系列
[00:00:11.000 --> 00:00:15.000]  一路由年頭到現在是在說跨越
[00:00:15.000 --> 00:00:18.000]  在這一年裡我們希望記得這個字
[00:00:18.000 --> 00:00:20.000]  Crossover 或者跨越
[00:00:20.000 --> 00:00:22.000]  我們希望能夠挑戰各位
[00:00:22.000 --> 00:00:24.000]  如果你們信耶穌的話
[00:00:24.000 --> 00:00:25.000]  我們信主的話
[00:00:25.000 --> 00:00:28.000]  我們基督徒的生命應該要繼續Crossover
[00:00:28.000 --> 00:00:31.000]  應該繼續去挑戰我們自己
[00:00:31.000 --> 00:00:33.000]  離開我們自己安殊的地方
[00:00:33.000 --> 00:00:37.000]  所以我們不斷地在說士蘭傳
[00:00:37.000 --> 00:00:41.000]  從第一章開始到現在已經到第四章
[00:00:41.000 --> 00:00:43.000]  不如我們看看這段聖經
[00:00:43.000 --> 00:00:45.000]  有兩個點我想說
[00:00:45.000 --> 00:00:51.000]  就是在這裡 當時初期的教會是一個彼此分享的團體
[00:00:51.000 --> 00:00:54.000]  並且是一個彼此願意去問責
[00:00:54.000 --> 00:00:56.000]  在上帝面前願意被問責
[00:00:56.000 --> 00:00:57.000]  Keep accountable
[00:00:57.000 --> 00:01:03.000]  以及在弟兄姊妹在整個社群裡面是願意Keep accountable的一個群體
[00:01:03.000 --> 00:01:04.000]  如果你有聖經的話
[00:01:04.000 --> 00:01:08.000]  跟我一起打開去士蘭傳第四章尾這個地方
[00:01:08.000 --> 00:01:11.000]  這裡這樣去描述當時的教會
[00:01:11.000 --> 00:01:14.000]  可以算是聖靈的第二次降臨
[00:01:14.000 --> 00:01:17.000]  你記得第一次降臨是什麼時候嗎?
[00:01:17.000 --> 00:01:19.000]  在五重節的時候
[00:01:19.000 --> 00:01:21.000]  就是第二章的時候
[00:01:21.000 --> 00:01:23.000]  這個算是第二次了
[00:01:23.000 --> 00:01:26.000]  因為四章三十一節這裡說什麼呢?
[00:01:26.000 --> 00:01:29.000]  他說這個教會他們受迫害的時候
[00:01:29.000 --> 00:01:30.000]  有很多壓力的時候
[00:01:30.000 --> 00:01:32.000]  他們就禱告求上帝給他們力量
[00:01:32.000 --> 00:01:34.000]  然後聚會的地方震動
[00:01:34.000 --> 00:01:38.000]  他們都被聖靈充滿放膽傳講上帝的道
[00:01:38.000 --> 00:01:40.000]  聖靈又再次充滿他們
[00:01:40.000 --> 00:01:42.000]  許多信徒都一心一意
