
[00:00:00.000 --> 00:00:01.120]   Let's do it together.
[00:00:01.120 --> 00:00:02.960]   All right, let's welcome Pastor Mark.
[00:00:02.960 --> 00:00:05.960]   - Hey, happy new year.
[00:00:05.960 --> 00:00:06.960]   Happy new year to all of you.
[00:00:06.960 --> 00:00:09.000]   And such a good day to be here.
[00:00:09.000 --> 00:00:11.560]   I know it's snowing outside, right?
[00:00:11.560 --> 00:00:13.200]   It's still snowing outside?
[00:00:13.200 --> 00:00:17.080]   'Cause I've been here since 8 p.m.
[00:00:17.080 --> 00:00:19.200]   So I don't know what's going on outside, you know.
[00:00:19.200 --> 00:00:20.040]   Huh?
[00:00:20.040 --> 00:00:20.880]   - 8 p.m.
[00:00:20.880 --> 00:00:22.480]   - 8 a.m., sorry, 8 a.m., yeah.
[00:00:22.480 --> 00:00:23.560]   It's been a long day for me,
[00:00:23.560 --> 00:00:25.800]   and it's been a long week for me.
[00:00:25.800 --> 00:00:27.440]   So good to see all of you.
[00:00:27.440 --> 00:00:29.100]   And why don't we shake hands with our neighbors
[00:00:29.100 --> 00:00:30.280]   and say happy new year,
[00:00:30.280 --> 00:00:33.120]   or words of blessing to each other.
[00:00:33.120 --> 00:00:36.240]   Find five neighbors, five neighbors around you.
[00:00:36.240 --> 00:00:37.080]   Yeah.
[00:00:37.080 --> 00:00:43.840]   All right, all right, yeah.
[00:00:43.840 --> 00:00:47.240]   Well, there's some new friends in the midst of us,
[00:00:47.240 --> 00:00:51.520]   and we wanna welcome you to be in our church.
[00:00:51.520 --> 00:00:53.800]   Let's round of applause for all the new friends
[00:00:53.800 --> 00:00:57.160]   who are visiting us the very first time, all right?
[00:00:57.160 --> 00:00:59.740]   (audience applauding)
[00:00:59.740 --> 00:01:01.360]   So it's still new year.
[00:01:01.360 --> 00:01:04.380]   You know, the atmosphere, the color, or whatever
[00:01:04.380 --> 00:01:08.620]   reminds us what it means to have new year,
[00:01:08.620 --> 00:01:11.020]   and what it means to have change.
[00:01:11.020 --> 00:01:14.220]   What do we do as new year kicks in,
[00:01:14.220 --> 00:01:18.080]   and a new period of time, a new season in our lives?
[00:01:18.080 --> 00:01:21.460]   I think this is a great reminder for us to just rethink,
[00:01:21.460 --> 00:01:22.640]   you know, where are we going?
[00:01:22.640 --> 00:01:26.700]   So we may think of new year's resolutions, right?
[00:01:26.700 --> 00:01:28.660]   New year goals, all right?
[00:01:28.660 --> 00:01:30.020]   So let me do a survey here.
[00:01:30.020 --> 00:01:33.480]   How many of you have your new year resolution,
[00:01:33.480 --> 00:01:36.140]   and one of your resolution is to lose weight?
[00:01:36.140 --> 00:01:37.460]   How many of you?
[00:01:37.460 --> 00:01:38.900]   Yeah, that reminds us, you know,
[00:01:38.900 --> 00:01:42.700]   this reminds us we have to do it every single year, right?
[00:01:42.700 --> 00:01:44.900]   Although we already fail, we already fail,
[00:01:44.900 --> 00:01:46.860]   but that's okay, you know?
[00:01:46.860 --> 00:01:48.580]   We continue to grow, right?
[00:01:48.580 --> 00:01:52.380]   Not in weight, but in our spirit, all right?
[00:01:52.380 --> 00:01:54.800]   You know, some of the new year resolutions,
[00:01:54.800 --> 00:01:57.580]   some of the new goals that we're gonna set for ourselves,
[00:01:57.580 --> 00:02:01.820]   or some of the new mindset we want to have.
[00:02:01.820 --> 00:02:05.660]   So this new year will be reminding us, you know,
[00:02:05.660 --> 00:02:10.660]   doing something that will require us to change, right?
[00:02:10.660 --> 00:02:15.560]   So what it is for you, think about it.
[00:02:15.560 --> 00:02:19.520]   And today, I would like to start a new series
[00:02:19.520 --> 00:02:24.440]   on the sermon, which is about church,
[00:02:24.440 --> 00:02:27.600]   about healthy church, healthier church.
[00:02:27.600 --> 00:02:31.440]   How do we become a healthier church?
[00:02:31.440 --> 00:02:34.460]   Think of yourself, right?
[00:02:34.460 --> 00:02:36.060]   You have been a Christian for a long time,
[00:02:36.060 --> 00:02:40.420]   or maybe a short time, or perhaps you stumble and fall,
[00:02:40.420 --> 00:02:43.020]   stumble and fall, and along the way, you know,
[00:02:43.020 --> 00:02:45.760]   you still find your identity in Christ, right?
[00:02:45.760 --> 00:02:47.420]   And how to be a healthy Christian,
[00:02:47.420 --> 00:02:50.400]   what does it mean, healthy Christian, right?
[00:02:50.400 --> 00:02:52.740]   You may have your own, you know, imagination,
[00:02:52.740 --> 00:02:55.220]   what it means to be a healthy Christian,
[00:02:55.220 --> 00:02:58.700]   what it means to be a healthier church,
