
[00:00:00.000 --> 00:00:06.980]  不知道你最近在聖經或Google上在搜尋甚麼
[00:00:06.980 --> 00:00:09.680]  聖經是值得我們去搜索的
[00:00:09.680 --> 00:00:13.020]  有很多人生中的大小課題
[00:00:13.020 --> 00:00:16.900]  值得我們在神的話語中尋找
[00:00:16.900 --> 00:00:18.900]  上帝會給我們指引
[00:00:18.900 --> 00:00:24.900]  有時一些大原則或生命中的難題
[00:00:24.900 --> 00:00:27.900]  很多時會給我們一些導向
[00:00:27.900 --> 00:00:32.900]  不一定是要我們選A或B
[00:00:32.900 --> 00:00:33.900]  不一定是這樣
[00:00:33.900 --> 00:00:37.900]  但對我們的生命和心靈起了作用
[00:00:37.900 --> 00:00:40.900]  告訴我們動機是為了甚麼
[00:00:40.900 --> 00:00:44.900]  很多時上帝的話語就是給我們一種調教
[00:00:44.900 --> 00:00:50.900]  我們對準我們的生命是否對準著一些永恆的事物
[00:00:50.900 --> 00:00:54.900]  所以我們想鼓勵你去看聖經
[00:00:54.900 --> 00:00:58.900]  當然不是看聖經多就一定是屬靈一點
[00:00:58.900 --> 00:01:00.900]  或親近神多一點
[00:01:00.900 --> 00:01:01.900]  不一定的
[00:01:01.900 --> 00:01:03.900]  所以你不單要看聖經
[00:01:03.900 --> 00:01:08.900]  我們的心靈都要向上帝謙卑
[00:01:08.900 --> 00:01:10.900]  讓他來對我們說話
[00:01:10.900 --> 00:01:12.900]  我們肯去聽他講話
[00:01:12.900 --> 00:01:18.900]  這樣讀經的生活才可以幫到我們
[00:01:18.900 --> 00:01:23.900]  如果我們硬著頸汗硬著心去看聖經的話語
[00:01:23.900 --> 00:01:25.900]  是不會對我們有幫助的
[00:01:25.900 --> 00:01:27.900]  所以不妨你試一試
[00:01:27.900 --> 00:01:29.900]  無論你參與我們的讀經計劃也好
[00:01:29.900 --> 00:01:30.900]  不參與也好
[00:01:30.900 --> 00:01:34.900]  試試打開聖經的時候我們去祈禱
[00:01:34.900 --> 00:01:37.900]  祈禱上帝才開我們的心
[00:01:37.900 --> 00:01:39.900]  然後我們才進去聖經
[00:01:39.900 --> 00:01:42.900]  以至聖經我們用信心來讀
[00:01:42.900 --> 00:01:46.900]  上帝此時此地對我們說的話給我們提醒
[00:01:46.900 --> 00:01:49.900]  這樣我們的生命就會繼續向前
[00:01:49.900 --> 00:01:51.900]  我知道不是每個人都用電話
[00:01:51.900 --> 00:01:54.900]  不是每個人都喜歡用APP
[00:01:54.900 --> 00:01:57.900]  我知道新一代可能比較沒問題
