
[00:00:00.000 --> 00:00:02.000]  (新約中的情緒)
[00:00:02.000 --> 00:00:03.360]  大兄姐妹,早安
[00:00:03.360 --> 00:00:09.000]  今天我繼續我的新約情緒系列
[00:00:09.000 --> 00:00:12.200]  大家還記得嗎?應該是數個月前
[00:00:12.200 --> 00:00:15.680]  數個月前,我開始了新約中的情緒系列
[00:00:15.680 --> 00:00:18.280]  我第一次說的情緒是…
[00:00:18.280 --> 00:00:20.800]  記得是甚麼嗎?是憤怒
[00:00:20.800 --> 00:00:22.080]  不記得的大兄姐妹
[00:00:22.080 --> 00:00:24.200]  也可以上YouTube看
[00:00:24.200 --> 00:00:26.520]  「新約中的情緒1」,憤怒
[00:00:26.520 --> 00:00:28.720]  今天我說另一個情緒
[00:00:28.720 --> 00:00:31.040]  今天我要說的情緒是甚麼
[00:00:31.120 --> 00:00:34.600]  就是「新約中的情緒2」,恐懼
[00:00:34.600 --> 00:00:37.680]  我們首先要問一個問題
[00:00:37.680 --> 00:00:40.800]  究竟恐懼是甚麼
[00:00:40.800 --> 00:00:43.240]  我們…跟憤怒一樣
[00:00:43.240 --> 00:00:46.240]  我們每個人都一定會經歷過恐懼
[00:00:46.240 --> 00:00:50.080]  我想問有誰未經歷過恐懼的?舉手
[00:00:50.080 --> 00:00:52.400]  未經歷過,你從來都不害怕
[00:00:52.400 --> 00:00:53.840]  不害怕,我很想知道
[00:00:53.840 --> 00:00:55.160]  有人不害怕嗎
[00:00:55.160 --> 00:00:57.040]  好,我想問另一個問題
[00:00:57.040 --> 00:01:00.040]  有人覺得自己經常都害怕嗎
[00:01:00.640 --> 00:01:03.000]  對,有很多人經常都害怕
[00:01:03.000 --> 00:01:06.440]  我們經常經歷的情緒究竟是甚麼
[00:01:06.440 --> 00:01:07.720]  所以我們首先…
[00:01:07.720 --> 00:01:10.840]  今天我會看「新約中的情緒」
[00:01:10.840 --> 00:01:13.320]  所以會看比較多經文和資料
[00:01:13.320 --> 00:01:15.720]  但我相信大家一定能跟隨
[00:01:15.720 --> 00:01:17.320]  所以不要緊,我們一起看看
[00:01:17.320 --> 00:01:19.240]  我們首先問這個定義的問題
[00:01:19.240 --> 00:01:22.960]  最簡單的,我們去到APA
[00:01:22.960 --> 00:01:24.560]  美國心理學會,我曾說過
[00:01:24.560 --> 00:01:26.960]  最標準的定義是甚麼
[00:01:26.960 --> 00:01:28.400]  那裡是這樣說的
[00:01:28.400 --> 00:01:29.360]  恐懼是甚麼
[00:01:29.440 --> 00:01:34.480]  恐懼是由於察覺到迫在眉睫的危機
[00:01:34.480 --> 00:01:38.520]  而引起的一種基本強烈的情緒
[00:01:38.520 --> 00:01:41.680]  並且涉及一系列的生理反應
[00:01:41.680 --> 00:01:43.200]  例如心跳加速
[00:01:43.200 --> 00:01:44.360]  是嗎?大家都明白
[00:01:44.360 --> 00:01:46.640]  例如你緊張、很害怕時
[00:01:46.640 --> 00:01:48.400]  心跳會很快,對吧
[00:01:48.400 --> 00:01:50.840]  或者有時會氣喘,不能呼吸
[00:01:50.840 --> 00:01:52.480]  有這些生理反應,對吧
[00:01:52.480 --> 00:01:53.440]  我們都明白了
[00:01:53.440 --> 00:01:55.760]  這就是APA的定義
[00:01:55.760 --> 00:01:58.200]  我們看看另一個情緒專家
[00:01:58.280 --> 00:01:59.600]  我上次也說過
[00:01:59.600 --> 00:02:01.640]  就是迪士尼的卡通片
[00:02:01.640 --> 00:02:03.560]  「Inside Out」的心理學顧問
[00:02:03.560 --> 00:02:05.960]  Paul Edmund是這樣定義恐懼的
[00:02:05.960 --> 00:02:09.480]  他說恐懼是七種…
[00:02:09.480 --> 00:02:10.400]  跟憤怒一樣
[00:02:10.400 --> 00:02:12.840]  都是七種基本情緒之一
[00:02:12.840 --> 00:02:16.640]  因為察覺到或想像到
[00:02:16.640 --> 00:02:21.080]  可能受到身體或心理上的傷害而產生
[00:02:21.080 --> 00:02:23.240]  恐懼不僅是負面的
[00:02:23.240 --> 00:02:24.960]  也有正面的作用
[00:02:25.040 --> 00:02:26.960]  能夠幫助我們
[00:02:26.960 --> 00:02:30.720]  促使我們應對潛在的危機
[00:02:30.720 --> 00:02:31.800]  所以大家留意到
[00:02:31.800 --> 00:02:34.840]  Edmund對於恐懼的定義是怎樣
[00:02:34.840 --> 00:02:36.680]  就是你害怕一些東西
[00:02:36.680 --> 00:02:39.600]  那件事不一定是真的,對吧
[00:02:39.600 --> 00:02:41.920]  可以是甚麼?可以是真
[00:02:41.920 --> 00:02:45.280]  即是你正面對一件迫在眉睫的事件
[00:02:45.280 --> 00:02:46.440]  是真實的事件
[00:02:46.440 --> 00:02:47.360]  亦可以是怎樣
[00:02:47.360 --> 00:02:48.920]  是想像出來也可以的
[00:02:48.920 --> 00:02:51.160]  當你想像到一些東西
[00:02:51.160 --> 00:02:53.560]  你覺得是很危險的事
[00:02:53.640 --> 00:02:55.480]  你想像到,你也會害怕
[00:02:55.480 --> 00:02:58.920]  所以恐懼可以面對一些真實的情況
[00:02:58.920 --> 00:03:01.000]  亦可能那情況是假的
[00:03:01.000 --> 00:03:02.480]  是你想像出來的
[00:03:02.480 --> 00:03:04.760]  但恐懼不僅是負面
[00:03:04.760 --> 00:03:06.360]  也可以幫助我們去想
[00:03:06.360 --> 00:03:08.600]  當我們想像到一些危險的事件時
[00:03:08.600 --> 00:03:09.320]  會怎樣
[00:03:09.320 --> 00:03:12.400]  就促使我們去想辦法去面對它
[00:03:12.400 --> 00:03:14.400]  所以恐懼是有正面的作用的
