
[00:00:00.000 --> 00:00:06.800]   Hey, thanks Kelly.
[00:00:06.800 --> 00:00:08.840]   Let me get my PowerPoint ready, alright.
[00:00:08.840 --> 00:00:11.240]   Why don't we pray together?
[00:00:11.240 --> 00:00:16.840]   Father, we want to pray to you because you are the King, you are the Lord.
[00:00:16.840 --> 00:00:21.680]   Even though sometimes we cannot see your hands, we know that you are still in control.
[00:00:21.680 --> 00:00:24.760]   You are still the Lord of history, Lord of our lives.
[00:00:24.760 --> 00:00:27.200]   That's why we come before you to worship you.
[00:00:27.200 --> 00:00:31.960]   That's why no matter if it is sunshine or it is raining, we come to acknowledge your
[00:00:31.960 --> 00:00:32.960]   Lordship.
[00:00:32.960 --> 00:00:39.160]   And we pray that you will help us to put our trust in you, to believe in you.
[00:00:39.160 --> 00:00:42.280]   I pray for each and every one of us.
[00:00:42.280 --> 00:00:46.640]   Perhaps we are facing some life challenges or crisis.
[00:00:46.640 --> 00:00:54.760]   I pray that you will grant us the grace to see your authority, your power.
[00:00:54.760 --> 00:01:00.160]   You are bigger than all the problems and challenges that we have.
[00:01:00.160 --> 00:01:09.480]   So pray that we will put our faith in you, wholeheartedly trust you with our full heart,
[00:01:09.480 --> 00:01:15.000]   no reserve, because you are the Lord, you are God.
[00:01:15.000 --> 00:01:20.280]   And pray that you will speak to us, pray that you will awaken our soul, our spirit, we will
[00:01:20.280 --> 00:01:24.960]   draw closer to you in your presence, in Christ and pray.
[00:01:24.960 --> 00:01:34.880]   Well we are talking about Apostles Creed and this is a very, very ancient Creed, uh, lasts
[00:01:34.880 --> 00:01:39.320]   for over 1,800 years.
[00:01:39.320 --> 00:01:44.640]   I mean, can you think of any movement in human history that will last so long, right?
[00:01:44.640 --> 00:01:52.240]   That will last so long, that would last for all the rise and fall of empires on the earth.
[00:01:52.240 --> 00:01:57.920]   But Christianity, the Jesus movement, lasts for so long, right?
[00:01:57.920 --> 00:02:02.080]   And this Apostles Creed we're going to go through together, uh, we started last week,
[00:02:02.080 --> 00:02:06.520]   uh, lasts for almost 2,000 years, right?
[00:02:06.520 --> 00:02:16.960]   The Roman Empire, who used to persecute the early churches, they fell in the 5th century.
[00:02:16.960 --> 00:02:23.720]   But the churches are continuing their movement and they still exist until today.
[00:02:23.720 --> 00:02:28.220]   And that's why this is so valuable as we look at, uh, the Apostles Creed, uh, going back
[00:02:28.220 --> 00:02:31.260]   to almost 2,000 years.
[00:02:31.260 --> 00:02:37.880]   And we said that, uh, the Apostles Creed believes in statements, uh, it begins with statements
[00:02:37.880 --> 00:02:41.080]   with "I believe this" and "I believe that."
[00:02:41.080 --> 00:02:48.080]   And we said that "I believe" does not mean intellectually agreeing upon some proposition.
[00:02:48.080 --> 00:02:52.960]   In the Bible, "I believe" means "I am believing into God."
[00:02:52.960 --> 00:02:55.440]   That is to say, I commit myself to God.
[00:02:55.440 --> 00:03:02.360]   I'm not just putting checks on check boxes and say, "Okay, I believe in this and I believe
[00:03:02.360 --> 00:03:03.360]   in that."
[00:03:03.360 --> 00:03:06.140]   It's not an intellectual proposition only.
[00:03:06.140 --> 00:03:10.200]   It is "I am committing myself to the relationship with God."
[00:03:10.200 --> 00:03:20.280]   And last week, well, we said, um, "I believe in, uh, God, the Father Almighty, Creator
[00:03:20.280 --> 00:03:22.560]   of heaven and earth."
[00:03:22.560 --> 00:03:28.760]   And we clarify one thing in the Bible, faith is not making something true.
[00:03:28.760 --> 00:03:32.960]   Faith is affirming something that is already true.
[00:03:32.960 --> 00:03:35.920]   Okay, can you repeat after me?
[00:03:35.920 --> 00:03:39.100]   Faith is not making something true.
[00:03:39.100 --> 00:03:43.080]   Faith is affirming something that is already true.
[00:03:43.080 --> 00:03:44.360]   I believe.
[00:03:44.360 --> 00:03:47.140]   I affirm something that is already true.
[00:03:47.140 --> 00:03:51.060]   So that's why you don't find any passages in the Bible trying to prove to you the existence
[00:03:51.060 --> 00:03:52.060]   of God.
[00:03:52.060 --> 00:03:54.060]   The Bible don't do that.
[00:03:54.060 --> 00:03:58.940]   Instead, in the Bible, you find a God who exists.
[00:03:58.940 --> 00:04:04.460]   You never find the Bible, never find the Bible or in Christian faith that "I believe in the
[00:04:04.460 --> 00:04:05.860]   existence of God."
[00:04:05.860 --> 00:04:08.220]   No, we don't affirm that.
[00:04:08.220 --> 00:04:12.700]   Instead, we affirm, "I believe the God who exists."
[00:04:12.700 --> 00:04:16.500]   Can you repeat after me?
[00:04:16.500 --> 00:04:19.460]   We don't affirm the existence of God.
[00:04:19.460 --> 00:04:20.460]   You say, "What?
[00:04:20.460 --> 00:04:21.460]   That's a church."
[00:04:21.460 --> 00:04:22.460]   Right?
[00:04:22.460 --> 00:04:23.460]   No, we don't.
[00:04:23.460 --> 00:04:27.020]   We don't affirm the existence of God.
[00:04:27.020 --> 00:04:29.460]   We believe in the God who exists.
[00:04:29.460 --> 00:04:31.300]   That's a totally different thing.
[00:04:31.300 --> 00:04:37.100]   The first statement, "I believe in the existence of God," is just an intellectual thing.
[00:04:37.100 --> 00:04:42.980]   But if I believe or I'm believing into the God who exists, who relates to you, who loves
[00:04:42.980 --> 00:04:46.740]   you, who redeems you, that's a totally different ballgame, right?
[00:04:46.740 --> 00:04:49.260]   So that is what faith is all about.
[00:04:49.260 --> 00:04:57.220]   And today, I would like to unpack the first statement here and using Psalm 119.
[00:04:57.220 --> 00:05:00.220]   Sorry, Psalm 19.
[00:05:00.220 --> 00:05:02.140]   Psalm 19.
[00:05:02.140 --> 00:05:04.700]   Let me read the first six verses.
[00:05:04.700 --> 00:05:08.260]   The heavens declare the glory of God.
[00:05:08.260 --> 00:05:12.340]   The skies, the heavens, proclaim the work of His hands.
[00:05:12.340 --> 00:05:15.340]   Day after day, they pour forth speech.
[00:05:15.340 --> 00:05:19.060]   Night after night, they display knowledge.
[00:05:19.060 --> 00:05:23.460]   There's no speech or language where their voice is not heard.
[00:05:23.460 --> 00:05:30.020]   Their voice goes out into all the earth, worse to the ends of the earth.
[00:05:30.020 --> 00:05:33.780]   In the heavens, He has pitched a tent for the sun.
[00:05:33.780 --> 00:05:34.780]   God has done that.
[00:05:34.780 --> 00:05:39.300]   God has pitched a tent for the sun, which is like a bridegroom coming forth from his
[00:05:39.300 --> 00:05:45.300]   pavilion, like a champion rejoicing to run his course.
[00:05:45.300 --> 00:05:52.820]   It rises, talking about the sun, at one end of heavens and make a circuit to the other.
[00:05:52.820 --> 00:05:57.260]   Nothing is hidden from the heat of the sun.
