
[00:00:00.000 --> 00:00:01.560]   Good morning, UV.
[00:00:01.560 --> 00:00:05.400]   It's good to be with you all again today
[00:00:05.400 --> 00:00:07.360]   and just opening up the word of God.
[00:00:07.360 --> 00:00:11.640]   Okay, cool.
[00:00:11.640 --> 00:00:15.280]   All right, so compared to the generations
[00:00:15.280 --> 00:00:18.520]   that come before us, I would say that we live
[00:00:18.520 --> 00:00:22.920]   in a world of extreme convenience, right?
[00:00:22.920 --> 00:00:26.060]   What do I mean by that, a world of extreme convenience?
[00:00:26.060 --> 00:00:29.000]   Well, if you have a question about something
[00:00:29.000 --> 00:00:32.920]   or you need information about a specific topic,
[00:00:32.920 --> 00:00:34.480]   you don't have to go through the hassle
[00:00:34.480 --> 00:00:36.560]   of figuring it out on your own right now.
[00:00:36.560 --> 00:00:40.200]   You can just pull out your phone, put out your computer,
[00:00:40.200 --> 00:00:43.280]   and just type the questions in Google or chat GPT now,
[00:00:43.280 --> 00:00:46.960]   and you can probably get your answers instantly as well.
[00:00:46.960 --> 00:00:51.000]   Or if you wake up in the morning and find out that,
[00:00:51.000 --> 00:00:53.840]   oh, I'm actually running out of my coffee beans,
[00:00:53.840 --> 00:00:55.800]   you can just put an order in Amazon
[00:00:55.800 --> 00:00:58.240]   and have it delivered overnight
[00:00:58.240 --> 00:01:02.400]   and sometimes even on the same day as well, right?
[00:01:02.400 --> 00:01:05.440]   So not only are we able to have a lot of information
[00:01:05.440 --> 00:01:08.380]   on our fingertips or get the things that we want
[00:01:08.380 --> 00:01:10.880]   as quickly as possible now,
[00:01:10.880 --> 00:01:13.060]   but we can also get the things that we want
[00:01:13.060 --> 00:01:16.080]   any time of the day now.
[00:01:16.080 --> 00:01:18.000]   So as I was preparing for my sermon this week,
[00:01:18.000 --> 00:01:22.760]   I was curious about where this phrase 24/7 comes from.
[00:01:22.760 --> 00:01:24.960]   And as a perfect example of living
[00:01:24.960 --> 00:01:27.240]   in this world of extreme convenience,
[00:01:27.240 --> 00:01:31.200]   obviously I did some quick research on Google.
[00:01:31.200 --> 00:01:32.360]   And guess what?
[00:01:32.360 --> 00:01:35.920]   This phrase actually originated in the United States
[00:01:35.920 --> 00:01:38.060]   in the late 20th century,
[00:01:38.060 --> 00:01:40.500]   originally in the world of sports.
[00:01:40.500 --> 00:01:44.920]   But since then, we see an increasing amount of businesses
[00:01:44.920 --> 00:01:49.760]   that is modeled after this idea of 24 hours a day,
[00:01:49.760 --> 00:01:53.360]   seven days a week, like 7-Eleven.
[00:01:54.360 --> 00:01:57.480]   Fast food restaurants like McDonald's
[00:01:57.480 --> 00:02:02.400]   or ride share business like Uber or Lyft.
[00:02:02.400 --> 00:02:05.480]   Or customer service hotlines,
[00:02:05.480 --> 00:02:08.080]   online businesses, et cetera, et cetera.
[00:02:08.080 --> 00:02:14.000]   However, way before this idea of 24/7 gains popularity
[00:02:14.000 --> 00:02:16.480]   and became the norm of our society,
[00:02:16.480 --> 00:02:20.640]   there's actually a group of Christians called the Moravian
[00:02:20.640 --> 00:02:24.660]   who started a 24/7 prayer watch,
[00:02:24.660 --> 00:02:29.660]   not just for a day or a week or a month
[00:02:29.660 --> 00:02:33.040]   or a year or a decade.
[00:02:33.040 --> 00:02:36.600]   But on August 27, 1727,
[00:02:36.600 --> 00:02:39.520]   this group of 24 men and 24 women
[00:02:39.520 --> 00:02:44.040]   from this Moravian community of Hernhut in Saxony, Germany,
[00:02:44.040 --> 00:02:46.600]   they committed to pray in hourly shifts,
[00:02:46.600 --> 00:02:50.260]   covering each and every hours of the day continuously.
[00:02:51.260 --> 00:02:53.380]   And this around-the-clock prayer change
[00:02:53.380 --> 00:02:57.460]   actually lasted for more than 100 years,
[00:02:57.460 --> 00:03:00.220]   sparking a revival within this community
[00:03:00.220 --> 00:03:02.660]   and transforming this tiny village of Hernhut
[00:03:02.660 --> 00:03:05.140]   into one of the most important hubs
[00:03:05.140 --> 00:03:09.540]   for Protestant global mission movement in the 18th century.
[00:03:09.540 --> 00:03:11.020]   And they also laid the foundation
