
[00:00:00.000 --> 00:00:01.000]   Okay.
[00:00:01.000 --> 00:00:02.000]   [speaking in Chinese]
[00:00:02.000 --> 00:00:03.000]   >> Good morning everyone.
[00:00:03.000 --> 00:00:04.000]   I hope all of you are awake to worship God this morning.
[00:00:04.000 --> 00:00:05.000]   [speaking in Chinese]
[00:00:05.000 --> 00:00:06.000]   >> Usually when a friend tells us that they have not been sleeping well, we usually ask
[00:00:06.000 --> 00:00:07.000]   him, "Are you under a lot of stress or more pressure?"
[00:00:07.000 --> 00:00:08.000]   And he would say, "No, I'm not."
[00:00:08.000 --> 00:00:09.000]   >> [speaking in Chinese]
[00:00:09.000 --> 00:00:10.000]   >> "I'm not stressed.
[00:00:10.000 --> 00:00:11.000]   I'm just a little bit tired."
[00:00:11.000 --> 00:00:12.000]   >> [speaking in Chinese]
[00:00:12.000 --> 00:00:13.000]   >> "I'm just a little bit tired.
[00:00:13.000 --> 00:00:14.000]   I'm just a little bit tired.
[00:00:14.000 --> 00:00:15.000]   I'm just a little bit tired.
[00:00:15.000 --> 00:00:16.000]   I'm just a little bit tired.
[00:00:16.000 --> 00:00:17.000]   I'm just a little bit tired.
[00:00:17.000 --> 00:00:18.000]   I'm just a little bit tired.
[00:00:18.000 --> 00:00:19.000]   I'm just a little bit tired.
[00:00:19.000 --> 00:00:20.000]   I'm just a little bit tired.
[00:00:20.000 --> 00:00:21.000]   I'm just a little bit tired.
[00:00:21.000 --> 00:00:30.000]   I'm just a little bit tired."
[00:00:30.000 --> 00:00:33.000]   >> [speaking in Chinese]
[00:00:33.000 --> 00:00:38.000]   >> Because for us, a mattress actually has a big impact on your sleep quality.
[00:00:38.000 --> 00:00:44.000]   And in order to sleep better, we need to choose a mattress that has a good quality.
[00:00:44.000 --> 00:00:51.000]   >> [speaking in Chinese]
[00:00:51.000 --> 00:01:04.000]   >> You can take a look at this mattress.
[00:01:04.000 --> 00:01:09.000]   Can you guess how much it costs?
[00:01:09.000 --> 00:01:28.000]   >> [speaking in Chinese]
[00:01:28.000 --> 00:01:29.000]   >> So just a few hints here.
[00:01:29.000 --> 00:01:32.000]   This is made in Sweden entirely by hand.
[00:01:32.000 --> 00:01:38.000]   And it took about 600 hours of labor with horse hair, wool, and cotton laid one layer at a time.
[00:01:38.000 --> 00:01:41.000]   And then paired with some Swedish pine.
[00:01:41.000 --> 00:01:43.000]   >> [speaking in Chinese]
[00:01:43.000 --> 00:01:45.000]   >> So can you guess how much it costs now?
[00:01:45.000 --> 00:01:46.000]   >> 50k?
[00:01:46.000 --> 00:01:48.000]   >> 30k?
[00:01:48.000 --> 00:01:50.000]   >> More, more.
[00:01:50.000 --> 00:01:52.000]   >> More?
[00:01:52.000 --> 00:02:01.000]   >> [speaking in Chinese]
[00:02:01.000 --> 00:02:07.000]   >> None of you get it close, but this mattress actually costs a million.
[00:02:07.000 --> 00:02:16.000]   >> [speaking in Chinese]
[00:02:16.000 --> 00:02:19.000]   >> And the mattress alone is 600,000.
[00:02:19.000 --> 00:02:24.000]   Because some people feel like it is worth it to pay this amount of money to get this.
[00:02:24.000 --> 00:02:36.000]   >> [speaking in Chinese]
[00:02:36.000 --> 00:02:41.000]   >> So this morning we will look at a passage where the main character will carry his personal mattress.
[00:02:41.000 --> 00:02:44.000]   Although it is probably a very worn out passage.
[00:02:44.000 --> 00:02:48.000]   And for decades he had to carry around with that mat with him.
[00:02:48.000 --> 00:03:00.000]   >> [speaking in Chinese]
[00:03:00.000 --> 00:03:06.000]   >> Until one day he met Jesus and Jesus told him to get up and walk and to carry his man as well.
[00:03:06.000 --> 00:03:09.000]   But then he was being told that he had broken the law.
[00:03:09.000 --> 00:03:11.000]   So what exactly happened?
[00:03:11.000 --> 00:03:14.000]   >> [speaking in Chinese]
[00:03:14.000 --> 00:03:17.000]   >> John chapter 5, 1 to 8.
[00:03:17.000 --> 00:03:23.000]   >> [speaking in Chinese]
[00:03:23.000 --> 00:03:27.000]   >> After this there was a feast of the Jews and Jesus went up to Jerusalem.
[00:03:27.000 --> 00:03:40.000]   >> [speaking in Chinese]
[00:03:40.000 --> 00:03:48.000]   >> Now there is in Jerusalem by the Shitt Gate a pool in Aramaic called Bethesda, which has five roofed colonies.
[00:03:48.000 --> 00:03:53.000]   And in these lay a multitude of invalids, the blind, lame, and paralyzed.
[00:03:53.000 --> 00:03:56.000]   >> [speaking in Chinese]
[00:03:56.000 --> 00:04:01.000]   >> One man was there who had been invalid for 38 years.
[00:04:01.000 --> 00:04:07.000]   >> [speaking in Chinese]
[00:04:07.000 --> 00:04:14.000]   >> When Jesus saw him lying there and knew that he had already been there a long time, he said to him, "Do you want to be healed?"
[00:04:14.000 --> 00:04:22.000]   >> [speaking in Chinese]
[00:04:22.000 --> 00:04:27.000]   >> The sick man answered him, "Sir, I have no one to put me into the pool when the water is stirred up.
[00:04:27.000 --> 00:04:31.000]   And while I'm going, another always gets stirred before me."
[00:04:31.000 --> 00:04:38.000]   >> [speaking in Chinese]
[00:04:38.000 --> 00:04:41.000]   >> Jesus said to him, "Get up, take up your bed, and walk."
