
[00:00:00.000 --> 00:00:05.200]  第二節也是講到比對研究
[00:00:05.200 --> 00:00:08.900]  但不是講上一次,上一次是有必要的
[00:00:08.900 --> 00:00:13.000]  因為帶著我們的文化背景
[00:00:13.000 --> 00:00:17.300]  發展是怎樣的呢?先講18世紀
[00:00:17.300 --> 00:00:20.500]  剛才我們講過18世紀之前
[00:00:20.500 --> 00:00:24.300]  對聖經背後的世界幾乎沒有認知
[00:00:24.300 --> 00:00:27.800]  都是帶著歐洲人的眼光去看
[00:00:27.800 --> 00:00:36.800]  18世紀之前能夠知道聖經舊約背後的世界
[00:00:36.800 --> 00:00:40.800]  有的資料其實不是很多
[00:00:40.800 --> 00:00:44.800]  有些甚麼資料我們可以在18世紀之前
[00:00:44.800 --> 00:00:49.800]  能夠知道希伯來聖經背後的世界
[00:00:49.800 --> 00:00:58.400]  例如希羅文化的作家埃及或巴比倫的古代文獻
[00:00:58.400 --> 00:01:00.900]  留給我們的例如Herodotus
[00:01:00.900 --> 00:01:07.900]  希羅多德,所謂的現代歷史之父
[00:01:07.900 --> 00:01:09.600]  Father of History
[00:01:09.600 --> 00:01:11.600]  他寫了很多東西,叫做History
[00:01:11.600 --> 00:01:14.800]  一大堆的寫作
[00:01:14.800 --> 00:01:20.800]  講述當時波斯帝國發生甚麼事,希臘發生甚麼事等等
[00:01:20.800 --> 00:01:23.800]  他有時會講述巴比倫的世界
[00:01:23.800 --> 00:01:26.800]  講述巴比倫的建築等等
[00:01:26.800 --> 00:01:29.800]  我們看到他所活的時代
[00:01:29.800 --> 00:01:35.800]  就是主前大概四五世紀
[00:01:35.800 --> 00:01:41.800]  這個Herodotus我們就可以有少少的資料
[00:01:41.800 --> 00:01:46.800]  他所寫的東西,告訴我們舊約的世界是怎樣
[00:01:46.800 --> 00:01:54.800]  或者Manifold,埃及的一個祭司
[00:01:54.800 --> 00:01:56.800]  他寫了很多東西
[00:01:56.800 --> 00:02:03.800]  講述他古埃及的種族,文化,文明
[00:02:03.800 --> 00:02:07.800]  幾遠古的文明,一路追溯一路寫出來
[00:02:07.800 --> 00:02:10.800]  他留下了很多東西
[00:02:10.800 --> 00:02:15.800]  今天有很多講到古代埃及的歷史
[00:02:15.800 --> 00:02:24.800]  都是用Manifold這個人留下的文獻重構出來
[00:02:24.800 --> 00:02:29.800]  這些是希羅或近東的作家
[00:02:29.800 --> 00:02:32.800]  猶太人的文獻都有
[00:02:32.800 --> 00:02:36.800]  有一個很出名的,第一世紀和耶穌時代
[00:02:36.800 --> 00:02:39.800]  在他時代的一個歷史學家
[00:02:39.800 --> 00:02:43.800]  猶太人叫做Josephus
[00:02:43.800 --> 00:02:46.800]  Josephus就是37至100AD
[00:02:46.800 --> 00:02:50.800]  主後37至100年的時候活著的人
[00:02:50.800 --> 00:02:53.800]  他寫了很多著作
[00:02:53.800 --> 00:03:00.800]  講述他自己猶太人文明的傳統
[00:03:00.800 --> 00:03:02.800]  他的文化
[00:03:02.800 --> 00:03:08.800]  所以他有一套書叫Antiquities of the Jews
[00:03:08.800 --> 00:03:10.800]  就是猶太古事
[00:03:10.800 --> 00:03:13.800]  中文翻譯出來
[00:03:13.800 --> 00:03:15.800]  是非常好的參考
[00:03:15.800 --> 00:03:17.800]  因為他由創世紀開始講
[00:03:17.800 --> 00:03:24.800]  他講述創世紀、摩西的背景等等
[00:03:24.800 --> 00:03:31.800]  另外一個猶太的歷史學家或哲學家
[00:03:31.800 --> 00:03:33.800]  就是Phylo
[00:03:33.800 --> 00:03:41.800]  Phylo也是公元前主前20年至主後50年的人
[00:03:41.800 --> 00:03:43.800]  也是耶穌時代的人
[00:03:43.800 --> 00:03:46.800]  他住在亞歷山大港
[00:03:46.800 --> 00:03:48.800]  就是Alexandria
[00:03:48.800 --> 00:03:50.800]  Alexandria在哪裏呢?
[00:03:50.800 --> 00:03:53.800]  就是在Rosetto附近
[00:03:53.800 --> 00:03:57.800]  Alexandria是當時最大的海港
[00:03:57.800 --> 00:03:59.800]  在東地中海裏
[00:03:59.800 --> 00:04:04.800]  他寫了很多猶太人的宗教信仰
[00:04:04.800 --> 00:04:09.800]  和希臘的哲學有甚麼的互動
