
[00:00:00.000 --> 00:00:05.000]  我跟傑少一樣,我有一點作病
[00:00:05.000 --> 00:00:09.000]  話說上星期中的時候
[00:00:09.000 --> 00:00:14.000]  你知道我兒子在西郊找到工作,他不是在家裡住
[00:00:14.000 --> 00:00:19.000]  他在別人家裡住,租了一個地方
[00:00:19.000 --> 00:00:24.000]  他在星期中發訊息給我們,說他病得很嚴重
[00:00:24.000 --> 00:00:27.000]  他說他想回家
[00:00:27.000 --> 00:00:32.000]  他休息了幾天,回家了
[00:00:32.000 --> 00:00:37.000]  我心想,你有病,你回家?
[00:00:37.000 --> 00:00:40.000]  你應該留在別人家裡
[00:00:40.000 --> 00:00:45.000]  真的很孝順,他病了,想回家
[00:00:45.000 --> 00:00:49.000]  不知道怎麼回答他,結果他真的回家了
[00:00:49.000 --> 00:00:54.000]  戴著口罩,病得飛起來,今天教會去不了
[00:00:54.000 --> 00:00:59.000]  所以覺得很有家教
[00:00:59.000 --> 00:01:06.000]  我去拿杯水,害我今天有點氣咳
[00:01:06.000 --> 00:01:08.000]  沒辦法,太有家教
[00:01:08.000 --> 00:01:11.000]  說笑就說笑,大家保重身體
[00:01:11.000 --> 00:01:15.000]  因為我們這裡芝加哥特別寒冷
[00:01:15.000 --> 00:01:18.000]  我們要說聖誕節的故事
[00:01:18.000 --> 00:01:24.000]  聖誕節的故事是說基督的降生
[00:01:24.000 --> 00:01:26.000]  在聖經裡只有兩個地方
[00:01:26.000 --> 00:01:28.000]  如果第一次接觸聖經的話
[00:01:28.000 --> 00:01:30.000]  去看聖誕的故事只有兩個地方
[00:01:30.000 --> 00:01:33.000]  新約聖經裡的第一本書叫《瑪太夫》
[00:01:33.000 --> 00:01:37.000]  第三本書叫《路加夫》
[00:01:37.000 --> 00:01:42.000]  說到基督的降生的故事,一些情節等等
[00:01:42.000 --> 00:01:45.000]  我們通常看這個故事的時候
[00:01:45.000 --> 00:01:48.000]  會想起一些聖誕卡
[00:01:48.000 --> 00:01:54.000]  或者在城市裡走,或者看到一些相片
[00:01:54.000 --> 00:01:57.000]  有些比較溫馨的畫面
[00:01:57.000 --> 00:02:00.000]  我們今天想看這段聖經
[00:02:00.000 --> 00:02:02.000]  《瑪太夫》第二章,我們看看
