
[00:00:00.000 --> 00:00:03.920]  這次講到聖經的創世紀第二章
[00:00:03.920 --> 00:00:07.120]  第二章講到伊甸園
[00:00:07.120 --> 00:00:09.580]  亞當夏娃等等的故事
[00:00:09.580 --> 00:00:11.580]  上一次我們講到第一章
[00:00:11.580 --> 00:00:14.680]  就是講到這個釋經的問題
[00:00:14.680 --> 00:00:17.800]  就是我們釋經上需要有一些工具
[00:00:17.800 --> 00:00:19.480]  就是有一些概念
[00:00:19.480 --> 00:00:23.120]  有些概念可以幫助我們理解一段聖經
[00:00:23.120 --> 00:00:25.560]  無論是看創世紀的頭幾章
[00:00:25.560 --> 00:00:30.240]  當然頭幾章已經是有它複雜的程度
[00:00:30.240 --> 00:00:32.240]  有它的難度
[00:00:32.240 --> 00:00:36.580]  但是其實新約也好舊約也好
[00:00:36.580 --> 00:00:38.580]  這些都可以幫助我們
[00:00:38.580 --> 00:00:41.440]  我上一次講過一些釋經的事業
[00:00:41.440 --> 00:00:42.940]  每次我們讀經
[00:00:42.940 --> 00:00:43.920]  看聖經
[00:00:43.920 --> 00:00:44.880]  教聖經
[00:00:44.880 --> 00:00:47.360]  我們都要去到有一些事業
[00:00:47.360 --> 00:00:49.360]  你當作是一些工具
[00:00:49.360 --> 00:00:52.900]  第一個工具就是
[00:00:53.520 --> 00:00:57.160]  聖經的世界不是我們現代人的世界
[00:00:57.160 --> 00:01:00.560]  這個應該大家都很清楚很明白了
[00:01:00.560 --> 00:01:02.560]  因為聖經的語言
[00:01:02.560 --> 00:01:04.200]  它的語境
[00:01:04.200 --> 00:01:05.960]  它的文化背景
[00:01:05.960 --> 00:01:08.200]  都跟我們是不同的
[00:01:08.200 --> 00:01:12.000]  縱使聖經已經翻譯成我們現代的語言
[00:01:12.000 --> 00:01:13.840]  中文或者看英文
[00:01:13.840 --> 00:01:15.840]  現在國際的語言無論如何
[00:01:15.840 --> 00:01:19.600]  但是我們都知道要有一些原文
[00:01:19.600 --> 00:01:23.920]  有一些古代近東的作品
[00:01:23.920 --> 00:01:25.920]  古代近東的一些文獻
[00:01:25.920 --> 00:01:29.080]  讓我們可以參照一下
[00:01:29.080 --> 00:01:33.280]  到底聖經跟當時的文獻怎麼去對話
[00:01:33.280 --> 00:01:35.800]  聖經跟當時的文化
[00:01:35.800 --> 00:01:38.160]  怎麼去做一些抗衡也好
[00:01:38.160 --> 00:01:41.360]  或者跟它有一些爭辯也好
[00:01:41.360 --> 00:01:43.520]  甚至聖經考古
[00:01:43.520 --> 00:01:45.280]  我就是讀聖經考古的
[00:01:45.280 --> 00:01:46.880]  所以有一些
[00:01:46.880 --> 00:01:48.880]  過去200年
[00:01:48.880 --> 00:01:52.400]  在中東在以色列巴勒斯坦地找到的東西
[00:01:52.400 --> 00:01:53.920]  怎麼去幫助我們
[00:01:53.920 --> 00:01:56.400]  能夠明白
[00:01:56.400 --> 00:01:58.600]  以前聖經的世界
[00:01:58.600 --> 00:02:01.240]  怎麼去表達一些信息
[00:02:01.240 --> 00:02:04.440]  所以做了一些這樣的比對研究
[00:02:04.440 --> 00:02:07.240]  讓我們能夠明白它的背景
[00:02:07.240 --> 00:02:10.480]  另外就是一些的文理
[00:02:10.480 --> 00:02:11.160]  上下文
[00:02:11.160 --> 00:02:12.960]  我們要知道題材
[00:02:12.960 --> 00:02:14.240]  知道一些結構
[00:02:14.240 --> 00:02:15.400]  修辭的技巧
[00:02:15.400 --> 00:02:16.440]  上次說過
[00:02:16.560 --> 00:02:19.160]  《創世紀》第一章
[00:02:19.160 --> 00:02:21.160]  有很多作者
[00:02:21.160 --> 00:02:22.680]  希伯來作者
[00:02:22.680 --> 00:02:25.640]  他自己的修辭技巧
[00:02:25.640 --> 00:02:28.360]  他放在了經文裡面
[00:02:28.360 --> 00:02:29.520]  是要讀者
[00:02:29.520 --> 00:02:31.960]  要聽眾去留意的
[00:02:31.960 --> 00:02:35.720]  第三就是去了解一下解經的歷史
[00:02:35.720 --> 00:02:37.960]  過去教會由新約
[00:02:37.960 --> 00:02:39.360]  《史圖行傳》
[00:02:39.360 --> 00:02:40.880]  《史圖時代》
[00:02:40.880 --> 00:02:42.160]  到現在有2000年
[00:02:42.160 --> 00:02:44.760]  我們累積了很多的經驗
[00:02:44.760 --> 00:02:48.040]  沒有一個人可以看聖經是自己一個人看
[00:02:48.040 --> 00:02:49.240]  一張白紙去看的
[00:02:49.240 --> 00:02:54.040]  我們總會有所謂道統的共識
[00:02:54.040 --> 00:02:56.000]  過去教會
[00:02:56.000 --> 00:02:58.440]  對於神學的教義
[00:02:58.440 --> 00:02:59.440]  聖經的解釋
[00:02:59.440 --> 00:03:04.520]  有一些某程度上的認知
[00:03:04.520 --> 00:03:06.600]  這些認知的歷史可以幫助我們
[00:03:06.600 --> 00:03:09.200]  有時候教會可能會搞錯了
[00:03:09.200 --> 00:03:11.240]  未必解得這麼通
[00:03:11.240 --> 00:03:14.120]  但是很多時候在這些碟碰碰裡面
[00:03:14.120 --> 00:03:16.360]  上帝給我們一點點能夠明白
[00:03:16.360 --> 00:03:18.360]  聖經的一些信息
[00:03:18.360 --> 00:03:21.240]  這個大家可能會覺得
[00:03:21.240 --> 00:03:23.760]  聖經有時候解錯怎麼辦?
[00:03:23.760 --> 00:03:24.760]  很麻煩的
[00:03:24.760 --> 00:03:26.880]  大家知道
