
[00:00:00.000 --> 00:00:06.160]  我們講到迦南地的地理和聖經地的地理
[00:00:06.160 --> 00:00:09.480]  我們在不同方面不同角度去看
[00:00:09.480 --> 00:00:12.920]  所以這次繼續講聖經地理
[00:00:12.920 --> 00:00:17.920]  這個地理告訴我們這個地圖是以色列
[00:00:17.920 --> 00:00:19.920]  以色列或者巴勒斯坦地
[00:00:19.920 --> 00:00:21.920]  或者我們叫它中間之地
[00:00:21.920 --> 00:00:28.880]  在海洋地中海和沙漠中間
[00:00:28.880 --> 00:00:31.600]  約旦河東這個地方
[00:00:31.600 --> 00:00:36.000]  過一點就是今天的沙地阿拉伯北邊
[00:00:36.000 --> 00:00:38.400]  就是沙地阿拉伯的沙漠
[00:00:38.400 --> 00:00:44.720]  是一個像隧道一樣的走廊
[00:00:44.720 --> 00:00:46.720]  一條橋
[00:00:46.720 --> 00:00:49.200]  最現在的以色列國
[00:00:49.200 --> 00:00:53.200]  最寬就是115公里
[00:00:53.200 --> 00:00:55.200]  72英里
[00:00:55.200 --> 00:01:01.280]  所以由左至右海邊開車去到死海
[00:01:01.280 --> 00:01:03.280]  由這邊開車去到這邊
[00:01:03.280 --> 00:01:05.280]  都是一個多小時
[00:01:05.280 --> 00:01:09.280]  公路來說是一個多小時
[00:01:09.280 --> 00:01:11.280]  所以很窄
[00:01:11.280 --> 00:01:13.280]  一條地橋
[00:01:13.280 --> 00:01:15.280]  由最上面的北黑門山
[00:01:15.280 --> 00:01:21.280]  到下面今天這個地方紅海另外一個灣
[00:01:21.280 --> 00:01:23.280]  這裡是420公里
[00:01:23.280 --> 00:01:25.280]  263英里
[00:01:25.280 --> 00:01:29.280]  所以你看到是一個長長的
[00:01:29.280 --> 00:01:33.280]  左邊就是地中海
[00:01:33.280 --> 00:01:35.280]  右邊就是東邊的沙漠
[00:01:35.280 --> 00:01:39.280]  叫做Eastern Desert
[00:01:39.280 --> 00:01:41.280]  所以在海洋和沙漠中間
[00:01:41.280 --> 00:01:49.280]  這裡有的氣候都是屬於地中海氣候
[00:01:49.280 --> 00:01:55.280]  主要來說地中海氣候
[00:01:55.280 --> 00:01:57.280]  就是夏天
[00:01:57.280 --> 00:02:01.280]  大概4月至9月
[00:02:01.280 --> 00:02:05.280]  夏天是乾和熱的
[00:02:05.280 --> 00:02:11.280]  10月尾至明年3月4月
[00:02:11.280 --> 00:02:13.280]  就是雨季
[00:02:13.280 --> 00:02:15.280]  比較冷的
[00:02:15.280 --> 00:02:17.280]  所以有濕有冷
[00:02:17.280 --> 00:02:19.280]  大概有兩個季節
[00:02:19.280 --> 00:02:21.280]  春夏秋冬
[00:02:21.280 --> 00:02:23.280]  感受上只有兩個季節
[00:02:23.280 --> 00:02:25.280]  一個是夏天是乾的
[00:02:25.280 --> 00:02:27.280]  一個是冬天是冷的
[00:02:27.280 --> 00:02:29.280]  是濕的是雨季
[00:02:29.280 --> 00:02:33.280]  所以這個就是迦南地
