
[00:00:00.000 --> 00:00:02.680]  各位好 來到我們這個Advent
[00:00:02.680 --> 00:00:04.280]  即是將臨節我們叫做
[00:00:04.280 --> 00:00:07.840]  或者迎接一個聖誕的彌臨
[00:00:07.840 --> 00:00:11.240]  有一件事就是我們幾個星期都會做的
[00:00:11.240 --> 00:00:12.160]  就是點蠟燭
[00:00:12.160 --> 00:00:14.160]  點蠟燭是一個很小的傳統
[00:00:14.160 --> 00:00:16.960]  在教會歷史裡面時常都會做的
[00:00:16.960 --> 00:00:18.960]  就是聖誕節之前那幾個星期
[00:00:18.960 --> 00:00:20.960]  每一個星期我們點一支蠟燭
[00:00:20.960 --> 00:00:24.560]  這個不是應節這麼簡單
[00:00:24.560 --> 00:00:27.200]  也是告訴我們聖誕節是什麼意思
[00:00:27.200 --> 00:00:29.200]  我們生活很忙的
[00:00:29.200 --> 00:00:32.200]  有時候那個節日來到的時候
[00:00:32.200 --> 00:00:33.400]  我們才預備
[00:00:33.400 --> 00:00:35.400]  或者甚至忘記了
[00:00:35.400 --> 00:00:37.400]  將臨節就是幫助我們
[00:00:37.400 --> 00:00:39.400]  有幾十天的時間 幾個星期
[00:00:39.400 --> 00:00:43.400]  去想清楚到底聖誕節是什麼意思
[00:00:43.400 --> 00:00:45.400]  當你去到聖誕節的時候
[00:00:45.400 --> 00:00:47.400]  或者聖誕節附近的時候
[00:00:47.400 --> 00:00:48.400]  你說Merry Christmas
[00:00:48.400 --> 00:00:50.400]  說聖誕節快樂的時候
[00:00:50.400 --> 00:00:52.400]  到底是什麼意思呢
[00:00:52.400 --> 00:00:53.400]  有一個問題想問大家
[00:00:53.400 --> 00:00:55.400]  如果你想去
[00:00:55.400 --> 00:00:56.400]  如果有人問你
[00:00:56.400 --> 00:00:58.400]  可能有些人沒看過聖經
[00:00:58.400 --> 00:01:00.400]  對聖誕節沒什麼認識
[00:01:00.400 --> 00:01:03.400]  或者他不知道聖經裡面怎麼說聖誕節
[00:01:03.400 --> 00:01:05.400]  如果用三分鐘跟他解釋
[00:01:05.400 --> 00:01:07.400]  聖誕節是一回什麼事呢
[00:01:07.400 --> 00:01:09.400]  什麼叫Christmas
[00:01:09.400 --> 00:01:11.400]  你會怎麼說
[00:01:11.400 --> 00:01:13.400]  三分鐘
[00:01:13.400 --> 00:01:16.400]  聖誕節是一回什麼事
[00:01:16.400 --> 00:01:18.400]  我們這幾個星期就會去看看
[00:01:18.400 --> 00:01:21.400]  到底聖經裡面怎麼去描述
[00:01:21.400 --> 00:01:24.400]  還有怎麼去預備
[00:01:24.400 --> 00:01:26.400]  救主的降生
[00:01:26.400 --> 00:01:28.400]  如何去預備所謂聖誕
[00:01:28.400 --> 00:01:32.400]  我想有一個心態是很重要的
[00:01:32.400 --> 00:01:33.400]  在這幾個星期裡面
[00:01:33.400 --> 00:01:34.400]  我都鼓勵大家
[00:01:34.400 --> 00:01:35.400]  你有聖經的話
[00:01:35.400 --> 00:01:37.400]  應該每個人都會有聖經
[00:01:37.400 --> 00:01:38.400]  現在你有電話就有聖經
[00:01:38.400 --> 00:01:39.400]  你去聖經那裡
[00:01:39.400 --> 00:01:41.400]  不妨看一看
[00:01:41.400 --> 00:01:42.400]  這幾個星期
[00:01:42.400 --> 00:01:45.400]  福音書怎麼去描述聖誕節
[00:01:45.400 --> 00:01:49.400]  特別是馬太福音和盧家福音
[00:01:49.400 --> 00:01:51.400]  都會說到一點點
[00:01:51.400 --> 00:01:54.400]  救主降生的事情
[00:01:54.400 --> 00:01:56.400]  看的時候我需要有一個心態
[00:01:56.400 --> 00:01:58.400]  那個心態是什麼呢
[00:01:58.400 --> 00:02:02.400]  就是一種Wonder
[00:02:02.400 --> 00:02:05.400]  我們應該有一種Sense of Wonder
[00:02:05.400 --> 00:02:09.400]  就是有一種驚喜的感覺
[00:02:09.400 --> 00:02:10.400]  那種驚喜的感覺
[00:02:10.400 --> 00:02:12.400]  不要因為每年都過聖誕節
[00:02:12.400 --> 00:02:14.400]  我們就覺得沒什麼所謂
[00:02:14.400 --> 00:02:16.400]  驚喜的感覺是什麼呢
[00:02:16.400 --> 00:02:18.400]  就是救主的降臨
[00:02:18.400 --> 00:02:20.400]  一個生命的降臨
[00:02:20.400 --> 00:02:22.400]  大家有小孩的
[00:02:22.400 --> 00:02:26.400]  記不記得第一胎在產房的時候的感覺
[00:02:26.400 --> 00:02:27.400]  有沒有Wonder
[00:02:27.400 --> 00:02:29.400]  還是你很害怕
[00:02:29.400 --> 00:02:31.400]  看到血淋淋很害怕
[00:02:31.400 --> 00:02:34.400]  抱著小孩
[00:02:34.400 --> 00:02:36.400]  你不用真正去產房
[00:02:36.400 --> 00:02:38.400]  你都可以感受得到
[00:02:38.400 --> 00:02:40.400]  那種Wonder
[00:02:40.400 --> 00:02:43.400]  一個新生命來到這個世間
[00:02:43.400 --> 00:02:45.400]  何況是一個神的兒子
[00:02:45.400 --> 00:02:48.400]  耶穌基督降臨在這個世間上
[00:02:48.400 --> 00:02:49.400]  那個Sense of Wonder
