
[00:00:00.000 --> 00:00:04.000]   Okay. Okay.
[00:00:04.000 --> 00:00:10.000]   Before we begin, I'd like to ask everyone a question.
[00:00:10.000 --> 00:00:13.000]   Do any of you pray for the brothers and sisters
[00:00:13.000 --> 00:00:19.000]   who serve on Sundays, especially this weekend?
[00:00:19.000 --> 00:00:21.000]   If you do, I want to thank you.
[00:00:21.000 --> 00:00:24.000]   Because every time I give a sermon,
[00:00:24.000 --> 00:00:28.000]   I am filled with fear and anxiety.
[00:00:28.000 --> 00:00:31.000]   Let alone today I'm preaching in English.
[00:00:31.000 --> 00:00:35.000]   Lord, have mercy on me.
[00:00:35.000 --> 00:00:42.000]   Today I hope to discuss Romans chapter 12, 1 to 2 with you.
[00:00:42.000 --> 00:00:48.000]   And I encourage everyone to reflect more deeply on the message within.
[00:00:48.000 --> 00:00:51.000]   Let's pray.
[00:00:51.000 --> 00:00:56.000]   Dear Lord, our God, we thank and praise you.
[00:00:56.000 --> 00:00:59.000]   We dedicate this hour to you.
[00:00:59.000 --> 00:01:03.000]   Anoint the lips of your child.
[00:01:03.000 --> 00:01:08.000]   Let your words be spoken with power and authority.
[00:01:08.000 --> 00:01:14.000]   May the Holy Spirit work in people's heart as they listen to you.
[00:01:14.000 --> 00:01:19.000]   In Jesus' name we pray. Amen.
[00:01:19.000 --> 00:01:25.000]   The book of Romans is a very important book in the Bible.
[00:01:25.000 --> 00:01:32.000]   Well, you might say, like, every book in the Bible is important, right?
[00:01:32.000 --> 00:01:35.000]   By important, I mean that the book of Romans
[00:01:35.000 --> 00:01:42.000]   has had a profound impact on generations of theologians.
[00:01:42.000 --> 00:01:49.000]   The theologian and philosopher Augustine in 386 AD
[00:01:49.000 --> 00:01:54.000]   repented after reading Romans 13, 13 to 14,
[00:01:54.000 --> 00:01:58.000]   and later became a renowned preacher.
[00:01:58.000 --> 00:02:03.000]   His writings still carry great weight today.
[00:02:03.000 --> 00:02:09.000]   The theologian and religious reformer Martin Luther in November 1515
[00:02:09.000 --> 00:02:17.000]   taught the main point of Romans is not about how a righteous God punishes the unrighteous,
[00:02:17.000 --> 00:02:23.000]   rather that God declares people righteous through their faith in him.
[00:02:23.000 --> 00:02:29.000]   This doctrine was the driving force behind his reform movement.
[00:02:29.000 --> 00:02:32.000]   Before we dive into Romans 12, 1 to 2,
[00:02:32.000 --> 00:02:39.000]   let me briefly summarize what was discussed in Romans chapter 1 to 11.
[00:02:39.000 --> 00:02:45.000]   In summary, Paul explained the basic teachings of Christianity,
[00:02:45.000 --> 00:02:53.000]   emphasizing that both Jews, who seem to have a higher status and were proud,
[00:02:53.000 --> 00:02:57.000]   and Gentiles, who seem to have a lower social status,
[00:02:57.000 --> 00:03:03.000]   were both God's people justified through faith in Christ,
[00:03:03.000 --> 00:03:08.000]   not by observing the Old Testament law or rituals.
[00:03:08.000 --> 00:03:13.000]   Now, as we come to Romans 12, verses 1 to 2,
[00:03:13.000 --> 00:03:18.000]   serve as a turning point from the previous chapters.
[00:03:18.000 --> 00:03:24.000]   The apostle Paul transitions from explaining the true meaning of the gospel
[00:03:24.000 --> 00:03:33.000]   to teaching believers how to live out their justified lives through faith in their daily conduct.
[00:03:33.000 --> 00:03:38.000]   Title for today, "The Perfect Sacrifice."
[00:03:38.000 --> 00:03:44.000]   Let's start by reciting Romans 12, 1 to 2.
[00:03:44.000 --> 00:03:50.000]   "I appear to you, therefore, brothers, by the mercies of God,
[00:03:50.000 --> 00:03:54.000]   to present your bodies as a living sacrifice,
[00:03:54.000 --> 00:04:00.000]   holy and acceptable to God, which is your spiritual worship.
[00:04:00.000 --> 00:04:07.000]   Do not be conformed to this world, but be transformed by the renewal of your mind,
[00:04:07.000 --> 00:04:11.000]   that by testing you may discern what is the will of God,
[00:04:11.000 --> 00:04:17.000]   what is good and acceptable and perfect."
[00:04:17.000 --> 00:04:25.000]   When I read this passage, I could easily relate it to how Paul felt at the time.
[00:04:25.000 --> 00:04:30.000]   Since 2008, our family, along with many brother and sister,
[00:04:30.000 --> 00:04:33.000]   have gone on mission trips to China.
[00:04:33.000 --> 00:04:36.000]   We almost go every summer.
[00:04:36.000 --> 00:04:40.000]   But we haven't been able to go since 2019.
[00:04:40.000 --> 00:04:46.000]   But my heart always yearns to see my brothers and sister in China.
