
[00:00:00.000 --> 00:00:03.640]  多謝主恩給我們的報告
[00:00:03.640 --> 00:00:05.120]  讓我們清醒一下
[00:00:05.120 --> 00:00:09.200]  剛才的歌很能夠幫助我們進入敬拜
[00:00:09.200 --> 00:00:15.360]  讓我們能夠有一個心來聽道
[00:00:15.360 --> 00:00:18.160]  我們一直在說這個系列
[00:00:18.160 --> 00:00:20.160]  這次我們應該是第五講
[00:00:20.160 --> 00:00:22.000]  我們講鑄棚這件事
[00:00:22.000 --> 00:00:23.480]  鑄棚是什麼一回事呢
[00:00:23.480 --> 00:00:24.480]  我們先看聖經
[00:00:24.480 --> 00:00:29.520]  然後大家可以思想一下這段聖經對我們今天有什麼意思
[00:00:29.520 --> 00:00:32.160]  講到最後的時候
[00:00:32.160 --> 00:00:35.160]  我會告訴大家有些講堂上的更新
[00:00:35.160 --> 00:00:37.160]  利美紀23章說什麼呢
[00:00:37.160 --> 00:00:39.160]  他說你們對以色列人說
[00:00:39.160 --> 00:00:40.360]  神的子民
[00:00:40.360 --> 00:00:43.000]  他說你收藏了地的出產
[00:00:43.000 --> 00:00:44.720]  從7月15日起
[00:00:44.720 --> 00:00:47.320]  要守耶路華的節有七天
[00:00:47.320 --> 00:00:48.720]  第一天你要休息
[00:00:48.720 --> 00:00:50.480]  第八天也要休息
[00:00:50.480 --> 00:00:51.600]  中間做什麼呢
[00:00:51.600 --> 00:00:55.880]  第一天首先你要拿美好樹上的枝子
[00:00:55.880 --> 00:00:56.680]  果子
[00:00:56.680 --> 00:00:58.680]  棕樹枝
[00:00:58.680 --> 00:01:01.040]  麥貌樹的枝子
[00:01:01.040 --> 00:01:04.960]  還有河邊的楊柳等等
[00:01:04.960 --> 00:01:07.360]  就是拿一些草
[00:01:07.360 --> 00:01:08.720]  這些樹枝
[00:01:08.720 --> 00:01:11.080]  在耶路華的神面前
[00:01:11.080 --> 00:01:13.480]  來去歡喜七天
[00:01:13.480 --> 00:01:15.480]  你要守節是七天的
[00:01:15.480 --> 00:01:16.840]  作為耶路華的節
[00:01:16.840 --> 00:01:20.000]  這個就是你們世世代代永遠的定例
[00:01:20.000 --> 00:01:22.240]  要在這七月
[00:01:22.240 --> 00:01:24.240]  守這個節日
[00:01:24.240 --> 00:01:27.120]  你們要住在棚裡面七天
[00:01:27.120 --> 00:01:30.920]  以色列人中凡本地的人都要住在棚內
[00:01:30.920 --> 00:01:32.920]  好讓你們世世代代知道
[00:01:32.920 --> 00:01:34.920]  我領以色列人出埃及的時候
[00:01:34.920 --> 00:01:36.920]  曾使他們住在棚內
[00:01:36.920 --> 00:01:38.920]  我是耶路華的神
[00:01:38.920 --> 00:01:40.920]  我們說這個大的系列
[00:01:40.920 --> 00:01:42.920]  從創世紀開始直到聖經
[00:01:42.920 --> 00:01:43.920]  最後我們說
[00:01:43.920 --> 00:01:46.920]  聖經好像一個長篇的劇集一樣
[00:01:46.920 --> 00:01:48.120]  有很多集的
[00:01:48.120 --> 00:01:50.720]  你當它每一卷書一集就有66集
[00:01:50.720 --> 00:01:53.920]  我們就是說整個的聖經
