
[00:00:00.000 --> 00:00:02.000]  (第五節)
[00:00:02.000 --> 00:00:03.200]  丁姐妹,早安
[00:00:03.200 --> 00:00:07.680]  先按一下「不理我」
[00:00:07.680 --> 00:00:12.440]  不知道大家有否玩過狼人殺
[00:00:12.440 --> 00:00:16.800]  或者不同的劇本殺
[00:00:16.800 --> 00:00:19.720]  狼人殺是一個
[00:00:19.720 --> 00:00:22.600]  很二元對立的角色扮演遊戲
[00:00:22.600 --> 00:00:25.720]  狼人要負責殺死所有神明
[00:00:25.720 --> 00:00:27.800]  以及所有人類
[00:00:27.880 --> 00:00:32.640]  而神明和人類負責對付狼人
[00:00:32.640 --> 00:00:38.840]  通常…99.9%都是一方勝出
[00:00:38.840 --> 00:00:39.840]  我們玩了那麼多次
[00:00:39.840 --> 00:00:41.720]  只試過一次是打和
[00:00:41.720 --> 00:00:48.800]  這是我們UV在疫情期間創作的
[00:00:48.800 --> 00:00:50.600]  聖經版狼人殺
[00:00:50.600 --> 00:00:54.720]  有撒旦、魔鬼仔、人類
[00:00:54.720 --> 00:00:56.040]  有亞當、夏娃
[00:00:56.040 --> 00:00:57.480]  當然有仙姿、二才藝
[00:00:57.560 --> 00:01:02.440]  也有參孫,11A參孫
[00:01:02.440 --> 00:01:03.960]  當然還有耶穌
[00:01:03.960 --> 00:01:07.640]  如果你有玩過
[00:01:07.640 --> 00:01:09.320]  不是聖經版本的狼人殺
[00:01:09.320 --> 00:01:13.520]  當然是狼人、神明和人類的對決
[00:01:13.520 --> 00:01:16.400]  很燒腦,不斷猜誰是狼人
[00:01:16.400 --> 00:01:19.000]  不斷猜誰是神明
[00:01:19.000 --> 00:01:23.400]  人類的廢村通常沒有甚麼參與
[00:01:23.400 --> 00:01:24.880]  只是被人殺
[00:01:25.560 --> 00:01:28.960]  而聖經版本的狼人殺很有趣
[00:01:28.960 --> 00:01:33.360]  大家有留意到有個比較凶狠的朋友嗎
[00:01:33.360 --> 00:01:37.520]  在我的左下角,他是參孫
[00:01:37.520 --> 00:01:40.800]  連這個很頑皮的參孫
[00:01:40.800 --> 00:01:42.800]  也是一個光明使者
[00:01:42.800 --> 00:01:44.600]  但如果看聖經
[00:01:44.600 --> 00:01:46.800]  其實他也做了很多壞事
[00:01:46.800 --> 00:01:53.560]  我還會問為何參孫也是光明使者
[00:01:53.640 --> 00:01:54.640]  別問我,不是我做的
[00:01:54.640 --> 00:01:56.000]  你可以問作者
[00:01:56.000 --> 00:02:01.640]  而人類唯一的敵人在這個版本裡
[00:02:01.640 --> 00:02:02.760]  是魔鬼
[00:02:02.760 --> 00:02:06.200]  人類唯一的敵人是魔鬼
[00:02:06.200 --> 00:02:09.440]  這是一個很有趣的轉變
[00:02:09.440 --> 00:02:11.240]  大家不覺得奇怪嗎
[00:02:11.240 --> 00:02:17.240]  即使是壞人做了好事或壞事
[00:02:17.240 --> 00:02:19.680]  他在聖經的詮釋裡
[00:02:19.680 --> 00:02:21.880]  絕對不是人類的敵人
[00:02:21.960 --> 00:02:25.080]  所以今天我們要探討一個主題
[00:02:25.080 --> 00:02:28.440]  究竟誰是你的敵人
[00:02:28.440 --> 00:02:30.880]  究竟誰是你的敵人
[00:02:30.880 --> 00:02:32.560]  在你的生命裡
[00:02:32.560 --> 00:02:35.880]  有些人是你非常憎恨的嗎
[00:02:35.880 --> 00:02:38.280]  甚至你心裡有一種想法
[00:02:38.280 --> 00:02:40.440]  「我永遠不想再見到這個人」
