
[00:00:00.000 --> 00:00:04.400]  各位,我們這次繼續思考智慧文學
[00:00:04.400 --> 00:00:06.400]  《聖經》裡面有不同的書卷
[00:00:06.400 --> 00:00:07.800]  都是叫智慧文學
[00:00:07.800 --> 00:00:11.800]  我們看過《約伯記》、詩篇、傳道書
[00:00:11.800 --> 00:00:13.600]  這次我們看《針研》
[00:00:13.600 --> 00:00:20.200]  《針研》真的是一個智慧文學
[00:00:20.200 --> 00:00:22.200]  並且是一本選集
[00:00:22.200 --> 00:00:23.300]  什麼意思呢?
[00:00:23.300 --> 00:00:27.800]  就是說將不同的智慧言語收集在一起
[00:00:27.800 --> 00:00:29.000]  變成一本書
[00:00:29.000 --> 00:00:30.400]  總共是三十一章
[00:00:30.400 --> 00:00:33.300]  想起《針研》智慧的時候
[00:00:33.300 --> 00:00:35.500]  就一定想起《所羅門王》
[00:00:35.500 --> 00:00:37.300]  因為寫了很多的《針研》
[00:00:37.300 --> 00:00:39.800]  但是如果你看《針研》書的話
[00:00:39.800 --> 00:00:42.600]  裡面不僅有《所羅門》的《針研》
[00:00:42.600 --> 00:00:47.200]  也有其他外邦的君王的一些《針研》
[00:00:47.200 --> 00:00:48.600]  特別是最後那幾章
[00:00:48.600 --> 00:00:50.200]  什麼叫做《針研》呢?
[00:00:50.200 --> 00:00:52.500]  通常我們拿起《針研》這本書的時候
[00:00:52.500 --> 00:00:55.200]  就會看到有一些很特別的格式
[00:00:55.200 --> 00:00:57.000]  一兩句、幾句
[00:00:57.000 --> 00:00:58.600]  加起來一個單元
[00:00:58.900 --> 00:01:01.200]  就是智者所說的話
[00:01:01.200 --> 00:01:05.500]  有一點點像我們華人文化裡面的格言
[00:01:05.500 --> 00:01:07.900]  或者一些短句
[00:01:07.900 --> 00:01:14.000]  我們今天講這篇讀到看《針研》的時候
[00:01:14.000 --> 00:01:15.900]  正是快要苦年的時候了
[00:01:15.900 --> 00:01:17.100]  那麼
[00:01:17.100 --> 00:01:18.800]  我們新年的時候就很應景了
[00:01:18.800 --> 00:01:22.800]  因為我們新年就專門講一些這樣的祝福的話
[00:01:22.800 --> 00:01:26.000]  我們看看聖經裡面怎麼說智慧
[00:01:26.000 --> 00:01:27.500]  什麼叫做智慧的生命呢?
[00:01:27.800 --> 00:01:30.900]  Wisdom在聖經裡面的定義
[00:01:30.900 --> 00:01:34.100]  有一點點像我們今天講的EQ
[00:01:34.100 --> 00:01:36.100]  情緒的雙數
[00:01:36.100 --> 00:01:38.100]  就是我們怎麼去管理我們自己的情緒
[00:01:38.100 --> 00:01:39.100]  我們的內心
