
[00:00:00.000 --> 00:00:22.000]  香港最近幾個星期的局勢有很大的挑戰,
[00:00:22.000 --> 00:00:50.000]  因著修改逃犯條例的迴響,反送中大遊行,民間聲音,市民,教育界,甚至媽媽,律師,大律師,中學,大學,小學,信徒等等,他們都紛紛反對。
[00:00:50.000 --> 00:01:09.000]  但特首林鄭月娥對有關要求和回應,雖然曾經以書面和親自致歉,都被泛民、民陣及青年人不收服。
[00:01:09.000 --> 00:01:25.000]  但林鄭月娥的回應反映了她不會辭職,也不會設立獨立委員會調查,仍然不會撤回。
[00:01:25.000 --> 00:01:45.000]  所以很多人都認為她太官僚,太官腔,甚至有人說她正在撥火,明天7月1日香港還有一個更大的遊行,問題會繼續延續下去。
[00:01:45.000 --> 00:02:00.000]  有人認為林鄭月娥和政府實在太離地,今天作為基督徒,我們對時事,對社會世界局勢是否都很抽離呢?
[00:02:00.000 --> 00:02:18.000]  我們的信仰、信心、愛心以及生活表現是否能夠不離地呢?要做一個合神心意的屬靈的人,仍然是今時今日的挑戰。
[00:02:18.000 --> 00:02:37.000]  我要做一個不離地的基督徒,去見證榮耀神,所以今天我用《迦勒頓大書》六章一到五節,釋經解說,如何活出一個不離地的屬靈人,我們先簡單的祈禱。
[00:02:37.000 --> 00:02:52.000]  天父安靜我們的心,讓我們生活不是不吃人間煙火,而是入世又出世,如何好好地不離地地做一個土里喜悅的屬靈的人。
[00:02:52.000 --> 00:03:01.000]  我們以下時間奉主耶穌基督的名禱。我們看看一些經文,《迦勒頓大書》六章一到二節。
[00:03:01.000 --> 00:03:18.000]  你們若有人偶然被過犯所成你們屬靈的人,就當用溫柔的心把他挽回過來,又當自己小心,恐怕也被引誘,你們各人的重擔要互相擔當,如此就完全了基督的律法。
[00:03:18.000 --> 00:03:34.000]  人有無有,自己幻以為有,就是自欺了,個人應當審查自己的行為,這樣他所誇的,就專在自己,不在別人了,因為個人必擔當自己的擔子。
[00:03:34.000 --> 00:03:45.000]  這段寶貴的經文提醒我們有六方面要注意,才是真真實實可以做到一個不離地的屬靈人。
[00:03:45.000 --> 00:03:52.000]  第一,能夠用溫柔的心挽回犯過錯的人。
[00:03:52.000 --> 00:03:57.000]  你們看到經文,爭取時間,不讀了。
[00:03:57.000 --> 00:04:04.000]  不知道對犯過錯或得罪你的人,你的態度會是怎樣呢?
[00:04:04.000 --> 00:04:16.000]  會跟他捏過,不放過,還是會另一個態度呢?
[00:04:16.000 --> 00:04:21.000]  你是不是很激動,很生氣,就罵他呢?
[00:04:21.000 --> 00:04:26.000]  還是用一個溫柔沉靜的態度去回應呢?
[00:04:26.000 --> 00:04:30.000]  哪樣更有效呢?
[00:04:30.000 --> 00:04:42.000]  曾經有一位傳道人,報道家施暴真,面對一個姐妹。
[00:04:42.000 --> 00:04:51.000]  這個姐妹是一個很挑剔,講是非,詆毀人的人,但是她的性格又很敏感。
[00:04:51.000 --> 00:05:06.000]  她做了這些事後,施暴真以為會向蔣則部施行教會紀律,所以他先發制人。
