
[00:00:00.000 --> 00:00:01.000]  請交給Mark Sir
[00:00:01.000 --> 00:00:04.000]  麻煩Carmen
[00:00:04.000 --> 00:00:06.000]  今天是初幾呀?
[00:00:06.000 --> 00:00:07.000]  初八
[00:00:07.000 --> 00:00:08.000]  初八,OK,OK
[00:00:08.000 --> 00:00:09.000]  還可以派年,是吧
[00:00:09.000 --> 00:00:11.000]  跟你身邊的人說新年快樂
[00:00:11.000 --> 00:00:13.000]  趁著還可以派年的時候
[00:00:13.000 --> 00:00:16.000]  那些未派利是的快點派
[00:00:16.000 --> 00:00:17.000]  OK
[00:00:17.000 --> 00:00:19.000]  未收利是的快點收
[00:00:19.000 --> 00:00:23.000]  很高興今天在中間能夠見到大家
[00:00:23.000 --> 00:00:25.000]  因為今天都是冰天雪地,是吧
[00:00:25.000 --> 00:00:27.000]  今天地面很滑
[00:00:27.000 --> 00:00:28.000]  還有開車不容易
[00:00:28.000 --> 00:00:30.000]  特別是那些很遠來的朋友
[00:00:30.000 --> 00:00:32.000]  再一次歡迎大家
[00:00:32.000 --> 00:00:37.000]  今天我們都是一位很遠來的傳道朋友
[00:00:37.000 --> 00:00:39.000]  跟我們做客席講完
[00:00:39.000 --> 00:00:40.000]  就是Joseph
[00:00:40.000 --> 00:00:42.000]  他多遠呢?
[00:00:42.000 --> 00:00:43.000]  就是在D'Ifill
[00:00:43.000 --> 00:00:44.000]  你在D'Ifill住嗎?
[00:00:44.000 --> 00:00:45.000]  他在Trinity附近
[00:00:45.000 --> 00:00:51.000]  現在Joseph就快完結他在三藩神童院的M.Diff的課程
[00:00:51.000 --> 00:00:55.000]  所以我們趁著有機會可以特別叫他來
[00:00:55.000 --> 00:00:57.000]  特別是新年的時候我們叫他來
[00:00:57.000 --> 00:00:59.000]  冰天雪地的時候
[00:00:59.000 --> 00:01:02.000]  他的講題我們不多講了
[00:01:02.000 --> 00:01:05.000]  《假使世界不像你預期》
[00:01:05.000 --> 00:01:06.000]  歌名來的
[00:01:06.000 --> 00:01:11.000]  經文就是尼加書第四章
[00:01:11.000 --> 00:01:13.000]  有聖經的話就給我打開
[00:01:13.000 --> 00:01:16.000]  尼加書第四章一至到第五節
[00:01:16.000 --> 00:01:18.000]  我們PowerPoint不會打出來的
[00:01:18.000 --> 00:01:21.000]  你拿回你的手機拿回你的聖經
[00:01:21.000 --> 00:01:24.000]  尼加書是舊約的一本先知書
[00:01:24.000 --> 00:01:26.000]  四章一至到第五節
[00:01:27.000 --> 00:01:28.000]  末後的日子
[00:01:28.000 --> 00:01:30.000]  耶和華殿的山必建立
[00:01:30.000 --> 00:01:32.000]  昭扶珠山
[00:01:32.000 --> 00:01:34.000]  高舉過於萬靈
[00:01:34.000 --> 00:01:36.000]  萬民都要留歸這山
[00:01:36.000 --> 00:01:40.000]  必有許多國的民前往說
[00:01:40.000 --> 00:01:42.000]  內伯我們登耶和華的山
[00:01:42.000 --> 00:01:44.000]  賓雅國神的殿
[00:01:44.000 --> 00:01:47.000]  主必將他的道教訓我們
[00:01:47.000 --> 00:01:49.000]  我們也要行他的道
[00:01:49.000 --> 00:01:52.000]  因為悔憤必出於石安
[00:01:52.000 --> 00:01:54.000]  耶和華的言語必出於耶路撒冷
[00:01:54.000 --> 00:01:58.000]  他必在多國的民中施行審判
[00:01:58.000 --> 00:02:01.000]  為遠方強盛的國斷定是非
[00:02:01.000 --> 00:02:05.000]  他們要將刀打成泥頭
[00:02:05.000 --> 00:02:07.000]  把槍打成鐮刀
[00:02:07.000 --> 00:02:10.000]  這國不舉刀攻擊那國
[00:02:10.000 --> 00:02:13.000]  他們也不再學習戰事
[00:02:13.000 --> 00:02:16.000]  人人都要坐在自己的葡萄樹下
[00:02:16.000 --> 00:02:18.000]  和無花果樹下無人驚嚇
[00:02:18.000 --> 00:02:21.000]  這是萬君子耶和華口所說的
