
[00:00:00.000 --> 00:00:02.920]  我們繼續處理第六章
[00:00:02.920 --> 00:00:07.180]  第六章我們說是一個很難解的經文
[00:00:07.180 --> 00:00:11.100]  我們先有一點重溫
[00:00:11.100 --> 00:00:14.140]  第六章第一節
[00:00:14.140 --> 00:00:17.280]  人在地上開始增多
[00:00:17.280 --> 00:00:19.880]  由生養而女兒的時候
[00:00:19.880 --> 00:00:24.680]  神的眾子看見
[00:00:24.680 --> 00:00:28.560]  人的女子是美麗的
[00:00:28.880 --> 00:00:29.880]  Tove
[00:00:29.880 --> 00:00:32.100]  不是Yavah
[00:00:32.100 --> 00:00:33.860]  不是Beautiful這個字
[00:00:33.860 --> 00:00:35.700]  因為希伯文有Beautiful這個字
[00:00:35.700 --> 00:00:37.500]  就是美麗漂亮的意思
[00:00:37.500 --> 00:00:39.180]  但是用回Tove這個字
[00:00:39.180 --> 00:00:42.260]  隨意來挑選
[00:00:42.260 --> 00:00:44.440]  強取作妻子
[00:00:44.440 --> 00:00:45.460]  可以這樣解釋
[00:00:45.460 --> 00:00:47.740]  強取作妻子Lakak
[00:00:47.740 --> 00:00:51.200]  然後在那些日子和以後的日子
[00:00:51.200 --> 00:00:52.940]  有巨人在地上
[00:00:52.940 --> 00:00:57.340]  神的兒子Benahalim和人的女子結合
[00:00:57.340 --> 00:01:01.180]  生了上古英武有名的人物
[00:01:01.180 --> 00:01:04.020]  你看到這個經文
[00:01:04.020 --> 00:01:05.860]  一開始說到洪水之前
[00:01:05.860 --> 00:01:07.580]  危機的時候
[00:01:07.580 --> 00:01:09.180]  上帝快要審判了
[00:01:09.180 --> 00:01:11.140]  一個罪的高峰的時候
[00:01:11.140 --> 00:01:13.480]  用一些keyword
[00:01:13.480 --> 00:01:15.380]  是像三章
[00:01:15.380 --> 00:01:17.340]  人的第一次叛變用的
[00:01:17.340 --> 00:01:19.580]  這裡記得說
[00:01:19.580 --> 00:01:20.580]  Kilohim
[00:01:20.580 --> 00:01:22.060]  像神一樣
